Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts,Account Grade,Commentaries
69,3M,10505,twitter,3M,+8%,DOWN 2 PLACES,1360000,4762,19392,"Sep 22nd, 2011",13298,B+,
31,Accenture,20412,twitter,Accenture,+15%,UP 1 PLACE,552135,1659,8338,"Nov 12th, 2007",22631,B,
42,adidas,15931,twitter,adidas,+19%,UP 7 PLACES,4333992,183,9010,"May 17th, 2011",15748,B+,Main
42,adidas,15931,twitter,adidasoriginals,+19%,UP 7 PLACES,4243153,344,8909,"Feb 7th, 2009",18158,B+,More engagement
21,Adobe,30660,twitter,Photoshop,0.23,RANK UNCHANGED,3335815,825,9491,"Aug 13th, 2009",7831,B+,
54,Airbnb,13416,twitter,Airbnb,NEW,NEW,869138,19919,33690,"Nov 15th, 2008",44176,B,
34,Allianz,18694,twitter,Allianz,+23%,RANK UNCHANGED,52324,1883,4550,"Sep 2nd, 2009",6073,B-,
3,Amazon,274819,twitter,amazon,0.1,DOWN 1 PLACE,5107473,51,14532,"Feb 13th, 2009",47461,B+,
27,American Express,22117,twitter,AmericanExpress,+16%,UP 3 PLACES,863395,496,453,"May 26th, 2009",71558,B,
1,Apple,482215,twitter,AppleMusic,0.18,RANK UNCHANGED,10296857,2088,486,"Sep 15th, 2009",38516,A,The music account has more engagement
1,Apple,482215,twitter,Apple,0.18,RANK UNCHANGED,8914121,0,3,"Sep 27th, 2011",0,A-,Main
46,Audi,14976,twitter,Audi,+11%,RANK UNCHANGED,2118397,9121,13638,"Mar 30th, 2009",32017,B+,
43,AXA Group,15747,twitter,AXA,+17%,UP 5 PLACES,85864,602,2470,"May 10th, 2010",8305,B-,
13,BMW,46331,twitter,BMW,0.11,DOWN 1 PLACE,2485200,83,16963,"Jun 25th, 2013",41429,B+,Main
13,BMW,46331,twitter,BMWMotorsport,0.11,DOWN 1 PLACE,401301,280,9402,"Feb 3rd, 2009",21323,B,High post and engagement
44,Budweiser,15487,twitter,budweiserusa,+3%,DOWN 7 PLACES,266321,1322,7759,"Oct 9th, 2012",70764,B,
96,Burberry,5917,twitter,Burberry,+14%,UP 1 PLACE,8218267,11,275,"Jun 15th, 2009",13890,A-,
97,Canon,5828,twitter,CanonUSAimaging,-15%,DOWN 18 PLACES,240711,146,36568,"Dec 6th, 2012",73865,B-,
74,Cartier,9521,twitter,Cartier,+17%,DOWN 1 PLACE,567111,2,38,"Jul 27th, 2009",3428,B,
83,Caterpillar,7397,twitter,CaterpillarInc,+14%,DOWN 1 PLACE,148572,221,1464,"Jun 12th, 2008",14425,B-,
22,Chanel,29259,twitter,CHANEL,0.32,RANK UNCHANGED,13541609,1,0,"Jun 29th, 2011",4220,A,
15,Cisco,41298,twitter,Cisco,0.14,UP 1 PLACE,742615,2792,13055,"Aug 6th, 2008",21653,B,Main
15,Cisco,41298,twitter,LearningatCisco,0.14,UP 1 PLACE,257545,2632,20890,"Sep 5th, 2008",25358,B,Learning envirinment with high engagement
57,Citi,12981,twitter,Citi,+4%,DOWN 3 PLACES,913832,372,2807,"Oct 2nd, 2009",19650,B,
7,Coca-Cola,57535,twitter,CocaCola,0,DOWN 1 PLACE,3410205,57291,22607,"Mar 26th, 2009",289222,B+,
