,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Page Likes,Talking About This,Grade,Talking Rank,Likes Rank
0,65,HSBC,"11,247",facebook,HSBC,+9%,DOWN 1 PLACE,"3,055,376",386,A-,"149,885th","9,765th"
1,66,Morgan Stanley,"11,039",facebook,morganstanley,+18%,UP 3 PLACES,"107,607","1,675",B-,"87,660th","122,358th"
2,67,Nestlé,"10,921",facebook,nestlebabyandme,+3%,DOWN 5 PLACES,"102,448",30,N/A,TBD,TBD
3,67,Nestlé,"10,921",facebook,nestle,+3%,DOWN 5 PLACES,"11,210,131",0,N/A,TBD,TBD
4,68,Nintendo,"10,676",facebook,Nintendo,+16%,UP 2 PLACES,"5,398,318","70,739",A-,"11,010th","5,306th"
5,68,Nintendo,"10,676",facebook,nintendoofcanada,+16%,UP 2 PLACES,"262,853","3,360",B,"65,701st","72,497th"
6,68,Nintendo,"10,676",facebook,Nintendo3DS,+16%,UP 2 PLACES,"3,725,052",222,A-,"186,493rd","7,956th"
7,68,Nintendo,"10,676",facebook,NintendoSwitch,+16%,UP 2 PLACES,"7,695,405","38,517",A-,"16,836th","3,523rd"
8,69,3M,"10,505",facebook,3MAuto,+8%,DOWN 2 PLACES,"408,487",33,N/A,TBD,TBD
9,69,3M,"10,505",facebook,3M,+8%,DOWN 2 PLACES,21,0,C,"878,771st","1,203,482nd"
10,69,3M,"10,505",facebook,3MHealthCare,+8%,DOWN 2 PLACES,"572,313",61,B,"263,524th","42,647th"
11,70,Spotify,"10,324",facebook,Spotify,+6%,DOWN 4 PLACES,"22,177,834",28,N/A,TBD,TBD
12,71,Gillette,"10,211",facebook,gillettevenus,-4%,DOWN 10 PLACES,"1,320,338",131,B+,"215,346th","21,795th"
13,71,Gillette,"10,211",facebook,Gillette,-4%,DOWN 10 PLACES,"2,049,845",717,B+,"120,449th","14,456th"
14,72,Colgate,"10,130",facebook,Colgate,+5%,DOWN 4 PLACES,"3,620,765","1,251",N/A,TBD,TBD
15,73,Danone,"9,528",facebook,DanoneCanada,-3%,DOWN 8 PLACES,"170,045",11,N/A,TBD,TBD
16,73,Danone,"9,528",facebook,Danone,-3%,DOWN 8 PLACES,"870,029",118,N/A,TBD,TBD
