,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts
0,1,Apple,"482,215",twitter,Apple,+18%,RANK UNCHANGED,"8,914,121",0,3,"Sep 27th, 2011",0
1,1,Apple,"482,215",twitter,AppleMusic,+18%,RANK UNCHANGED,"10,296,857","2,088",486,"Sep 15th, 2009","38,516"
2,1,Apple,"482,215",twitter,AppleSupport,+18%,RANK UNCHANGED,"1,518,173",33,9,"Jun 5th, 2015","1,514,709"
3,1,Apple,"482,215",twitter,AppleTVPlus,+18%,RANK UNCHANGED,"148,773",616,"2,637","Jan 31st, 2019","3,535"
4,1,Apple,"482,215",twitter,AppleTV,+18%,RANK UNCHANGED,"1,511,652",55,"10,543","Oct 15th, 2009","15,382"
5,1,Apple,"482,215",twitter,iTunes,+18%,RANK UNCHANGED,"1,215,009",1,704,"Aug 17th, 2009","5,503"
6,2,Microsoft,"278,288",twitter,Microsoft,+32%,UP 1 PLACE,"12,253,767","2,473","13,532","Sep 14th, 2009","28,681"
7,2,Microsoft,"278,288",twitter,Azure,+32%,UP 1 PLACE,"971,806",21,"6,447","Oct 27th, 2008","47,039"
8,2,Microsoft,"278,288",twitter,Outlook,+32%,UP 1 PLACE,"1,207,456",58,"1,676","Jun 11th, 2012","117,865"
9,2,Microsoft,"278,288",twitter,MSFTnews,+32%,UP 1 PLACE,"851,885","1,754",11,"Mar 16th, 2009","41,284"
10,2,Microsoft,"278,288",twitter,Windows,+32%,UP 1 PLACE,"7,678,034",1,"4,193","Jul 30th, 2008","385,827"
11,2,Microsoft,"278,288",twitter,Office,+32%,UP 1 PLACE,"1,662,470","1,787","1,497","Feb 27th, 2009","165,581"
12,2,Microsoft,"278,288",twitter,surface,+32%,UP 1 PLACE,"618,027",5,"6,693","Jun 18th, 2012","137,044"
13,2,Microsoft,"278,288",twitter,MicrosoftEdge,+32%,UP 1 PLACE,"844,905",6,"1,185","Jan 21st, 2009","24,119"
14,2,Microsoft,"278,288",twitter,MSFTResearch,+32%,UP 1 PLACE,"540,793","1,945","5,607","Feb 20th, 2009","9,189"
15,2,Microsoft,"278,288",twitter,Microsoft365,+32%,UP 1 PLACE,"257,760",45,"3,261","Aug 17th, 2017","13,197"
16,2,Microsoft,"278,288",twitter,msftsecurity,+32%,UP 1 PLACE,"338,734",345,"1,364","Oct 26th, 2010","20,691"
17,2,Microsoft,"278,288",twitter,Xbox,+32%,UP 1 PLACE,"20,370,501","15,939","5,118","Mar 16th, 2009","296,212"
18,2,Microsoft,"278,288",twitter,MicrosoftTeams,+32%,UP 1 PLACE,"407,224",242,"17,303","Jan 6th, 2017","37,141"
19,2,Microsoft,"278,288",twitter,MSPowerAutomate,+32%,UP 1 PLACE,"71,884",7,"1,192","Apr 18th, 2016","6,947"
20,2,Microsoft,"278,288",twitter,SQLServer,+32%,UP 1 PLACE,"246,294",13,"1,556","Aug 10th, 2009","17,658"
21,2,Microsoft,"278,288",twitter,MS_Ignite,+32%,UP 1 PLACE,"123,493",35,"7,820","Sep 25th, 2014","12,264"
22,2,Microsoft,"278,288",twitter,msuspartner,+32%,UP 1 PLACE,"48,669","1,168","1,089","Feb 20th, 2009","19,622"
23,2,Microsoft,"278,288",twitter,MSPowerApps,+32%,UP 1 PLACE,"63,377",10,"2,470","Nov 20th, 2015","6,000"
24,2,Microsoft,"278,288",twitter,onedrive,+32%,UP 1 PLACE,"1,105,250",3,"1,736","May 11th, 2011","56,508"
25,2,Microsoft,"278,288",twitter,msdev,+32%,UP 1 PLACE,"440,398",12,"5,621","Feb 7th, 2013","31,424"
26,2,Microsoft,"278,288",twitter,MicrosoftEDU,+32%,UP 1 PLACE,"453,587","4,152","38,110","Dec 2nd, 2008","52,254"
27,2,Microsoft,"278,288",twitter,microsoftcanada,+32%,UP 1 PLACE,"42,311","1,397","6,077","Jan 26th, 2009","17,443"
28,2,Microsoft,"278,288",twitter,MS_ITProCA,+32%,UP 1 PLACE,"2,526",259,728,"Aug 2nd, 2007","3,916"
29,2,Microsoft,"278,288",twitter,MicrosoftEduCA,+32%,UP 1 PLACE,"22,706","3,174","17,989","Nov 4th, 2011","13,600"
30,2,Microsoft,"278,288",twitter,msdevCA,+32%,UP 1 PLACE,"9,059","2,145","4,023","Apr 1st, 2008","12,038"
31,2,Microsoft,"278,288",twitter,msft_businessCA,+32%,UP 1 PLACE,"11,118","4,393","7,171","Nov 28th, 2011","15,735"
32,2,Microsoft,"278,288",twitter,WindowsCanada,+32%,UP 1 PLACE,"22,164","1,953","1,185","Jul 8th, 2010","8,001"
33,3,Amazon,"274,819",twitter,amazon,+10%,DOWN 1 PLACE,"5,107,473",51,"14,532","Feb 13th, 2009","47,461"
34,3,Amazon,"274,819",twitter,amazonmusic,+10%,DOWN 1 PLACE,"1,988,621","3,659","45,261","May 12th, 2008","40,122"
35,3,Amazon,"274,819",twitter,PrimeVideo,+10%,DOWN 1 PLACE,"3,186,062",873,"40,501","Nov 6th, 2008","71,883"
36,3,Amazon,"274,819",twitter,awscloud,+10%,DOWN 1 PLACE,"2,127,139","1,006","8,085","Aug 18th, 2009","38,245"
37,3,Amazon,"274,819",twitter,amazonnews,+10%,DOWN 1 PLACE,"232,373",891,"2,790","Jan 10th, 2017","9,968"
38,3,Amazon,"274,819",twitter,alexa99,+10%,DOWN 1 PLACE,"1,538,153",99,"7,414","Nov 20th, 2014","3,995"
39,3,Amazon,"274,819",twitter,amazonluna,+10%,DOWN 1 PLACE,"22,494",180,"10,686","May 6th, 2020","6,465"
40,3,Amazon,"274,819",twitter,amazonbooks,+10%,DOWN 1 PLACE,"412,486","1,028",810,"Mar 18th, 2008","12,829"
41,3,Amazon,"274,819",twitter,AmazonStudios,+10%,DOWN 1 PLACE,"239,971",569,"6,998","Sep 2nd, 2010","10,833"
42,3,Amazon,"274,819",twitter,AmazonPub,+10%,DOWN 1 PLACE,"141,664","1,113","2,209","Aug 7th, 2014","7,475"
43,3,Amazon,"274,819",twitter,amazonfiretv,+10%,DOWN 1 PLACE,"66,168",43,"6,464","Mar 31st, 2014","4,829"
44,3,Amazon,"274,819",twitter,Sell_on_Amazon,+10%,DOWN 1 PLACE,"37,625",48,781,"Nov 17th, 2014","1,674"
45,3,Amazon,"274,819",twitter,amazonca,+10%,DOWN 1 PLACE,"33,396",272,529,"Jul 27th, 2015","2,668"
46,3,Amazon,"274,819",twitter,primestudent,+10%,DOWN 1 PLACE,"128,099",123,"1,748","Jul 14th, 2010","2,903"
