,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts,Account Grade,Followers Rank,Following Rank,Posts Rank,Followers 30 Days,Following 30 Days,Posts 30 Days
0,23,Hermès,"27,398",twitter,Hermes_Paris,+27%,RANK UNCHANGED,"136,215",0,0,"Mar 27th, 2012",567,B-,"88,969th","9,840,235th","6,957,399th",1.021K 18.8%,1.021K 18.8%,-12 1%
1,24,J.P. Morgan,"24,335",twitter,jpmorgan,+14%,RANK UNCHANGED,"707,417",48,535,"Feb 6th, 2013","8,041",B,"15,206th","8,460,437th","2,716,558th",4.698K 15.7%,4.698K 15.7%,14 27.3%
2,24,J.P. Morgan,"24,335",twitter,JPMWealth,+14%,RANK UNCHANGED,"2,378",35,297,"Sep 8th, 2021",484,C,"1,884,973rd","8,730,194th","7,143,763rd",65 11%,65 11%,9 30.8%
3,24,J.P. Morgan,"24,335",twitter,JPMorganAM,+14%,RANK UNCHANGED,"103,821",239,83,"Jun 29th, 2010","8,390",B-,"115,644th","5,941,134th","2,646,582nd",656 15.3%,656 15.3%,--
4,25,YouTube,"24,268",twitter,TeamYouTube,+16%,UP 1 PLACE,"1,544,452","1,671","21,533","Feb 19th, 2015","2,225,935",B+,"6,138th","1,123,606th",247th,11.642K 12.7%,11.642K 12.7%,71.378K 4.1%
5,25,YouTube,"24,268",twitter,YouTube,+16%,UP 1 PLACE,"78,604,697","1,193","6,138","Nov 13th, 2007","50,653",A++,12th,"1,723,820th","492,857th",463.161K 16.0%,463.161K 16.0%,705 46.6%
6,25,YouTube,"24,268",twitter,YouTubeCreators,+16%,UP 1 PLACE,"6,688,289","2,073","10,652","Jan 18th, 2011","35,051",A-,842nd,"788,753rd","778,352nd",20.207K 27.3%,20.207K 27.3%,716 11.6%
7,25,YouTube,"24,268",twitter,youtubemusic,+16%,UP 1 PLACE,"1,072,093",735,"4,164","Jun 28th, 2017","9,461",B+,"9,485th","2,866,037th","2,456,366th",10.032K 35.9%,10.032K 35.9%,400 5.8%
8,25,YouTube,"24,268",twitter,YouTubeGaming,+16%,UP 1 PLACE,"2,074,463",907,"8,218","May 27th, 2015","24,037",B+,"4,238th","2,331,485th","1,160,402nd",10.967K 26.7%,10.967K 26.7%,414 0.7%
9,25,YouTube,"24,268",twitter,YouTubeIndia,+16%,UP 1 PLACE,"1,644,752",426,"2,981","Aug 19th, 2010","22,031",B+,"5,699th","4,382,102nd","1,262,116th",17.786K 27.5%,17.786K 27.5%,242 25.5%
10,26,Honda,"22,837",twitter,Honda,+7%,DOWN 1 PLACE,"1,166,052","1,499","11,948","May 29th, 2009","206,534",B+,"8,615th","1,312,915th","44,575th",4.783K 14.2%,4.783K 14.2%,32 13.5%
11,26,Honda,"22,837",twitter,HondaCanada,+7%,DOWN 1 PLACE,"46,531","1,973","5,324","Mar 13th, 2009","15,369",B-,"228,800th","854,688th","1,726,820th",14 125.9%,14 125.9%,20 9.1%
12,26,Honda,"22,837",twitter,Honda_UK,+7%,DOWN 1 PLACE,"70,945","1,670","10,002","Mar 2nd, 2009","18,265",B-,"160,927th","1,123,925th","1,494,338th",50 28.2%,50 28.2%,-1 108.3%
