,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-10-31 13:57:35+00:00,1587081352167493634,"We can use #AI to understand how our planet is changing—and most importantly, how we can respond. Watch the full episode. https://t.co/4V6Nup6mze @WIRED https://t.co/Scfk14fUXn",Accenture,35,8,92,,,"[User(username='WIRED', id=1344951, displayname='WIRED', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-10-28 19:48:18+00:00,1586082450194792448,Web3 is laying the foundation for the #metaverse and every business needs to be thinking about it. Watch the full discussion between Accenture’s @PaulDaugh and @FortuneMagazine’s @AlanSMurray and learn how companies are taking a #RadicallyHuman approach: https://t.co/IFmhirpXMZ https://t.co/wur9jiOawb,Accenture,20,4,53,,,"[User(username='pauldaugh', id=165113012, displayname='Paul Daugherty', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FortuneMagazine', id=25053299, displayname='FORTUNE', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='alansmurray', id=13565472, displayname='Alan Murray', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-10-27 14:12:00+00:00,1585635428719153152,"What does captured carbon, affordable housing and fighting food waste have in common? 

✨🫧 They all harness the power of change. 🫧✨ 

See how we helped @Climeworks, @CMHC_ca and @felixprojectuk find their solution and create greater impact: https://t.co/euRcmLhr2W https://t.co/p9nx1EmIJ8",Accenture,8,0,42,,,"[User(username='Climeworks', id=455777292, displayname='Climeworks', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CMHC_ca', id=593727058, displayname='CMHC', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='felixprojectuk', id=4849988866, displayname='thefelixproject', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-10-26 13:00:13+00:00,1585254973843070978,"A digital world where you can create, connect, and flourish? It’s possible. 🎙 Hear us out on the latest episode of #BuiltForChange: https://t.co/y9I1NjpwPw https://t.co/unR3Rt4IdW",Accenture,15,0,46,,,
4,2022-10-25 14:08:01+00:00,1584909649740025858,3 sets of machines are going to dramatically reduce the difficulty of solving some of the world's biggest challenges. Here's how: https://t.co/CgPfT168x4 #TechVision https://t.co/mAWTpG4AFB,Accenture,7,1,33,,,
5,2022-10-24 14:56:46+00:00,1584559529571848192,Need a great #lifehack for more efficient studying? Looking to align your investments with causes that matter most to you? Hear from 3 different perspectives on how to create more value. https://t.co/F1YtQAWEWi @WIRED https://t.co/dgJMbzZTzH,Accenture,11,1,36,,,"[User(username='WIRED', id=1344951, displayname='WIRED', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-10-21 19:24:17+00:00,1583539690124169217,"Cloud transformation is an ongoing journey. For high tech companies who are both builders and users of the #cloud, that journey is a little more complex. The likelihood for disruption—and opportunity—has never been higher. https://t.co/kvLom90TOo https://t.co/z4NtZ36Tkh",Accenture,9,1,33,,,
7,2022-10-20 17:20:32+00:00,1583146160403152896,"Dreaming about a job that connects professional impact with personal values? 🎉🫧 BINGO! 🎉🫧
 
This is the sign you’ve been waiting for: https://t.co/4fNdpwLn82 https://t.co/aXH5tyfE60",Accenture,4,0,36,,,
8,2022-10-20 15:57:48+00:00,1583125337990262784,"The benefits of #cloud go far beyond financial, cloud #technology is sparking new waves of innovation. 

Just think of the possibilities within aerospace and defense 🛰️ https://t.co/ahHgb3M6GC https://t.co/cdEyz2A1xi",Accenture,4,0,25,,,
9,2022-10-19 19:23:36+00:00,1582814743064035329,"Our partnership with @intel does more than optimize technologies to create value for our clients. Together, we provide the right people with the right expertise to drive—and accelerate—#cloud transformation. https://t.co/GGEj8klFoQ #DigitalTransformation https://t.co/JB7a027S7S",Accenture,5,1,29,,,"[User(username='intel', id=2803191, displayname='Intel', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-10-19 17:17:37+00:00,1582783037791956992,What Web3 and #metaverse capabilities will your organization have? It's time to prepare for the latest evolution of the internet: https://t.co/41RQvjz8p2 https://t.co/r4a0QirnUA,Accenture,7,0,35,,,
11,2022-10-18 16:56:29+00:00,1582415329971474438,"In industries like #aerospace and defense, there’s no room for error. But security concerns are easing as aerospace and defense organizations realize enhanced #security is just one of the many advantages of a cloud-enabled future: https://t.co/sjdOohpPMb https://t.co/7iwK2xJocw",Accenture,6,0,21,,,
12,2022-10-17 18:22:29+00:00,1582074585679208449,"From accelerating #DigitalTransformation to product innovation; the value of #cloud is clear. But for High Tech companies who are providers, consumers and enablers of cloud all in one, the cloud’s potential is even greater. https://t.co/Y0ziNB82co https://t.co/FrcJ81E1RW",Accenture,5,0,28,,,
13,2022-10-17 14:55:28+00:00,1582022489189720064,"#AI can already create art, recommend new shows and help us plan the quickest travel routes. How does AI show up in your everyday life today? Listen to our new @WIRED episode. https://t.co/8TXrx8w5sR https://t.co/bAzE0cyipK",Accenture,7,0,21,,,"[User(username='WIRED', id=1344951, displayname='WIRED', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-10-14 15:20:30+00:00,1580941626176069633,What Web3 and #metaverse capabilities will your organization have? It's time to prepare for the latest evolution of the internet: https://t.co/4VHgaljBYr https://t.co/BwURRbg1Vs,Accenture,6,1,17,,,
15,2022-10-13 17:23:08+00:00,1580610098472185856,"Dreaming about a job that connects professional impact with personal values? 🎉🫧 BINGO! 🎉🫧
 
This is the sign you’ve been waiting for: https://t.co/0crRIUAiYk https://t.co/iYmYgQAkny",Accenture,4,0,26,,,
16,2022-10-13 12:11:44+00:00,1580531732360486913,We’re honored to be named one of the World’s Best Workplaces™ by @FortuneMagazine and Great Place to Work. See the impact our people have: https://t.co/VqGwEBrJY6 #WorldsBestWorkplaces #GPTWcertified @GPTW_US https://t.co/BjzyQnWHp4,Accenture,14,2,46,,,"[User(username='FortuneMagazine', id=25053299, displayname='FORTUNE', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GPTW_US', id=169124154, displayname='Great Place To Work US', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
17,2022-10-12 18:22:09+00:00,1580262562188341248,"What does captured carbon, affordable housing and fighting food waste have in common? 

✨🫧 They all harness the power of change. 🫧✨ 

See how we helped @Climeworks, @CMHC_ca and @felixprojectuk find their solution and create greater impact: https://t.co/LAUMyoW4v6 https://t.co/pFmS5BTw03",Accenture,2,0,17,,,"[User(username='Climeworks', id=455777292, displayname='Climeworks', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CMHC_ca', id=593727058, displayname='CMHC', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='felixprojectuk', id=4849988866, displayname='thefelixproject', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
18,2022-10-12 13:00:01+00:00,1580181496869986305,"We sat down with a Work Futurist, a Founder and CEO, and a Global Talent Lead. Hear what they had to say about the #FutureOfWork on episode 18 of the #BuiltForChange podcast: https://t.co/GtQYaOlSxK https://t.co/rNfUple3pG",Accenture,1,0,23,,,
19,2022-10-11 12:43:33+00:00,1579814963031728128,"As we celebrate our LGBTIQ+ community this #ComingOutDay, we're sharing tips on how you can be an ally by creating an environment where people can be themselves. https://t.co/DsIPODxcOd #PrideAtAccenture https://t.co/nYx3hAT3oL",Accenture,10,3,32,,,
20,2022-10-10 19:56:17+00:00,1579561478235238401,"Can #AI be explained in terms everyone can understand? In a brand new season with @WIRED, we explore how AI impacts our everyday lives, businesses and the planet through 3 perspectives—a child, a college student and one of our own experts: https://t.co/ixwN1Fm5OO https://t.co/b2Lej4keJg",Accenture,12,0,22,,,"[User(username='WIRED', id=1344951, displayname='WIRED', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
21,2022-10-10 18:27:31+00:00,1579539139204362240,"@AlexandreLaizet Welcome, Alexandre!",Accenture,0,0,1,,,"[User(username='AlexandreLaizet', id=2212230547, displayname='Alexandre Laizet', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
22,2022-10-10 16:00:15+00:00,1579502075515265026,"It’s ok to not be ok.

We're committed to breaking down the stigma of mental health &amp; wellness. 

Dr. Tamarah Duperval-Brownlee, our Chief Health Officer, explains how we make all dimensions of health a priority. https://t.co/npPSwZJAvX #WorldMentalHealthDay https://t.co/NVtbzMEt1l",Accenture,11,1,40,,,
