,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 19:05:55+00:00,1609264604407808007,"@AmosOsamuel Thank you, we are glad you like it! 💜",BMW,0,1,2,,,"[User(username='AmosOsamuel', id=117799581, displayname='SamDrich (SDR)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-31 17:17:02+00:00,1609237206270451712,"End the year on an iconic shine. 

The i7 with Crystal headlights and illuminated BMW ‘Iconic Glow’ kidney grille.

The #BMW i7 xDrive60:
Power cons/100 km, CO2 emission/km, weighted comb.: 19.6–18.4 kWh, 0 g. Electric range: 590–625 km. According to WLTP https://t.co/twXzMrWMl3. https://t.co/adbNnuJ106",BMW,103,11,1226,,,
2,2022-12-31 12:03:24+00:00,1609158276599488513,"\\ hope you’ve enjoyed the show so far, because next year will be very very special // #DEEMW https://t.co/s9tvMAqoEF",BMW,27,1,430,,,
3,2022-12-31 09:14:45+00:00,1609115835083231232,"@LileyHPS Oh we get it, Neil ❤️❤️",BMW,1,0,2,,,"[User(username='LileyHPS', id=193019328, displayname='Neil Liley', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-31 01:23:32+00:00,1608997249698222089,@DaveyVtec This looks amazing 😍 thank you for sharing with us Dave.,BMW,0,0,1,,,"[User(username='DaveyVtec', id=70114749, displayname='Dave Irwin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-31 01:23:11+00:00,1608997159612858370,@DaveyVtec A perfect combination of power and style 🔥,BMW,0,0,0,,,"[User(username='DaveyVtec', id=70114749, displayname='Dave Irwin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-31 01:18:26+00:00,1608995965733666818,@bolqvi @bmw_inu Thank you for sharing this beauty 😍,BMW,61,7,113,,,"[User(username='bolqvi', id=562740820, displayname='Fantastic', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='bmw_inu', id=1557206115724713984, displayname='BMW INU', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-31 01:10:39+00:00,1608994007719284736,@berserkercrypto Thank you for sharing this beauty 😍,BMW,1,0,2,,,"[User(username='berserkercrypto', id=1480646114436997120, displayname='Berserker', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-31 01:09:51+00:00,1608993806602338306,@WDickson022 love this picture 💙,BMW,0,0,1,,,"[User(username='WDickson022', id=1541120817819525121, displayname='Ware', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-30 17:14:25+00:00,1608874158162575360,"@NorrisMitchell9 Looking fabulous, my friend 🤍😎🤍",BMW,0,0,4,,,"[User(username='NorrisMitchell9', id=1261342914527072258, displayname='NorrisMitchellj51911', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-30 17:11:00+00:00,1608873299886444544,@Robostle 💛💛💛,BMW,0,0,2,,,"[User(username='Robostle', id=146188234, displayname='Rob Ostle', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-30 15:06:28+00:00,1608841960864759809,"@10_KayT @BMWPolokwane @BMWJoburgCity Hi there, in order to submit your complaint to the relevant department, we recommend using our contact form by clicking the following link: https://t.co/V77PjKv5Jj Our Customer Support Team will get in touch with you as soon as possible.",BMW,0,0,0,,,"[User(username='10_KayT', id=1250908514, displayname='☠️🔰Ketelo🔰☠️', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BMWPolokwane', id=1303336123570237441, displayname='BMW Polokwane', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BMWJoburgCity', id=1489721160, displayname='BMW Joburg City', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-30 12:46:20+00:00,1608806694829654016,@buttquit Beautiful 🖤🖤,BMW,0,0,2,,,"[User(username='buttquit', id=569885157, displayname='Wasim butt', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-30 11:51:55+00:00,1608792999609122818,@smschmidt1 🤍🤍🤍,BMW,0,0,1,,,"[User(username='smschmidt1', id=125781655, displayname='Steven Schmidt', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-30 10:09:34+00:00,1608767242098950144,@AD19_GOAT ❤️❤️❤️,BMW,0,0,4,,,"[User(username='AD19_GOAT', id=1134160351631740928, displayname='🏆🏆🦅🏆🏆', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
15,2022-12-30 09:58:21+00:00,1608764418543783936,We've been celebrating 🎉 50 years of BMW M all year long. For one final time can fill the comments with loads of your BMW M greats? 👇,BMW,55,4,627,,,
16,2022-12-29 15:11:18+00:00,1608480785824206850,@dproler How exciting 🙌 What colour did you go for?,BMW,0,0,1,,,"[User(username='dproler', id=73532180, displayname='David Proler', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
