,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-22 22:04:35+00:00,1606048079614017548,"@SimCastRadio @iRacing Fantastic! Thank you, guys 🙏🏻",BMWMotorsport,1,0,3,,,"[User(username='SimCastRadio', id=1280494598863892481, displayname='SimCast', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='iRacing', id=16240253, displayname='iRacing.com', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-22 16:24:35+00:00,1605962513874550784,🤩,BMWMotorsport,27,1,319,https://twitter.com/BMW_Classic/status/1605956544222355458,,
2,2022-12-22 14:03:13+00:00,1605926937372725248,@gtworldcham @ValeYellow46 @indy8hour Will have to talk to the bosses... 😅,BMWMotorsport,1,0,7,,,"[User(username='gtworldcham', id=38918345, displayname='Fanatec GT World Challenge America pwd by AWS', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ValeYellow46', id=386420143, displayname='Valentino Rossi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='indy8hour', id=1224004752976965633, displayname='Indianapolis 8 Hour', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-22 09:00:00+00:00,1605850631817699328,"More than a driver - part of the family!

We are proud to announce @ValeYellow46 as the newest member of our BMW M works driver squad.

#bmwmmotorsport @followWRT https://t.co/Dv0maEOOVk",BMWMotorsport,389,70,2373,,,"[User(username='ValeYellow46', id=386420143, displayname='Valentino Rossi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='followWRT', id=747350693372112896, displayname='WRT - W Racing Team', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-16 15:39:27+00:00,1603776827826348034,"This will be awesome, @followWRT! 🙌🏼😃",BMWMotorsport,12,2,149,https://twitter.com/followWRT/status/1603773293458325506,,"[User(username='followWRT', id=747350693372112896, displayname='WRT - W Racing Team', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-16 15:37:16+00:00,1603776278078832641,@IntercontGTC 😎,BMWMotorsport,0,0,11,,,"[User(username='IntercontGTC', id=4861230552, displayname='Intercontinental GT Challenge', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-16 15:09:59+00:00,1603769415631507456,"2/2

No. 46 BMW M4 GT3: Maxime Martin and @ValeYellow46 plus @augustofarfus (Endurance)

#bmwm4gt3 #bmwmmotorsport @followWRT @IntercontGTC   

📸 ©Brecht Decancq",BMWMotorsport,11,2,74,,,"[User(username='ValeYellow46', id=386420143, displayname='Valentino Rossi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='augustofarfus', id=107958666, displayname='Augusto Farfus', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='followWRT', id=747350693372112896, displayname='WRT - W Racing Team', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='IntercontGTC', id=4861230552, displayname='Intercontinental GT Challenge', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-16 15:09:11+00:00,1603769212157034496,"BMW M Team WRT Driver announcement:

The line-ups for the 2023 @GTWorldChEu season and @Bathurst12hour are confirmed:

No. 32 BMW M4 GT3: @vanthoordries1 and Charles Weerts plus @SheldonvdLinde (Endurance) 

1/2 https://t.co/4oVdigAy7h",BMWMotorsport,40,3,318,,,"[User(username='GTWorldChEu', id=596655733, displayname='Fanatec GT World Challenge Europe Powered by AWS', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Bathurst12hour', id=145135352, displayname='Bathurst 12 Hour', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='vanthoordries1', id=796430680624418817, displayname='Dries Vanthoor', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SheldonvdLinde', id=304591391, displayname='Sheldon van der Linde', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-11 10:19:58+00:00,1601884490170875905,"Congratulations to this year's BMW M Sports Trophy winners!

Drivers' competition: James Clay and Charlie Postins from @bimmerworld  

Team competition: @DTM champions @Team_Schubert 

What an amazing season it was!

#bmwmmotorsport @GT4America https://t.co/5G8Ot6gEQa",BMWMotorsport,12,0,144,,,"[User(username='bimmerworld', id=30903851, displayname='BimmerWorld', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DTM', id=2411197734, displayname='DTM', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Team_Schubert', id=2504860230, displayname='Schubert Motorsport', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GT4America', id=1049089470186672130, displayname='GT4America', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-09 16:03:35+00:00,1601246186387955712,"Want to watch the virtual version of the BMW M Hybrid V8 race tonight? This is your chance! 👇🏼

#bmwmhybridv8 @iRacing",BMWMotorsport,1,0,117,https://twitter.com/vcoesports/status/1601187149617172483,,"[User(username='iRacing', id=16240253, displayname='iRacing.com', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
