,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-28 18:30:27+00:00,1608168516301082625,The top moment of the #DHLKalitta15 top moments list celebrating 15 years together is @JRTodd373 winning the second @nhra world championship Funny Car title for @DHL in 2018. It was an amazing run to the championship by the entire DHL Funny Car team and @kalittamotorsports https://t.co/VUBC42y7dz,DHLUS,5,1,20,,,"[User(username='JRTodd373', id=27111447, displayname='J.R. Todd', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NHRA', id=21682561, displayname='NHRA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dhl', id=1204691, displayname='David H Lawrence', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-26 18:00:07+00:00,1607436109851594752,"As your #business strategy evolves, establishing a trade relationship with the Netherlands could be a smart move. Get started with these tips 👇
https://t.co/lyE7oj1dkh

#Blog #Ecommerce #GoGlobal https://t.co/qbmRn6HGdx",DHLUS,2,0,6,,,
2,2022-12-24 16:00:13+00:00,1606681156350509057,Here’s a special holiday message from @JRTodd373 to all @TeamKalitta fans! https://t.co/8NC0DeO4VC,DHLUS,4,0,34,,,"[User(username='JRTodd373', id=27111447, displayname='J.R. Todd', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TeamKalitta', id=20377251, displayname='Kalitta Motorsports', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-23 15:51:07+00:00,1606316481956007938,"@alondrarrx We'd be happy to check on that for you. Please DM the details along with, your name, delivery address and 10 digit tracking number to @DHLUSHelp. ^MS",DHLUS,0,0,0,,,"[User(username='alondrarrx', id=1092804537738555392, displayname='a', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DHLUSHelp', id=2730180774, displayname='DHL U.S. Help', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-20 18:30:07+00:00,1605269329569783845,"Shopping cart abandonment is a huge challenge for e-commerce companies. Check out these tips for getting your customers all the way through the checkout process ✅ ➡️ https://t.co/eTuzgGduYY

#Blog #Ecommerce #ExcellenceSimplyDelivered https://t.co/VOfjuUfNmk",DHLUS,1,0,2,,,
5,2022-12-20 14:43:31+00:00,1605212305217691648,"@ShiremanStephen Oh my gosh, I hope nothing was broken. Please DM our help team (@DHLUSHelp) more details along with, your name, address and 10 digit tracking number. ^KB",DHLUS,0,0,0,,,"[User(username='ShiremanStephen', id=1338945843806826498, displayname='Stephen Shireman', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DHLUSHelp', id=2730180774, displayname='DHL U.S. Help', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-17 16:36:57+00:00,1604153685575335936,"@KoreyEakers @JRTodd373 @TeamKalitta I'm sorry your item didn’t arrive. Please DM your name, delivery address &amp; tracking number so we can look into this. ^MT",DHLUS,0,0,0,,,"[User(username='KoreyEakers', id=1161064357, displayname='K. Gatsby 𓂀𓃬𓁭', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JRTodd373', id=27111447, displayname='J.R. Todd', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TeamKalitta', id=20377251, displayname='Kalitta Motorsports', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-16 17:30:04+00:00,1603804665879183372,"Help us wish a Happy Birthday to @JRTodd373
@TeamKalitta
#DHLDelivers #TeamKalitta https://t.co/lHTorWSumk",DHLUS,4,0,36,,,"[User(username='JRTodd373', id=27111447, displayname='J.R. Todd', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TeamKalitta', id=20377251, displayname='Kalitta Motorsports', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-14 12:06:42+00:00,1602998512345665536,"@TheOther_Jenn Uh oh. For more help, please DM our team @DHLUSHelp ^KB",DHLUS,0,0,0,,,"[User(username='TheOther_Jenn', id=1119009996400922624, displayname='Jennifer Knecht', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DHLUSHelp', id=2730180774, displayname='DHL U.S. Help', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-13 16:45:10+00:00,1602706205885046785,"⏰ Delayed shipments are bad for business, especially when you’re involved in international #trade. The good news is, most delays are preventable with clear communication and attention to detail. Learn more 👉 https://t.co/JeNFswpIEx

#Blog #Ecommerce https://t.co/lZrMsGG8GW",DHLUS,1,0,5,,,
10,2022-12-09 16:45:04+00:00,1601256627205701634,"Online sales are expected to be a shining star 🌟 for small businesses during a third holiday season marked by inflation and supply chain disruptions. Get more insight here 👇
https://t.co/B9L7Rip4zm

#Ecommerce #Blog #SME https://t.co/1pnBEmAiUz",DHLUS,1,0,2,,,
11,2022-12-08 14:57:55+00:00,1600867275019816961,The #DHLKalitta15 top moments list wouldn’t be complete without showcasing the @dhl 50th anniversary Top Fuel dragster and Funny Car that @richiecrampton and @JRTodd373 closed out the 2019 season racing. These two beautiful race cars check in at #2 on the countdown. https://t.co/3TZTzBzxZU,DHLUS,4,0,20,,,"[User(username='dhl', id=1204691, displayname='David H Lawrence', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='richiecrampton', id=847698594, displayname='Richie Crampton', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JRTodd373', id=27111447, displayname='J.R. Todd', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-06 18:30:04+00:00,1600195889519333377,"⚡️🚚 As part of our ongoing commitment to sustainable business practices, we’ve added 45 new zero-emission electric vans to our Palo Alto fleet!

#GoGreen #Sustainability #DHLDelivers https://t.co/03tFkQZmxR",DHLUS,2,1,3,,,
13,2022-12-03 14:23:48+00:00,1599046747401199624,@AvesDavid You may contact your local customer service office at https://t.co/6oudAnG69P for help. ^MT,DHLUS,0,0,0,,,"[User(username='AvesDavid', id=399958920, displayname='David Aves', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-02 15:30:05+00:00,1598701040613851143,"With a little research and preparation, your business can be ready for international trade. Learn more here 👇
https://t.co/2QaNuFJp77

#Ecommerce #GoGlobal #International https://t.co/Thb4coqn41",DHLUS,2,0,2,,,
15,2022-12-01 14:27:01+00:00,1598322783376793602,@LynettaWright Please contact our help team @DHLUSHelp through DM for more help. ^KB,DHLUS,0,0,0,,,"[User(username='LynettaWright', id=3093131036, displayname='Lynetta Wright', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DHLUSHelp', id=2730180774, displayname='DHL U.S. Help', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,2022-11-30 18:30:06+00:00,1598021570324271107,"💳💰 E-commerce customers expect ease from start to finish. Eliminate obstacles at checkout time by offering these popular online payment options ⬇️
https://t.co/p2ZQsKbuYh

#Ecommerce #PaymentOptions #Retail https://t.co/4BKB6jEft8",DHLUS,1,0,4,,,
17,2022-11-29 18:45:13+00:00,1597662983676731392,"📦🛑Shipments stuck at the border are a headache for any international business. Get 5 tips for avoiding import delays on our #blog ➡️ https://t.co/JeNFswpIEx

#Ecommerce #DHLDelivers #Trade https://t.co/395qXD2Zj4",DHLUS,2,0,3,,,
18,2022-11-29 12:05:17+00:00,1597562340785922053,"@DanJeyRealtor @DHLexpress Hello Dan. I'm sorry to hear you didn't have a positive experience. I would appreciate the chance to assist you. Please DM/Private Message the details along with, your name, delivery address and 10 digit tracking number. ^ML",DHLUS,0,0,0,,,"[User(username='DanJeyRealtor', id=892021647196258304, displayname='Dan Jey', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DHLexpress', id=869879920645865472, displayname='DHL Express', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
19,2022-11-27 19:15:06+00:00,1596945729574010883,"Repeat customers are key to successful e-commerce business! Learn 5 tips for increasing customer loyalty here ⬇️
https://t.co/uIZrTheNoU

#CustomerLoyalty #Ecommerce #ExcellenceSimplyDelivered https://t.co/TvnFas3quV",DHLUS,1,0,3,,,
20,2022-11-25 18:00:06+00:00,1596202080909361153,"♻️📦 With about 200 billion cardboard boxes shipped around the world each year, it’s more important than ever to find sustainable packaging solutions. Read about 3 ways we’re doing that at DHL 👇
https://t.co/tGinQt7enM

#GoGreen #GoGlobal #Blog https://t.co/GpWEI3CWE1",DHLUS,0,0,2,,,
21,2022-11-22 15:48:47+00:00,1595081870290653188,"@vjarnot I'm sorry to hear about your experience. I would like to look into this for you. Please DM/Private Message the details along with, your name, delivery address and 10 digit tracking number.  ^KM",DHLUS,0,0,0,,,"[User(username='vjarnot', id=117271289, displayname='Voytek Jarnot', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
22,2022-11-21 18:30:10+00:00,1594760094893359116,We are racing to the finish line with the #DHLKalitta15 top moments with @JRTodd373 checking in at #3 on the countdown list when he unveiled the specialty @DHL @MelloYello championship Funny Car at the 2019 @nhra U.S. Nationals. https://t.co/axc7nOpPbz,DHLUS,7,0,22,,,"[User(username='JRTodd373', id=27111447, displayname='J.R. Todd', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dhl', id=1204691, displayname='David H Lawrence', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='MelloYello', id=254199874, displayname='Mello Yello', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NHRA', id=21682561, displayname='NHRA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
23,2022-11-21 16:10:12+00:00,1594724869563772928,"@HALLEMONE I'm sorry to hear about your experience. I would like to look into this for you. Please DM/Private Message the details along with, your name, delivery address and 10 digit tracking number. ^KM",DHLUS,0,0,0,,,"[User(username='HALLEMONE', id=114353051, displayname='halle', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
24,2022-11-21 15:23:25+00:00,1594713097209401344,@MrP_tchr Thank you for letting us know. Your feedback will be reported to the team in Oklahoma City. We train our drivers to be safe and courteous. Take care. ^KM,DHLUS,0,0,1,,,"[User(username='MrP_tchr', id=144575839, displayname='Anthony Purcell', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
25,2022-11-21 14:37:03+00:00,1594701428936904708,"@podfan69 I'd like to look into this for you. Please DM/Private Message the details along with, your name, delivery address and 10 digit tracking number. ^KM",DHLUS,0,0,0,,,"[User(username='podfan69', id=1288260111199358976, displayname='Daniel', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
26,2022-11-21 13:26:24+00:00,1594683648389054466,"@MrP_tchr That's certainly not on par with our high service standards.  Please DM/Private Message the details along with, your name, location and details of this incident. ^KM",DHLUS,0,0,0,,,"[User(username='MrP_tchr', id=144575839, displayname='Anthony Purcell', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
