,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-23 11:20:24+00:00,1606248352835719169,"Before entering 2023, our CEO, Antoine de Saint-Affrique, looked back at some of our major milestones in 2022. A challenging but successful year for Danone. See you in 2023✨ https://t.co/gMFm7d9h5U",Danone,7,2,18,,,
1,2022-12-19 10:21:51+00:00,1604784067467022336,"As the complexity of emerging risks in Food Safety has been increasing, @FAO and Danone have published a review about the trends and drivers linked to the emergence of new food allergens. Let’s take moment to better understand the results and the purpose of this joint paper! https://t.co/Z9LX1bLzYR",Danone,9,2,15,,,"[User(username='FAO', id=19649135, displayname='Food and Agriculture Organization', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-16 14:37:19+00:00,1603761191486214144,"In light of #COP15, biodiversity loss has become a major issue along with  climate change. Our iconic plant-based brand Alpro has been pioneering Science Based Targets for Nature. Let’s discover how @Alpro is addressing it’s environmental footprint.

https://t.co/6IkKiJ7r7M",Danone,1,1,6,,,"[User(username='Alpro', id=329608518, displayname='Alpro', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-15 15:03:32+00:00,1603405402808455168,Release of a new Healthcare Systems Compliance Policy! It enables us to have transparent &amp; ethical interactions with the healthcare community &amp; institutions. It's essential to deliver on our mission of bringing health through food to consumers &amp; patients.  https://t.co/3iDbiq1h6H https://t.co/hh2ug9vUiN,Danone,2,0,6,,,
4,2022-12-13 12:54:33+00:00,1602648168952664064,"For the 4th year in a row, we have achieved a Triple A on @CDP lists, recognizing our leadership in #environmentaltransparency on climate change, forests &amp; water security. It reflects our action &amp; progress in our decarbonization journey, in line with 1.5°C global warming scenario https://t.co/PhOv4A6ayy",Danone,5,0,19,,,"[User(username='CDP', id=43078165, displayname='CDP', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-09 16:32:57+00:00,1601253576050737152,"Good news!
We are proud to be among the 1st companies to have our 1.5°C target for Forest, Land and Agriculture (FLAG) approved by @sciencetargets. It is a major milestone for our company as we progress on our climate journey. https://t.co/46JhVfreiI",Danone,3,0,10,,,"[User(username='sciencetargets', id=2765959278, displayname='Science Based Targets initiative', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-08 15:08:18+00:00,1600869889039896577,"Following a rigorous process, two products from our milk formula brand in 🇳🇿 have been certified as carbon neutral by an independent body, @Thecarbontrust. This is a great recognition and another step in our brand's journey to be fully certified carbon neutral by 2030! https://t.co/otVzcBxMDY",Danone,1,0,19,,,"[User(username='thecarbontrust', id=41167959, displayname='The Carbon Trust', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-11-25 15:02:04+00:00,1596157275294638085,"3 years ago, we announced that our Specialized Nutrition spray drying plant in 🇳🇿 will be powered exclusively by a biomass boiler. And we’ve done it! By combining the biomass fuel with the use of 100% renewable electricity at the plant, CO2 emissions will be reduced by 95%.",Danone,3,3,14,,,
8,2022-11-21 15:42:49+00:00,1594717978284949505,"Watch the 2nd episode of a 6-part mini-series, following the Danone Ecosystem Days, 3-days focus on environmental #sustainability w/ NGOs, activists and partners. Today, let’s meet @cloverhogan who shares how we can mobilize companies &amp; collective mindsets for climate action. https://t.co/lcE1yj2PgP",Danone,2,1,8,,,"[User(username='cloverhogan', id=551498134, displayname='Clover Hogan', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-11-18 16:02:13+00:00,1593635699680583682,"We are also committed to driving the transition to regenerative carbon smart practices with a focus on dairy farming and a special emphasis on methane reduction. We will reveal more in the coming weeks, this is the #OnePlanetOneHealth framework in action!",Danone,1,0,3,,,
