,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 19:00:33+00:00,1609263257696493569,"The House of Dior wishes you a wonderful holiday season and all the best for 2023! 
For the New Year's Eve, enhance your natural complexion with a radiant glow.
 
Makeup by Peter Philips https://t.co/0vkWnfrgyO",Dior,33,1,250,,,
1,2022-12-31 13:00:07+00:00,1609172549262315526,"For the holiday season, Peter Philips, Creative &amp; Image Director for Dior Makeup, shares the beauty look to end the year with sparkle. https://t.co/YWYVBtZVTn",Dior,43,2,254,,,
2,2022-12-31 09:00:30+00:00,1609112248043143168,"This universal look is easy to apply and can be worn by everyone. Make your eyes stand out delicately, by combining Kholliner and eyeliner, and keep your lips hydrated and luscious. https://t.co/prN1N9HdTO",Dior,28,2,209,,,
3,2022-12-30 17:02:42+00:00,1608871210640711681,"The #DiorDesignerofDreams exhibition highlights the effervescent magic of Dior with images by photographer Yuriko Takagi in a display evocative of Japanese architecture. Discover the exhibition until May 28, 2023 at the Museum of Contemporary Art of Tokyo https://t.co/mnU2ZZ5cEZ. https://t.co/KgPzQpXOBN",Dior,57,2,340,,,
4,2022-12-30 13:01:23+00:00,1608810479161430017,Evening wear gowns are illuminated by a celestial light fixture to evoke their magical spirit as part of the #DiorDesignerofDreams exhibition. Discover iconic silhouettes once worn by stars from Grace Kelly and Marilyn Monroe to Natalie Portman https://t.co/mnU2ZZ5cEZ. https://t.co/pfs5jCDnJ9,Dior,164,6,1226,,,
5,2022-12-30 09:01:01+00:00,1608749992067334144,A towering array of Dior designs are given individual spotlights to showcase a history of excellence and creativity in the #DiorDesignerofDreams exhibition. Indulge in the sumptuous details of the show at the Museum of Contemporary Art of Tokyo https://t.co/mnU2ZZ5cEZ. https://t.co/Ad4DrbGdYD,Dior,114,8,769,,,
6,2022-12-29 17:00:30+00:00,1608508269902823424,"When Monsieur Dior was in his 20s, the creative intuition inside him was blossoming as he frequented cabarets and festive events where artists inspired him to quit his political science studies. Tap on the card to learn more about Monsieur Dior's life!",Dior,29,1,253,,,
7,2022-12-29 09:00:31+00:00,1608387478729146368,"Did you know the history behind Monsieur Dior's lucky star? Discovered on the street of Faubourg Saint Honoré in Paris, this recurring symbol of the House was a sign for Monsieur Dior. Tap on the card to learn all about it!
© Guy Marineau",Dior,47,1,303,,,
8,2022-12-28 17:03:06+00:00,1608146536256442372,"Laid out like a visual journal, this #DiorMagazine 40 spread magnifies the manner in which Kim Jones took classic House codes like Cannage, leopard, Dior Oblique and CD Diamond and made them freshly contemporary for #DiorSpring23 https://t.co/NMubAEx9OP.
© Pablo Di Prima https://t.co/RtV6RnzCcF",Dior,35,0,266,,,
9,2022-12-28 14:02:05+00:00,1608100980943458304,"In a selection of custom looks by Kim Jones, @Orel_San took over the Paris La Défense Arena garnering attention from fans for his musical talent and exceptional wardrobe. To get a look at the work that went into performance, find the full video soon on our YouTube channel. https://t.co/Gb6yWyL2sP",Dior,32,1,240,,,"[User(username='Orel_san', id=66703696, displayname='OrelSan', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
