,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 18:00:00+00:00,1609248017902714881,"May your magic never fade, even after the clock strikes midnight. ✨ Happy New Year! https://t.co/TFen027NXf",Disney,789,26,4242,,,
1,2022-12-31 03:57:44+00:00,1609036056556347398,Remembering Disney Legend Barbara Walters: https://t.co/fBMScPht7v https://t.co/GOpO4ipdDd,Disney,186,8,1860,,,
2,2022-12-30 22:00:30+00:00,1608946154011598851,"You can hear the mighty heartbeat. 💙
 
Witness #AvatarTheWayOfWater in 3D, now playing only in theaters. Get tickets: https://t.co/w7kYsHS8Ln https://t.co/U6CthX9Xhk",Disney,78,8,849,,,
3,2022-12-30 21:00:00+00:00,1608930927819751427,A new year is on the horizon and adventure and excitement are ahead! https://t.co/dND2nA3eIJ,Disney,256,10,1761,,,
4,2022-12-30 20:00:31+00:00,1608915960743723009,"Take your next streaming adventure to a galaxy far, far away. 🌟 You can stream the entire first season of #Andor, only on @DisneyPlus. https://t.co/DXBwdPQWWf",Disney,30,3,310,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-30 19:00:30+00:00,1608900855943553026,"Journey beyond your wildest imagination. ✨💭

New episodes of #Willow are streaming Wednesdays, only on @DisneyPlus. https://t.co/LNLzvL7f5u",Disney,44,4,363,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-30 18:00:02+00:00,1608885636534091777,"A pixie-perfect craft. ✨

(Art by Dena Seiferling) https://t.co/2eQTOoIUH3",Disney,70,1,565,,,
7,2022-12-29 19:00:00+00:00,1608538342915817474,"Three generations. One epic action sequence. Watch as the creators of Disney’s #StrangeWorld break down one of their favorite scenes in the film, then stream it on @DisneyPlus! https://t.co/CNg2xjh67R",Disney,39,1,274,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-29 18:00:31+00:00,1608523371939086336,"The Familia Madrigal has arrived at the Hollywood Bowl. 🦋✨ #EncantoAtTheBowl is now streaming, only on @DisneyPlus! https://t.co/aX1e7VRlJw",Disney,113,14,794,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-28 20:00:00+00:00,1608191054435520512,"Critics are calling #Willow a “charming nostalgic fantasy adventure for all ages.” 🧙 Start streaming the Original series now, only on @DisneyPlus. https://t.co/7Zx6UziSDg",Disney,45,4,351,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-28 19:00:01+00:00,1608175956304199687,"Go behind the making of #AvatarTheWayOfWater and watch how magic on set transformed into unforgettable moments on screen. 🎬✨
 
Then see the film, now playing in theaters. Get tickets: https://t.co/w7kYsHS8Ln https://t.co/IhuSHbJlta",Disney,256,43,1204,,,
11,2022-12-28 18:00:01+00:00,1608160857514557440,"Being a Rebel is hard work! 

(🎨 by Guy Shield) https://t.co/gbYRiFAuvf",Disney,139,3,1321,,,
12,2022-12-28 17:36:01+00:00,1608154819134476288,"Tyler and 4⭐Town forever. ❤️

Check out the all-new, full-length music video for 4*Town’s “1 True Love,” streaming now only on @DisneyPlus! 🎶 https://t.co/BlB5pUf9VC",Disney,147,8,767,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-27 21:00:35+00:00,1607843912370032642,"They're always ready for adventure. 🗺🧭

Disney's #StrangeWorld is now streaming on @DisneyPlus! https://t.co/kQe9Wpv0XV",Disney,72,5,546,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-27 18:00:01+00:00,1607798472429690887,Toys like this are all they’re chalked up to be! https://t.co/9v3Gc743zL,Disney,178,6,1915,,,
15,2022-12-26 20:00:01+00:00,1607466281829015558,"The exhibits are alive... again! 🔦 #NightAtTheMuseum: Kahmunrah Rises Again, an all-new animated Original film, is streaming only on @DisneyPlus. https://t.co/efBrY2g4NK",Disney,77,5,703,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,2022-12-26 19:00:01+00:00,1607451182183710724,"This family is their fortress. 💙
 
Experience #AvatarTheWayOfWater in 3D, now playing only in theaters. Get tickets now: https://t.co/w7kYsHS8Ln https://t.co/cLh2jFlvOl",Disney,100,6,1025,,,
17,2022-12-26 18:00:02+00:00,1607436085843443716,Wishing you a joyous Kwanzaa! Join Mickey and Minnie as they learn more about the holiday. https://t.co/XG7za4D96q,Disney,98,5,814,,,
