,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 21:08:20+00:00,1609295415501017090,All episodes of #Andor are now streaming on #DisneyPlus.,DisneyPlus,18,0,198,,,
1,2022-12-31 21:08:20+00:00,1609295412539850752,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

B2EMO (10/11) https://t.co/Zx72g13FUr",DisneyPlus,32,5,429,,,
2,2022-12-31 21:08:19+00:00,1609295409457029120,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Kleya Marki (10/11) https://t.co/71vmSQWlRf",DisneyPlus,21,1,238,,,
3,2022-12-31 21:08:18+00:00,1609295406500044800,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Dedra Meero (9/11) https://t.co/uIvFJUe7ce",DisneyPlus,21,0,231,,,
4,2022-12-31 21:08:18+00:00,1609295403400450048,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Syril Karn (8/11) https://t.co/l0UpB1ld1M",DisneyPlus,21,0,190,,,
5,2022-12-31 21:08:17+00:00,1609295400607051776,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Cinta Kaz (7/11) https://t.co/zJAsS7pHPw",DisneyPlus,17,1,217,,,
6,2022-12-31 21:08:16+00:00,1609295397905924097,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Vel Sartha (6/11) https://t.co/tHAAYWrVW7",DisneyPlus,18,1,211,,,
7,2022-12-31 21:08:16+00:00,1609295395255119872,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Maarva Andor (5/11) https://t.co/17sXMKF4Ld",DisneyPlus,17,1,243,,,
8,2022-12-31 21:08:15+00:00,1609295392478486529,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Bix Caleen (4/11) https://t.co/XXOjZ0GjiI",DisneyPlus,18,4,262,,,
9,2022-12-31 21:08:14+00:00,1609295389903187968,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Luthen Rael (3/11) https://t.co/EiqWnrFf9W",DisneyPlus,23,0,258,,,
10,2022-12-31 21:08:14+00:00,1609295387235581954,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Mon Mothma (2/11) https://t.co/1lC2VCOBbd",DisneyPlus,32,2,268,,,
11,2022-12-31 21:08:13+00:00,1609295384530280453,"To celebrate the last day of the year, check out the first and last time you see these characters in #Andor. ⬇️

Cassian Andor (1/11) https://t.co/jOyWxXHNqs",DisneyPlus,102,5,1159,,,
12,2022-12-31 19:00:38+00:00,1609263275841036289,"Did someone say party⁉️ 🎉🎇 We've got you covered!

Ring in the new year with Diary of a #WimpyKid: Rodrick Rules, now streaming on #DisneyPlus. https://t.co/WoadG4udip",DisneyPlus,38,1,357,,,
13,2022-12-31 17:00:11+00:00,1609232962423341059,"We’re ringing in the new year with a few of our from #DisneyPlus, wbu? 🥳 https://t.co/Nnb0VHd93x",DisneyPlus,83,15,666,,,
14,2022-12-31 16:35:50+00:00,1609226835040284674,What were your top 3 favorite things streamed on #DisneyPlus this year? 💙⬇️,DisneyPlus,102,128,1346,,,
