,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 16:00:07+00:00,1609217848970301442,"From giving second chances to chimpanzees 💜, to watching the #FedEx11 car come around the track 🏁, to delivering critical supplies to aid Ukrainian refugees 📦, and seeing our furry friends 🐶 on everyday routes: we had quite the year! Excited to see what 2023 will deliver! https://t.co/hEsmh5jOmh",FedEx,3,1,42,,,
1,2022-12-29 00:00:50+00:00,1608251660802875392,You voted and here are the results. @dak and @thereal_cam3 are this week's FedEx #AirandGround @NFL Players of the Week! https://t.co/mOAbcNpBpQ,FedEx,1,1,14,,,"[User(username='dak', id=385203914, displayname='Dak Prescott', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='thereal_cam3', id=2362280776, displayname='Cam akers', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NFL', id=19426551, displayname='NFL', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-26 23:36:32+00:00,1607520768002347009,Impressive performances by the Week 16 FedEx #AirandGround @NFL Players of the Week nominees. Head to https://t.co/mfg3FflEHw now to cast your vote! https://t.co/lPAfObetGZ,FedEx,2,1,19,,,"[User(username='NFL', id=19426551, displayname='NFL', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-25 16:00:01+00:00,1607043497252601856,"We’re sending you and your loved ones wishes for a cheerful season. 🎄 #HappyHolidays

📸: @mobbinator https://t.co/XfWTVPneQu",FedEx,8,3,111,,,
4,2022-12-24 16:00:02+00:00,1606681110850797568,"Nathan Parker received a call from a worried mother that her son’s gaming system had arrived in less than pristine condition. Nathan drove 100 miles one-way to get the nearest replacement and got it to her on Christmas Eve. Quick thinking, Nathan! 💜 https://t.co/GNyYNcq8l1",FedEx,6,1,63,,,
5,2022-12-23 21:00:16+00:00,1606394280712495105,"Stay up to date with your Chris Kringle activities through our new feature, picture proof of delivery! 🎄 🎁 Check out how picture proof of delivery is helping you ship with confidence this year: https://t.co/ALRyx5tT0Z https://t.co/Ka1gpPEEGv",FedEx,4,1,31,,,
6,2022-12-23 16:22:32+00:00,1606324386197184513,"They may be rookies, but they play like seasoned vets when it comes to holiday shopping. FedEx, we’re ready for the holidays so you’re ready for what’s next! #RiseUp https://t.co/aP54g3LaTs",FedEx,5,1,18,https://twitter.com/A7chronic/status/1604201027770753026,,
7,2022-12-23 16:20:58+00:00,1606323992767275014,"They may be rookies, but they play like seasoned vets when it comes to holiday shopping. FedEx, we’re ready for the holidays so you’re ready for what’s next! #RiseUp https://t.co/NkJ4nUxj2d",FedEx,2,1,10,https://twitter.com/desmondridder/status/1605693039355142145,,
8,2022-12-22 21:00:05+00:00,1606031845325524993,"We are proud to collaborate with @OperationWarm to give the gift of warmth to thousands of children in need across North America. Together, we're providing more than 18,000 new winter coats to students at 38 elementary schools in the U.S. and Canada this holiday season. 💜 https://t.co/L317m55Gl8",FedEx,9,2,47,,,"[User(username='OperationWarm', id=52493986, displayname='Operation Warm', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-22 16:00:03+00:00,1605956338663702528,"Liliana saved Christmas for a mother whose gifts were damaged when she scrambled to purchase replacements herself and get them delivered just in time for the holidays. You make us proud, Liliana! 💜🎁 https://t.co/Yn7YhoqnGf",FedEx,6,0,26,,,
10,2022-12-22 00:01:23+00:00,1605715085531430923,Show love and support the Week 15 FedEx #AirandGround Players of the Week: @KirkCousins8 and @dreeday32! https://t.co/YzsxB6lgfk,FedEx,3,1,23,,,"[User(username='KirkCousins8', id=370458410, displayname='Kirk Cousins', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dreeday32', id=361519301, displayname='Rhamondre Stevenson', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-21 17:00:17+00:00,1605609111835615232,Ding dong – we’re here to spread holiday cheer! 📦 https://t.co/TAMLP54e7x,FedEx,11,3,81,,,
12,2022-12-20 23:05:36+00:00,1605338657237483524,@Chance_Lynn Thanks for the shout-out! 💜💚,FedEx,0,0,1,,,"[User(username='Chance_Lynn', id=355060493, displayname='Chandra Williams', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-19 20:30:07+00:00,1604937140583931904,"@KirkCousins8, @Trevorlawrencee and @PatrickMahomes and @dreeday32, @tylerallgeier17 and @LataviusM are up for FedEx #AirandGround Players of the Week. Cast your vote at https://t.co/mfg3FflEHw! https://t.co/dhOwAcXqul",FedEx,2,3,11,,,"[User(username='KirkCousins8', id=370458410, displayname='Kirk Cousins', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Trevorlawrencee', id=1416537146, displayname='Trevor Lawrence', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PatrickMahomes', id=353178677, displayname='Patrick Mahomes II', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dreeday32', id=361519301, displayname='Rhamondre Stevenson', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='tylerallgeier17', id=855824992268820480, displayname='Ty', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='LataviusM', id=1120272654, displayname='Latavius Murray', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-19 19:00:01+00:00,1604914467862708233,"When Deb Daughery-Karl found a broken ornament in a gift package, she contacted the family, replaced it with another and sent it on its way. We appreciate you, Deb. 💜 https://t.co/DQw0Dbhden",FedEx,5,1,57,,,
15,2022-12-17 16:00:02+00:00,1604144396374401025,"Fa La La-ing in love with these snowy days. ❄️💜 

📸: @pnw_explorer96 https://t.co/fwXnUrKTdq",FedEx,19,0,140,,,
16,2022-12-16 21:00:23+00:00,1603857593805463555,Don’t forget to wave if you see #TeamFedEx out and about delivering holiday cheer! 👋💜 https://t.co/GDdlZ0KQ4m,FedEx,11,3,66,,,
17,2022-12-16 20:42:34+00:00,1603853109431832585,@CBS12 Happy to help deliver this holiday season! 💜🎅📦,FedEx,0,0,0,,,"[User(username='CBS12', id=15606755, displayname='WPEC CBS12 News', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
18,2022-12-15 21:00:12+00:00,1603495161744482305,Let us help you put a wrap on your holiday shipping! Get one step closer to being ready for the holidays here: https://t.co/UACRfia0mg https://t.co/pobduEMSfW,FedEx,4,2,29,,,
19,2022-12-15 14:38:02+00:00,1603398985976258560,We’re on a roll in NYC! See how electric carts are helping FedEx Express couriers deliver packages more efficiently and alleviate some traffic congestion during the busy holiday season in New York City. https://t.co/0u726IqxWI https://t.co/jc4uj1GRFE,FedEx,3,0,41,,,
20,2022-12-15 13:00:01+00:00,1603374317814910977,"On our way to a town near you! ✈️ ❄️ 

📸: @slcjetspotter2810 https://t.co/j2WeEQPDOq",FedEx,15,1,147,,,
