,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 16:05:30+00:00,1609219202744819712,"Ready for a big night.   
#FerrariDaytonaSP3 #IconaFerrari #Ferrari https://t.co/KeajrtgzoC",Ferrari,101,2,1185,,,
1,2022-12-30 10:00:31+00:00,1608764963602014210,"After four years of restoration, the #FerrariClassiche artisans returned this work-of-art on wheels to its resplendent origins. 
Follow the story of this iconic #Ferrari250GTO through these stunning pictures at the Villa Della Porta Bozzolo, in Valcuvia. 
#FerrariMagazine",Ferrari,83,2,826,,,
2,2022-12-29 16:05:00+00:00,1608494300517523457,"For Michele, Ferrari was synonymous with dreaming: in his letter he asked for an answer and a souvenir. Enzo Ferrari himself took care of the first part of that gift. And over 40 years later, we are overjoyed that we could fulfil the rest of his wish. 
#Ferrari #KeepOnDreaming",Ferrari,28,0,316,,,
3,2022-12-28 16:05:30+00:00,1608132038556540929,"This #FerrariTailorMade #FerrariMonzaSP2 is bursting with sporting character. 
The matte Verde Masoni chosen for the bodywork is accentuated by unexpected details in Giallo Modena, which is perfectly contrasted by the interior in Jeans Aunde® Nero. 
#Ferrari https://t.co/nbgUHWjdUi",Ferrari,194,11,2245,,,
4,2022-12-27 16:05:30+00:00,1607769650900701185,"The birth of a new Ferrari, today as in the past, represents the summit of a very complex creative process. 
Meet the design team, as they reveal the challenges they faced in the design of the #Ferrari296GTB. 
#FerrariMagazine #Ferrari",Ferrari,68,6,904,,,
5,2022-12-26 16:05:30+00:00,1607407263190335489,"The dynamic developments of the #FerrariRoma are focused on delivering superior pleasure behind the wheel, in every condition. 
#DrivingFerrari #Ferrari https://t.co/jiLuATZTg9",Ferrari,210,7,3225,,,
6,2022-12-25 10:00:30+00:00,1606953021048512515,"The perfect present doesn’t exi- 
#FerrariSF90Stradale #AssettoFiorano #DrivingFerrari #Ferrari https://t.co/yYmUoWnysZ",Ferrari,185,11,3157,,,
7,2022-12-24 16:05:00+00:00,1606682361277468672,"The #Ferrari296GTS is the ultimate epitome of Ferrari’s inextricable marriage of technology and aesthetics.   
#Ferrari https://t.co/Z4EwIcaNE7",Ferrari,249,14,3950,,,
8,2022-12-23 16:05:00+00:00,1606319973521010688,"Dashing through the snow. 
#FerrariRoma #Gstaad #Ferrari https://t.co/Kc4hkQrSPU",Ferrari,400,18,6153,,,
9,2022-12-22 16:05:00+00:00,1605957586259480576,"Alessandro’s love story with #Ferrari started in the 1980s: he dreamed of having one of his own and he longed to visit Maranello. 
It was our pleasure to invite him on a tour, where he finally got to admire all his favourite models and single-seaters close-up.
#KeepOnDreaming",Ferrari,28,1,247,,,
10,2022-12-21 16:08:55+00:00,1605596182524268545,"The cerulean blue of this Tailor Made #FerrariRoma is highlighted by a sophisticated silver livery stripe. 
The same elegance prevails in the interior, with a contrast between rich Frau® leather with quilted details and sumptuous black Alcantara®. 
#FerrariTailorMade #Ferrari https://t.co/vfA2xipnop",Ferrari,176,7,1959,,,
11,2022-12-20 16:05:00+00:00,1605232810037387264,"Introducing the new metallic leather palette, created to emphasise the details of every #Ferrari’s interior. 
The selection offers a balanced combination of sophisticated and refined shades, that brings a fresh and contemporary feel to the interiors. https://t.co/DXdSQNCrES",Ferrari,73,3,942,,,
12,2022-12-19 11:30:16+00:00,1604801283491340295,"British motorsports legend David Piper is a man who has always lived life on his own terms – including piloting his Ferraris in a different colour to Rosso Corsa. 
Get the full story behind his colourful motor racing career. 
#FerrariMagazine #Ferrari",Ferrari,46,1,468,,,
13,2022-12-17 16:05:00+00:00,1604145646079856640,"Golden hour drive.  
Photo credits @ferrariapac. 
#FerrariPurosangue #DrivingFerrari #Korea #Ferrari https://t.co/QQZ7Ihrauu",Ferrari,270,14,4355,,,"[User(username='FerrariAPAC', id=2891856324, displayname='Ferrari Asia-Pacific', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-16 18:08:46+00:00,1603814406017761348,"David’s relationship with his father gave him his love for cars and his passion for Ferrari. Now, over 40 years later, his dreams are still burning bright - as he gets the chance to see the masterpieces that made him daydream when he was just a kid.
#Ferrari #KeepOnDreaming",Ferrari,22,3,207,,,
15,2022-12-16 09:34:53+00:00,1603685083810070529,"For over 70 years, Ferrari has produced some of the most beautiful berlinette imaginable: a kind of sports car model that can be driven to a track in style, raced there and then driven home. 
Let’s take a look at some of the most significant examples. 
#FerrariMagazine #Ferrari",Ferrari,71,5,823,,,
16,2022-12-15 14:08:19+00:00,1603391507243094016,"This classically inspired #FerrariTailorMade #Ferrari812GTS exudes a transcendental elegance.
The delicate aesthetic of the bodywork in Celeste Chiaro is complemented by the exquisite attention to detail in an interior dominated by premium leathers and dark greens.
#Ferrari https://t.co/mUxJG32oGx",Ferrari,153,8,1790,,,
17,2022-12-14 16:00:01+00:00,1603057227434278915,"From the rediscovery of letters written to Enzo Ferrari long ago, detailing children’s dreams, to making those same dreams come true today: this holiday season already feels magical. 
Take a peek behind this story with The Official Ferrari Magazine. 
#FerrariMagazine #Ferrari",Ferrari,35,0,266,,,
18,2022-12-13 16:00:02+00:00,1602694844907802624,"We believe there is no greater gift than rediscovering your dreams, so this festive season we decided to make some of them come true. 
Happy holidays from #Ferrari.
#KeepOnDreaming",Ferrari,160,29,1396,,,
19,2022-12-12 16:00:00+00:00,1602332448259383296,"We've been making the world dream since 1947. Tomorrow, some of those dreams will come true.
#Ferrari https://t.co/znUvJUJiXx",Ferrari,356,24,4730,,,
20,2022-12-11 16:05:00+00:00,1601971319255490560,"The #Ferrari296GTB in one word: striking.   
#NishiIzu #Ferrari https://t.co/ASWbg3oeDS",Ferrari,451,33,6196,,,
21,2022-12-09 13:00:02+00:00,1601199997160136706,"How great is the power of dreams? We will find out together on Tuesday, 13 December.
#Ferrari https://t.co/7RzdxEgoct",Ferrari,167,17,1540,,,
22,2022-12-08 16:05:00+00:00,1600884155545362432,"The #FerrariRoma’s distinctive style combines with unparalleled performance and handling, in an ode to a carefree, pleasurable way of life. 
#Ferrari https://t.co/IjuCNkQYRr",Ferrari,274,9,3702,,,
23,2022-12-07 16:05:00+00:00,1600521768023760897,"The #FerrariPurosangue explores completely uncharted territory in terms of design. 
Take a look at these sketches, straight from our Centro Stile, detailing the process of finalising the unique elegance and muscularity of this Ferrari. 
#Ferrari https://t.co/zGLUdL8vgS",Ferrari,137,12,1534,,,
24,2022-12-06 16:30:38+00:00,1600165832969142272,Ferrari supports restoration of “Maestà di Assisi” fresco in the Basilica of St. Francis.,Ferrari,50,6,495,,,
25,2022-12-06 11:00:02+00:00,1600082632112381953,"This Tailor Made #FerrariMonzaSP1 is flamboyant and futuristic.
The sophisticated contrast between the exterior paintwork in Bianco Onda Marina and the vibrant Blu Ferrari of the livery stripe emphasises the character of this vehicle.
#FerrariTailorMade #IconaFerrari #Ferrari https://t.co/spaBoMeFmv",Ferrari,189,4,1868,,,
26,2022-12-05 13:47:43+00:00,1599762443575726081,"A V12 engine powered the first Ferrari and it powers the newest, the game-changing #FerrariPurosangue. 
It is Maranello’s most famous engine configuration, a hallmark of so many of its greatest cars.
Find out more about the beating heart of Ferrari.
#FerrariMagazine #Ferrari",Ferrari,76,3,835,,,
27,2022-12-04 16:05:00+00:00,1599434604183797762,"All unique and all iconic. But which is your favourite caliper, rim and bodywork colour combination?    
#FerrariMonzaSP1 #FerrariMonzaSP2 #FerrariTailorMade #IconaFerrari #Ferrari https://t.co/heo6sz4bhT",Ferrari,254,12,3003,,,
28,2022-12-03 16:05:00+00:00,1599072216401911811,"The #FerrariPurosangue: the synthesis of sportiness and power. 
#Ferrari https://t.co/hkSOM9YMAC",Ferrari,289,15,4137,,,
29,2022-12-02 16:05:00+00:00,1598709828683194369,"Enjoying the last remnant of the autumn in #Gwangju.   
Courtesy of @ferrariapac. 
#Ferrari296GTB #AssettoFiorano #DrivingFerrari #Ferrari https://t.co/RrlsBru2tW",Ferrari,116,6,1439,,,"[User(username='FerrariAPAC', id=2891856324, displayname='Ferrari Asia-Pacific', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
