,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 14:02:10+00:00,1609188164480151558,"Today's your last chance to enter the @EngineLabsMag 1,000HP Twin Turbo 7.3L #FordPerformance Engine Giveaway! ⏲️ Ends Dec 31 at 11:59PM. No purchase necessary.

Enter NOW! https://t.co/MpSwaGqSzA https://t.co/KTLR1GbsiD",FordPerformance,7,0,96,,,"[User(username='EngineLabsMag', id=809751601, displayname='EngineLabs', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-28 15:00:03+00:00,1608115570418892800,What did you get under your tree? 🎄 https://t.co/Iid4ItM8Zp,FordPerformance,57,7,646,,,
2,2022-12-27 15:00:32+00:00,1607753303416344577,".@joeylogano kicked off the season with his victory at the Clash in the Next Gen #FordMustang’s debut, @AustinCindric following up with his win at @DAYTONA and @Blaney snatching the All-Star race win are some of our #FordTopRacingMoments in 2022.
 What's your favorite? https://t.co/jzSrsWrVgu",FordPerformance,28,3,272,,,"[User(username='joeylogano', id=234097254, displayname='Joey Logano', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AustinCindric', id=910326859, displayname='Austin Cindric', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DAYTONA', id=39814938, displayname='Daytona International Speedway', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Blaney', id=239596041, displayname='Ryan Blaney', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-25 15:00:02+00:00,1607028402422255619,Santa’s new sleigh? 😏 #FordBronco https://t.co/7AplcLf0u5,FordPerformance,51,5,571,,,
4,2022-12-23 15:00:04+00:00,1606303631569035266,Time’s almost up ⏰ It’s your last chance to enter @HenryFordEstate’s sweepstakes to win a #FordBronco Raptor → https://t.co/egovmAEqFu https://t.co/cWGLUEs6dF,FordPerformance,15,3,173,,,"[User(username='HenryFordEstate', id=3220748840, displayname='Fair Lane: Home of Clara and Henry Ford', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-22 15:00:02+00:00,1605941238397652993,We can’t forget our 2 champs in our #FordTopRacingMoments @joeylogano claiming his second Cup Series Championship &amp; @zanesmith77 snatching his first Truck Series Championship! https://t.co/dUqxvxOd8T,FordPerformance,20,1,177,,,"[User(username='joeylogano', id=234097254, displayname='Joey Logano', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-21 15:00:00+00:00,1605578840314548224,"Ready or not, winter’s here ❄ https://t.co/wUbWzRPY5I",FordPerformance,12,1,160,,,
7,2022-12-20 17:06:43+00:00,1605248343948640257,The Fun-Haver duo @VaughnGittinJr and @ChelseaDeNofa are ending the year on a FUN note with a day of games at the Drift Mansion 💨 https://t.co/zYY5ZlNeSy https://t.co/eD9gDz3Fyb,FordPerformance,14,2,86,,,"[User(username='VaughnGittinJr', id=23976137, displayname='Vaughn Gittin Jr.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ChelseaDeNofa', id=229727931, displayname='Chelsea DeNofa', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-20 15:00:03+00:00,1605216467372449794,.@SebastienLoeb winning @OfficialWRC Rally Monte-Carlo in the Puma Rally1 Hybrid debut is high in our #FordTopRacingMoments of 2022! https://t.co/GmfhjEq6J3,FordPerformance,26,1,252,,,"[User(username='SebastienLoeb', id=2253219642, displayname='Sébastien Loeb', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='OfficialWRC', id=17781576, displayname='World Rally Championship', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-17 00:19:16+00:00,1603907647098462208,Awesome job @joeylogano and @ChaseBriscoe_14! 👏,FordPerformance,9,1,94,https://twitter.com/joeylogano/status/1603905603818110977,,"[User(username='joeylogano', id=234097254, displayname='Joey Logano', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ChaseBriscoe_14', id=286465209, displayname='Chase Briscoe', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-16 15:00:00+00:00,1603766901104005121,.@JoeyHandRacing made his return to @IMSA this year claiming victory in the @pf_racing #FordMustang at @VIRNow #FordTopRacingMoments https://t.co/DL2etuzUS8,FordPerformance,17,2,176,,,"[User(username='JoeyHandRacing', id=25318134, displayname='Joey Hand Racing', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='IMSA', id=28593358, displayname='#IMSA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='pf_racing', id=932795336472563712, displayname='PF Racing | #PFRacing', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='VIRNow', id=540170109, displayname='VIRginia International Raceway', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-15 17:24:55+00:00,1603440981478621184,Let's go!!!!! #Ford,FordPerformance,4,0,77,https://twitter.com/HailieDeegan/status/1603435047096295424,,
12,2022-12-15 17:21:29+00:00,1603440120404795393,"#NASCAR | Welcome back @ThorSportRacing 

Can't wait to see what this lineup does in 2023 and beyond!

@Matt_Crafton @benrhodes @TyMajeski @HailieDeegan 

#Ford @NASCAR_Trucks https://t.co/CUFlGf4yfS",FordPerformance,83,6,611,,,"[User(username='ThorSportRacing', id=122377500, displayname='ThorSport Racing', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Matt_Crafton', id=111753537, displayname='Matt Crafton', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='benrhodes', id=351003428, displayname='Ben Rhodes', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TyMajeski', id=107175185, displayname='Ty Majeski', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='HailieDeegan', id=320049454, displayname='Hailie Deegan', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NASCAR_Trucks', id=17105161, displayname='NASCAR CRAFTSMAN Trucks', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-15 15:57:50+00:00,1603419066294738945,"@NetFan2001 @FordMustang It was known before, yes - but nope, not just for Dark Horse.",FordPerformance,0,0,2,,,"[User(username='NetFan2001', id=1042714004727259138, displayname='Tommy', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FordMustang', id=12221852, displayname='Ford Mustang', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-15 15:32:47+00:00,1603412764021637128,Ho Ho Ho Horsepower! The all-new #FordMustang Dark Horse delivers 500HP. For more info ➡️ https://t.co/Wjj6jYRPiw https://t.co/LILroheH7a,FordPerformance,96,8,1049,,,
15,2022-12-15 14:11:01+00:00,1603392184438460416,Well deserved. Good luck to our entire @MSportLtd Ford World Rally Team squad in '23!,FordPerformance,13,0,125,https://twitter.com/PL_Loubet/status/1603391224299282433,,"[User(username='MSportLtd', id=44864403, displayname='M-Sport', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,2022-12-14 17:31:47+00:00,1603080322215809027,#NASCAR | The final Cup championship celebration of the week @roushyates. @joeylogano @Team_Penske https://t.co/dIDxW9uMhL,FordPerformance,8,1,160,,,"[User(username='roushyates', id=43926004, displayname='Roush Yates Engines', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='joeylogano', id=234097254, displayname='Joey Logano', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Team_Penske', id=50311625, displayname='Team Penske', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
