,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-29 21:29:11+00:00,1608575884239294469,"A king of kings 👑

We join the entire sporting world in mourning the loss of a ⚽ icon.

RIP Pelé 💙❤️ https://t.co/gg92HTy9ka",GilletteStadium,43,0,300,,,
1,2022-12-29 16:39:55+00:00,1608503089916526592,"Kick off the new year at Gillette Stadium!

Enter to win tix to #MIAvsNE: https://t.co/O27pDZUwcw https://t.co/uSnsQopGJJ",GilletteStadium,5,0,64,,,
2,2022-12-29 14:11:55+00:00,1608465844140638208,Magical morning 😍✨ https://t.co/jUxCsnw3in,GilletteStadium,44,6,508,,,
3,2022-12-28 22:42:01+00:00,1608231825603989504,Fiery Foxboro skies 🤩 https://t.co/E4RJl86Ru0,GilletteStadium,47,1,753,,,
4,2022-12-25 13:05:32+00:00,1606999586870018053,Merry Christmas! https://t.co/XBFRQ4E4Cm,GilletteStadium,21,0,204,,,
5,2022-12-24 15:22:34+00:00,1606671684538359809,Home for the holidays. https://t.co/xMbfwZnnU6,GilletteStadium,12,1,131,,,
6,2022-12-24 12:34:53+00:00,1606629484773400578,"Gameday. 

#CINvsNE | #ForeverNE https://t.co/NkiA7jNpv8",GilletteStadium,6,0,87,,,
7,2022-12-18 21:23:00+00:00,1604588063526641666,Happy Hanukkah! https://t.co/SK4Er6wGXM,GilletteStadium,8,0,73,,,
8,2022-12-18 19:11:24+00:00,1604554943859687425,"See you in 2026, @FIFAWorldCup!",GilletteStadium,37,1,274,https://twitter.com/FIFAWorldCup/status/1604535989480955908,,"[User(username='FIFAWorldCup', id=138372303, displayname='FIFA World Cup', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-18 15:01:06+00:00,1604491952602238977,"Happy holidays!

RT and reply letting us know who you’d bring to #MagicofLights to enter to win a pass to the most magical event of the season! ✨🚘🎄

https://t.co/mhHHRJJmCM https://t.co/CxfJaAyvKF",GilletteStadium,40,7,52,,,
10,2022-12-16 15:00:05+00:00,1603766924046790657,"✨Two Icons - One Night✨

BILLY JOEL &amp; STEVIE NICKS, live at Gillette Stadium on Saturday, September 23!

Tickets on-sale NOW: https://t.co/8V1PJ4XMtF https://t.co/4dY61377xs",GilletteStadium,11,1,129,,,
11,2022-12-15 20:27:53+00:00,1603487026271117329,Final days of fall in Foxboro 😍🍂 https://t.co/RDHy7vFZj7,GilletteStadium,3,0,112,,,
12,2022-12-15 18:03:12+00:00,1603450615706882048,"Who’s getting tickets to see Ed Sheeran June 30 &amp; July 1 at Gillette Stadium this holiday season? #MathematicsTour

🎟: https://t.co/tVmn7LFBbK https://t.co/JfDo7pBQVA",GilletteStadium,7,1,47,,,
13,2022-12-14 00:51:13+00:00,1602828524213108736,@nikki_swift13 S A M E 🥹,GilletteStadium,0,0,3,,,"[User(username='nikki_swift13', id=1159078220169449473, displayname='nikki | eras opening night 124 row 6', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
