,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-21 15:00:17+00:00,1605578912842584066,How can regulators improve investor protections for digital assets? Listen here: https://t.co/vBFD0ToCfY #ExchangesGS https://t.co/6aKP5VPjwT,GoldmanSachs,18,1,51,,,
1,2022-12-20 15:00:23+00:00,1605216547462680577,Chief Co-founder Carolyn Childers discusses their company’s mission to propel more women to the C-suite: https://t.co/UPhvgegfRh #TalksAtGS https://t.co/SO4j6JJmLl,GoldmanSachs,8,1,34,,,
2,2022-12-19 16:27:45+00:00,1604876148139253760,"The U.S. Inflation Reduction Act is “shifting the worldview on the art of the possible” when it comes to investing in the country’s climate transition, according to our senior leaders. https://t.co/h0FX3sItN8",GoldmanSachs,9,3,27,,,
3,2022-12-19 11:37:51+00:00,1604803191689957376,"Watch Kenneth Ho, our chief Asia credit strategist, on CNBC discussing why the narrowing of intra-rating credit spreads may be the most attractive opportunity in Asia credit right now:
https://t.co/ZalssuZ0Uo",GoldmanSachs,4,2,24,,,
4,2022-12-15 16:30:07+00:00,1603427193014681601,What’s the outlook for the asset management industry and investing trends in 2023? Listen now: https://t.co/6Ru7lUvUYl #ExchangesGS https://t.co/X6VZMj7NeS,GoldmanSachs,11,4,28,,,
5,2022-12-13 15:00:15+00:00,1602679801977921539,".@mavcarter, co-founder and CEO of the SpringHill Company, shares his insights on building an athlete empowerment content and brand company with @KingJames: https://t.co/NZkg7PONWN #TalksAtGS https://t.co/6gIkcgRFxq",GoldmanSachs,8,0,31,,,"[User(username='mavcarter', id=288956125, displayname='Maverick Carter', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KingJames', id=23083404, displayname='LeBron James', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-12 15:00:24+00:00,1602317450086842369,Our 2022 #GSInnovators are leading teams through uncertain times. They tell us how they’re forging new paths forward. Learn more here: https://t.co/HWfrfeIDGw https://t.co/vYipFV31Zt,GoldmanSachs,8,1,18,,,
7,2022-12-08 21:18:07+00:00,1600962954714927113,"Congratulations to our newly promoted vice presidents/executive directors, associates and senior analysts. These colleagues around the world have been recognized for their dedication to the firm and their teams. We look forward to their continued success. https://t.co/vYFmB2d89F",GoldmanSachs,18,4,66,,,
8,2022-12-08 19:30:08+00:00,1600935778519027715,"The @McLarenF1 team brought the racetrack to our London office for a chat, discussing their journey back towards the top of the grid and commitment to sustainability. What better way to end the day? An on-site racing simulator for colleagues to enjoy. 🏁 https://t.co/vJijiJDQEh",GoldmanSachs,1,2,31,,,"[User(username='McLarenF1', id=24871896, displayname='McLaren', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-08 03:08:44+00:00,1600688800572792832,Listen to our Chief APAC Economist Andrew Tilton discuss the potential impact of China’s reopening on this week’s Money Talks podcast from The Economist: https://t.co/2wW6YFLDhr,GoldmanSachs,6,0,22,https://twitter.com/TheEconomist/status/1600585720707616774,,
10,2022-12-07 15:00:09+00:00,1600505448133705735,Learn why balanced portfolios are likely to remain volatile in 2023 on our latest #ExchangesGS episode: https://t.co/tR1fulXvwN https://t.co/JbIKyupAii,GoldmanSachs,4,1,15,,,
11,2022-12-06 20:32:04+00:00,1600226589232332803,"“Used correctly, blockchain can support responsible innovation across the financial industry.” - Our Chairman and CEO David Solomon on the benefits of blockchain growth in regulated financial institutions: https://t.co/AVUSe9c0S1",GoldmanSachs,23,6,53,,,
12,2022-12-06 15:00:33+00:00,1600143161615155201,Our Chief Economist Jan Hatzius explains why the US could avoid recession in 2023—and the two opposing forces at play. Will real disposable income growth outweigh tightening financial conditions? Read our US Outlook Report &amp; perspectives on the year ahead: https://t.co/FkdLdUtf4U https://t.co/SwLtkXSDwZ,GoldmanSachs,17,2,38,,,
13,2022-12-02 19:08:54+00:00,1598756110806155277,"""We made sure mentoring would be an essential part of our #10KWomen program."" - Dina Powell McCormick, our global head of sustainability and inclusive growth, on the importance of fellowship among women entrepreneurs. Read more philanthropic advice here: https://t.co/8yt0akQaHr",GoldmanSachs,4,1,19,,,
14,2022-12-02 07:09:47+00:00,1598575138869579776,"""We've upgraded our view on Korea and feel very enthusiastic about that call."" Find out why in this Bloomberg TV interview with our Chief APAC Equity Strategist Tim Moe, who shares our regional market outlook for 2023: https://t.co/QpIR7eGmBR""",GoldmanSachs,5,0,17,,,
15,2022-12-01 15:00:18+00:00,1598331159624163331,How much investment is needed to get to net-zero carbon emissions? Our Head of Natural Resources explains in our latest #ExchangesGS episode: https://t.co/LxArt0A2q3 #Carbonomics https://t.co/T4fqCiXmeo,GoldmanSachs,6,1,16,,,
16,2022-11-30 15:00:16+00:00,1597968762338164741,"US stocks are forecast to have less pain but no gain in 2023. “Zero earnings growth will drive zero appreciation in the stock market,” David Kostin, chief US equity strategist, wrote in the team’s 2023 Outlook. Here’s why: https://t.co/RpZclzm0j0 https://t.co/V7hAVAl9Ht",GoldmanSachs,20,4,47,,,
17,2022-11-29 19:28:40+00:00,1597673918646681604,"Our head of European utilities research, Alberto Gandolfi, discusses Europe's headstart when it comes to renewables in the utility sector at our #Carbonomics Conference. Listen here: https://t.co/6r5Au9dZ70 #GSsustainability",GoldmanSachs,2,0,9,,,
18,2022-11-29 14:19:27+00:00,1597596102139707392,"Our #Carbonomics research explores the economics of accelerating the energy transition. With Europe’s energy landscape at a tipping point, we analyze what’s at stake. Read more: https://t.co/wEnTb3n2Rk https://t.co/sldsAqcWIJ",GoldmanSachs,3,0,10,,,
19,2022-11-29 10:16:44+00:00,1597535022239694849,"On Bloomberg TV today, our Chief Asia Pacific Economist Andrew Tilton explained why 2023 will be a year of two halves in terms of the region’s growth: https://t.co/e46NYQn1sB",GoldmanSachs,2,0,12,,,
20,2022-11-28 15:00:14+00:00,1597243976607596545,"Irving Fain, CEO &amp; founder of @BoweryFarming, talks building a successful business that drives both economic value and societal change: https://t.co/lHTDOYTCYQ #TalksAtGS https://t.co/YQN27BQZ7J",GoldmanSachs,9,1,18,,,"[User(username='BoweryFarming', id=4877814855, displayname='Bowery Farming', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
21,2022-11-24 10:33:13+00:00,1595727232177143808,"With more market volatility expected, where should China stock investors look for returns? Our Chief China Equity Strategist Kinger Lau briefs Bloomberg TV on our outlook for 2023: https://t.co/eIOwqdyK40",GoldmanSachs,3,0,19,,,
22,2022-11-23 17:00:23+00:00,1595462276848693248,Exceptional entrepreneurs at this year’s Builders and Innovators Summit tell us how they’re managing growth in a challenging operational environment. Watch the full length video here: https://t.co/0nNiC7fqYq #GSInnovators https://t.co/7WGj9buWQf,GoldmanSachs,3,1,11,,,
23,2022-11-23 08:06:36+00:00,1595327946641838081,"Will China's economy rebound next year? Hui Shan, our chief China economist, discusses the macro outlook for 2023 on Bloomberg TV: https://t.co/ILheY1XOux",GoldmanSachs,6,0,16,,,
