,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-30 16:00:01+00:00,1608855433724272640,"Not just a goal, but a detailed plan. Sharing our roadmap to achieve net-zero greenhouse gas emissions across the value chain by 2040: https://t.co/NqpFSiGJiM",HPE,6,1,12,,,
1,2022-12-29 18:12:28+00:00,1608526377459875842,"Data is no longer confined to the data center; it's generated at the edge, processed and stored in the cloud, and used in real-time. Modernize your business, edge to cloud with @HPE_GreenLake: https://t.co/x3u1g8LBrA https://t.co/kSeOvRnB40",HPE,2,0,9,,,"[User(username='HPE_GreenLake', id=257151647, displayname='HPE GreenLake', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-28 15:42:00+00:00,1608126126324436992,"What happens when you grill HPE executives? Find out in 'Grilling Around the Globe', a new series that does just that - taking viewers on a tour of HPE locations, culture, and business strategy. https://t.co/Cr0bsr71aq",HPE,0,0,9,,,
3,2022-12-27 16:32:21+00:00,1607776409245589504,"Deep dive into #HPEGreenLake platform enhancements and key innovation areas, along with specific use cases that outline the power of data-first modernization, with CTO @FidelmaRusso. Watch the keynote: https://t.co/dC7Iy3EDW3 https://t.co/Poth9dBBGP",HPE,2,0,10,,,"[User(username='FidelmaRusso', id=705041866, displayname='Fidelma Russo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-23 17:45:00+00:00,1606345139261247501,"How do we make our company a great place to work? Invest in people. Caroline Atherton, Chief Talent Officer, shares how HPE's investing in early career and university candidates, including a new virtual program that allows users to test drive a career. https://t.co/NZTuawo39p",HPE,1,0,6,,,
5,2022-12-22 17:57:34+00:00,1605985914127351809,The key to innovating faster in a data-driven world? HPE Compute – the foundation of your hybrid strategy. 🗝️🥇 Find out why: https://t.co/27ISp76U4Q https://t.co/QHf0D4RSae,HPE,3,1,9,,,
6,2022-12-21 17:12:34+00:00,1605612200529657856,"At #HPEDiscover Frankfurt, CEO @AntonioNeri_HPE's keynote dove into the latest insights in secure connectivity and hybrid cloud, data governance, and sustainability. Catch the replay on demand: https://t.co/QrF5WySCmx https://t.co/s7HCi955YK",HPE,3,1,18,,,"[User(username='AntonioNeri_HPE', id=932778844091834368, displayname='Antonio Neri', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-20 15:25:12+00:00,1605222793137766401,Adding some sparkle to your feed. 🤩 Have you heard? HPE is partnering with the 2023 @RyderCupEurope to deliver an intelligent and immersive experience to fans onsite and around the world. Find out more: https://t.co/wl8KPDmBTz https://t.co/Cy6YDogcyl,HPE,1,0,12,,,"[User(username='RyderCupEurope', id=347759070, displayname='Ryder Cup Europe', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-19 15:02:33+00:00,1604854707096166400,"Journalist @daisymcandrew hosts engaging discussions with market analysts, customers, and HPE experts in the latest episode of the #HPEGreenLake announcements show, watch the full version here: https://t.co/a4djdXQjPx https://t.co/hym03u9efu",HPE,1,0,5,,,"[User(username='daisymcandrew', id=25995437, displayname='Daisy McAndrew', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-16 14:51:04+00:00,1603764652839735302,"We're 'grilling around the globe', checking in on HPE sites and history, team members, and strategy that's moving business forward. Check out the first episode, filmed in Böblingen, and let us know what you think. 🥨🍻 Watch the full episode here: https://t.co/KUBFFl9sfN https://t.co/Owb2Z51bFK",HPE,1,0,5,,,
