,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-11-03 09:28:30+00:00,1588100799019696133,The role of #finance in the transition to #NetZero is about connecting clients to their ambitions and helping them make change happen. And that’s just what we’re doing with FAS Energy https://t.co/3Q711eqTT6,HSBC,23,11,59,,,
1,2022-11-01 15:00:03+00:00,1587459458892005379,"We’re helping kick bikes into gear in #Mexico with our sponsorship of the expansion of urban #bicycle service @ecobici in Mexico City. This initiative enables them to replace its current 6,500 fleet with 9,308 best-in-class bikes and expand the number of pick-up/drop-off stations https://t.co/n0oB0ytQeG",HSBC,3,3,27,,,"[User(username='ecobici', id=86559416, displayname='ECOBICI CDMX', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-10-25 11:18:24+00:00,1584866966913052674,"Our strategy produced good organic growth in all three global businesses and we are focused on executing our plans.

Read more about our #HSBC 3Q figures: https://t.co/kIrpxugwMB https://t.co/9qYbl9YMsU",HSBC,8,1,31,,,
3,2022-10-25 06:11:23+00:00,1584789699792498688,Here are some of the highlights from our performance in the third quarter of 2022: https://t.co/kIrpxuxzOB https://t.co/t38cHUIHsk,HSBC,11,0,35,,,
4,2022-10-25 04:14:58+00:00,1584760405326692352,"We’ve delivered a good set of quarterly results, maintained our strong momentum and retained a tight grip on costs.

See more detail on our #HSBC 3Q #results, announced today: https://t.co/kIrpxugwMB https://t.co/EyaIjuMuVy",HSBC,17,0,40,,,
5,2022-10-14 08:49:48+00:00,1580843303284920321,"Next month’s #COP27 talks will indicate whether 2022’s #geopolitical events have distracted the world from climate action, says Wai-Shin Chan, Head of #HSBC’s Climate Change Centre of Excellence. Read what he has to say about what’s at stake: https://t.co/N6ePFc1oMP",HSBC,3,1,16,,,
6,2022-10-10 00:00:24+00:00,1579260521072975872,"“We can’t serve our customers and communities unless we’re at our well best.”

On #WorldMentalHealthDay, colleagues in #HongKong reflect on navigating the challenges of some extraordinary times, and the support they had from #HSBC along the way. https://t.co/qiVirxOR0Q",HSBC,9,1,36,,,
7,2022-10-06 11:09:37+00:00,1577979386703355907,"Two heads are better than one, right? That’s the case when it comes to Helen and Helen who job share here at #HSBC. 

These two women highlight how #flexible working can make people more productive and boost those mid-week slumps. https://t.co/0ScX0c4QMX",HSBC,2,0,18,,,
8,2022-10-05 10:04:25+00:00,1577600590540161026,"Meet Maja. Working as part of a Global team in Wealth and Personal Banking at #HSBC MENAT, she sees what a valuable tool #FlexibleWorking has been to help improve workplace equality and create inclusive cultures. Do you agree? https://t.co/NRdVBrBZFC",HSBC,2,1,18,,,
9,2022-10-04 08:00:01+00:00,1577206893373792257,"#FlexibleWorking, for many, means a better work-life balance. It allows you to interact, network, and learn from others at the office. But also offers the flex to spend time caring for family or taking part in a hobby that helps boost your wellbeing. Here's why it works for Maria https://t.co/DU6o5EiLM4",HSBC,2,0,13,,,
10,2022-10-03 11:28:36+00:00,1576897000561418243,"Is the future of #work all about flexibility? At #HSBC our goal is to get the balance right - ensuring we can be at our best and deliver great outcomes for our customers, whatever the working environment. This week we’ll be sharing colleague stories that highlight flexibility. https://t.co/bOW574jvYH",HSBC,4,1,16,,,
11,2022-09-27 08:29:44+00:00,1574677656636899329,Learn how our #flexible approach to the way we #work helps us be at our best and deliver great outcomes for our #customers:,HSBC,5,0,21,,,
12,2022-09-23 08:00:24+00:00,1573220723149225986,"Have we got a cracking story about delivering clean #energy in innovative ways. This is @ManiagroArg. When they were looking to finance their #bioenergy plant that converts peanut shells into clean energy, we were their first port of call https://t.co/4Fh6nSm7VC",HSBC,6,0,16,,,"[User(username='ManiagroArg', id=718031982, displayname='Maniagro Argentina', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-09-21 08:00:01+00:00,1572495852090068994,"As a global #bank we have operations in 63 countries and territories, and customers in every corner of the world. To understand the needs of all 40 million of them, we need to speak their #language. That’s why our #diversity is so important to us: https://t.co/Fz1va35wQs https://t.co/ycroEMuBym",HSBC,8,1,35,,,
14,2022-09-18 23:01:01+00:00,1571635432533938177,"Today we join our communities around the world in remembering Her Majesty Queen Elizabeth II and paying tribute to her life of duty, dedication, dignity and compassion. https://t.co/4Tn7Gpe2tp",HSBC,12,3,68,,,
15,2022-09-16 11:40:11+00:00,1570739322135154688,"Congratulations to all our #HSBC colleagues recognised in the HERoes Women Role Model List – which celebrates leaders who champion #women in business and are driving change for gender #diversity in the workplace.

#HERRoleModels22 https://t.co/nJpvTRhMaQ",HSBC,5,0,25,,,
