,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-25 13:35:22+00:00,1607007093625610240,10/10 would organize again #FamilyReunions https://t.co/zTfWJW76PL,Heineken,6,2,25,,,
1,2022-12-22 14:55:35+00:00,1605940116933033984,@CakeNygard @UB40OFFICIAL @ClareMaguire Or just happy to beer here,Heineken,3,0,13,,,"[User(username='CakeNygard', id=1854971107, displayname='cake nygård 🍰', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='UB40OFFICIAL', id=1372040107, displayname='UB40', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ClareMaguire', id=33887940, displayname='clare maguire 🍰', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-22 12:00:03+00:00,1605895941378035714,They’re getting out of hand… https://t.co/yhfd30X6UK,Heineken,18,3,91,,,
3,2022-12-22 11:00:52+00:00,1605881046829977600,@AyTanzania Enjoy your Heineken time!,Heineken,0,0,2,,,"[User(username='AyTanzania', id=134424117, displayname='MASTA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-22 10:58:06+00:00,1605880351968165888,"@dominos Working really hard we swear 

[sneaky pre-holiday cheers 🍻]",Heineken,0,0,5,,,"[User(username='dominos', id=31444922, displayname=""Domino's Pizza"", rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-22 09:51:03+00:00,1605863479063171072,@neelufisherman You or your wife have been good this year 😂🎁,Heineken,0,1,6,,,"[User(username='neelufisherman', id=922320710877376512, displayname='Neelufisherman.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-21 15:00:02+00:00,1605578847797198848,Cheers to all families. #FamilyReunion https://t.co/SIl9wfDa8i,Heineken,3,0,30,,,
7,2022-12-21 14:35:40+00:00,1605572716362244096,@ihgdabc Cheers and congratulations on reaching your milestone! 🍻,Heineken,0,0,10,,,"[User(username='ihgdabc', id=1521169062457483265, displayname='Faith. 🚀🌕', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-21 13:27:58+00:00,1605555679091204097,@Mark37525756 Everything tastes better when you're on holiday 😂,Heineken,0,0,2,,,"[User(username='Mark37525756', id=1539670733198172161, displayname='Mark', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-21 13:02:03+00:00,1605549159158714368,@Its_Just_Tshego 👈 The best yes,Heineken,0,0,2,,,"[User(username='Its_Just_Tshego', id=1534064751571046406, displayname='Tshegofatso Tjiane', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-21 13:01:08+00:00,1605548927628955648,@nthati_jane @Budweiser @StellaArtois After dinner with fellow beer friends 💯,Heineken,0,0,2,,,"[User(username='nthati_jane', id=1294209053753843713, displayname='Nthati Jane', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Budweiser', id=2366036737, displayname='Budweiser', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='StellaArtois', id=68937753, displayname='Stella Artois', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-21 11:39:01+00:00,1605528262871961600,@R1seventy Ahww 💚,Heineken,1,0,2,,,"[User(username='R1seventy', id=1523718448026726400, displayname='Mr R7🔥', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-20 16:36:15+00:00,1605240676974673923,@nthati_jane Enjoy your lunch 👏,Heineken,0,0,3,,,"[User(username='nthati_jane', id=1294209053753843713, displayname='Nthati Jane', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-20 16:30:20+00:00,1605239186168369152,@Cinnabon @SlimJim Can I bring a +1?,Heineken,0,0,3,,,"[User(username='Cinnabon', id=84708371, displayname='Cinnabon', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SlimJim', id=209290982, displayname='Slim Jim 🚀 MEATA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-20 12:11:03+00:00,1605173933359112192,@SlimJim Only if there is beer,Heineken,0,0,3,,,"[User(username='SlimJim', id=209290982, displayname='Slim Jim 🚀 MEATA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
15,2022-12-20 11:58:24+00:00,1605170752969383936,@ngomangojuulpod We think it's great,Heineken,0,0,3,,,"[User(username='ngomangojuulpod', id=1549206960310042632, displayname='christi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,2022-12-20 11:55:16+00:00,1605169962846507010,@macguyvermedia This takes us back 😎🕺,Heineken,0,0,4,,,"[User(username='macguyvermedia', id=505383028, displayname='“Mac” the Head Nerd in Charge', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
17,2022-12-20 11:46:51+00:00,1605167843934457857,@noteniotna Nice to read you enjoyed this one better 😂,Heineken,0,0,2,,,"[User(username='noteniotna', id=716462658124271620, displayname='Antoine', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
18,2022-12-20 08:13:16+00:00,1605114093865762817,@mlzema Fresh combo 👌,Heineken,1,0,2,,,"[User(username='mlzema', id=18340526, displayname='Mark In SoCal', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
19,2022-12-19 13:33:20+00:00,1604832254919835648,@F1 Curious who will get nicely wrapped cold ones 🍻,Heineken,0,1,10,,,"[User(username='F1', id=69008563, displayname='Formula 1', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
20,2022-12-19 13:14:02+00:00,1604827399568384000,@MichelobULTRA 👋✌️,Heineken,0,0,5,,,"[User(username='MichelobULTRA', id=1447153124, displayname='Michelob ULTRA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
21,2022-12-19 12:00:02+00:00,1604808775277416449,"The best gift, with lifetime warranty included.
#LessPresents #MoreBeer https://t.co/EGhrQzz3o2",Heineken,4,1,26,,,
22,2022-12-19 11:36:13+00:00,1604802783240224776,@yugsmingi Us when we spotted the green bottle https://t.co/p49x3Y4pqS,Heineken,4,0,7,,,"[User(username='yugsmingi', id=1165704060403683328, displayname='pao; #1 pinkgi supporter', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
23,2022-12-19 11:05:50+00:00,1604795134033498112,@dominos Beer pizza,Heineken,1,0,6,,,"[User(username='dominos', id=31444922, displayname=""Domino's Pizza"", rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
24,2022-12-19 11:03:08+00:00,1604794455667912705,@pauldrurybradey @Heineken_UK Chilling out with the snowman ✌️,Heineken,0,0,1,,,"[User(username='pauldrurybradey', id=18900881, displayname='Paul Drury-Bradey', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Heineken_UK', id=614575266, displayname='Heineken® UK', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
25,2022-12-19 11:03:03+00:00,1604794432897060865,@jpkraljic ... or not 👀,Heineken,0,0,2,,,"[User(username='jpkraljic', id=1507541122075095043, displayname='John Kraljic', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
26,2022-12-19 10:58:57+00:00,1604793403581292545,@brainiacmensa Perfect football meal 👌,Heineken,0,0,1,,,
27,2022-12-19 10:39:03+00:00,1604788393787162624,@Casey_LeighD ⚽️🔥,Heineken,0,0,1,,,"[User(username='Casey_LeighD', id=803446376, displayname='Casey Leigh', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
28,2022-12-19 10:38:06+00:00,1604788155638755329,@josencarnacao @Heineken_US @Heineken_UK Why have we never tried this,Heineken,0,0,2,,,"[User(username='josencarnacao', id=381625019, displayname='José Encarnação 🇺🇦 🇪🇺 🇵🇹', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Heineken_US', id=378041590, displayname='Heineken US', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Heineken_UK', id=614575266, displayname='Heineken® UK', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
29,2022-12-16 13:33:51+00:00,1603745220767752193,@Monks_Blood @illing96 Let's goooo,Heineken,0,1,2,,,"[User(username='Monks_Blood', id=1405231927, displayname='Monks', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='illing96', id=1282914538912915456, displayname='Vektor Illing96', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
30,2022-12-16 13:30:06+00:00,1603744278995402754,@Mzuzu_1 Cheers! 🍻,Heineken,1,0,1,,,"[User(username='Mzuzu_1', id=3346422249, displayname='Shaba_Official 🇺🇦', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
31,2022-12-16 13:00:02+00:00,1603736711149895686,Available in 3D since 1873 🍺 #Avatar https://t.co/KkORRFSL5G,Heineken,7,1,39,,,
32,2022-12-16 09:37:36+00:00,1603685766797922304,@Budweiser @anKYLEosaur We'll allow it once  💚🍻,Heineken,0,0,1,,,"[User(username='Budweiser', id=2366036737, displayname='Budweiser', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='anKYLEosaur', id=859023656, displayname='Elyk Legweak', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
33,2022-12-15 16:00:39+00:00,1603419777137082369,@txtdazed POV: You're on a beer and grill date with Beomgyu and Yeonjun 🍻,Heineken,1,1,8,,,"[User(username='txtdazed', id=1213789242385518592, displayname='ًtub4tu', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
34,2022-12-15 14:48:35+00:00,1603401641818226688,@BeerBrewerDan @KristieLowry Nice venue in the background 👌,Heineken,0,0,4,,,"[User(username='BeerBrewerDan', id=146413798, displayname='BeerDrinkerDan', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KristieLowry', id=283335155, displayname='Kristie', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
35,2022-12-15 14:47:02+00:00,1603401250212651011,@BuschBeer Brewdolph 🍺,Heineken,0,0,3,,,"[User(username='BuschBeer', id=3751775481, displayname='Busch Beer', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
36,2022-12-15 14:00:02+00:00,1603389422824837122,"Even the best of drivers deserve a break after holiday celebrations. 
#WhenYouDrinkNeverDrive https://t.co/JWaqZ90Q68",Heineken,4,1,27,,,
37,2022-12-15 13:57:51+00:00,1603388873752678400,"@okayyimreloaded If not, you can always have a Heineken 0.0% 🤫",Heineken,0,0,0,,,"[User(username='okayyimreloaded', id=1473083637092564992, displayname='𝐉𝐨𝐧 𝐖𝐢𝐧𝐭𝐨𝐧, 𝐏𝐒𝐂', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
38,2022-12-15 13:30:45+00:00,1603382054892310535,@naturallight @mst3knwrestling Thought we had a common interest 👉👈,Heineken,0,0,3,,,"[User(username='naturallight', id=1387949959, displayname='Natural Light', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mst3knwrestling', id=2654729199, displayname='Duke Bison', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
39,2022-12-15 13:17:53+00:00,1603378814649860096,@MercedesAMGF1 @SchumacherMick A toast to the new family 🍻,Heineken,0,0,4,,,"[User(username='MercedesAMGF1', id=26235265, displayname='Mercedes-AMG PETRONAS F1 Team', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SchumacherMick', id=902951244549038081, displayname='Mick Schumacher', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
40,2022-12-15 13:15:01+00:00,1603378092252225536,@F1 @MercedesAMGF1 @SchumacherMick Can't wait for his first race at Mercedes 👏,Heineken,1,0,8,,,"[User(username='F1', id=69008563, displayname='Formula 1', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='MercedesAMGF1', id=26235265, displayname='Mercedes-AMG PETRONAS F1 Team', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SchumacherMick', id=902951244549038081, displayname='Mick Schumacher', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
41,2022-12-15 13:11:57+00:00,1603377320689111041,"@MercedesAMGF1 @SchumacherMick @amgmotorsport @PET_Motorsports Congratulations on your transfer, Mick! 🎉",Heineken,0,0,10,,,"[User(username='MercedesAMGF1', id=26235265, displayname='Mercedes-AMG PETRONAS F1 Team', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SchumacherMick', id=902951244549038081, displayname='Mick Schumacher', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='amgmotorsport', id=1362003490105655297, displayname='Mercedes-AMG Motorsport', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PET_Motorsports', id=121034444, displayname='PETRONAS Motorsports', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
