,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 23:29:16+00:00,1609330881839378432,You’re welcome for the amazing New Year’s Eve 😌 https://t.co/exE5GoT28R,Hennessy,18,0,35,,,
1,2022-12-30 16:45:21+00:00,1608866843502182404,What do you think our zodiac sign is?,Hennessy,6,8,37,,,
2,2022-12-29 01:02:06+00:00,1608267077617606658,Like this tweet if you know how to play spades? We're trying to see something.,Hennessy,4,2,47,,,
3,2022-12-28 01:32:37+00:00,1607912370789285889,Tonight we ride for Dallas! @dallasmavs Vs @nyknicks is about to go down! #SpiritoftheNBA,Hennessy,1,0,12,,,"[User(username='dallasmavs', id=22185437, displayname='Dallas Mavericks', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='nyknicks', id=20265254, displayname='NEW YORK KNICKS', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-27 22:49:20+00:00,1607871279280914434,@warriors 🎥🥃,Hennessy,1,0,1,,,"[User(username='warriors', id=26270913, displayname='Golden State Warriors', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-26 21:45:59+00:00,1607492949449003008,"Day in and day out, it's just ""is Hennessy coming to the party?""

Never, ""Hennessy how was your day?""

We are so much more than what's in our bottles.",Hennessy,11,1,29,,,
6,2022-12-25 20:02:12+00:00,1607104444847788032,"Holidays are dope because you can return the gifts you don’t like and use the money to buy Hennessy instead. ❤️💚

Please drink responsibly. https://t.co/3bOBmEihD5",Hennessy,18,3,97,,,
7,2022-12-25 17:52:19+00:00,1607071757998899200,Look Good Play Good ! #spiritofthenba,Hennessy,1,0,8,https://twitter.com/Lakers/status/1607068931205758977,,
8,2022-12-25 03:19:55+00:00,1606852210654052352,@Latto 🥃,Hennessy,3,0,26,,,"[User(username='Latto', id=184970791, displayname='BIG LATTO 🍀🎰🍒', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-25 03:18:48+00:00,1606851931435339777,That cake has a strong foundation.,Hennessy,6,1,52,https://twitter.com/Latto/status/1606819219466772480,,
