,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-29 17:59:28+00:00,1608523108935147520,@KishoreKumarOad We are American Honda and only deal with vehicles and service within the US. Please contact Honda in your area here: https://t.co/8GeC73KxOj,Honda,0,0,1,,,"[User(username='KishoreKumarOad', id=2193806939, displayname='Kishore Kumar Oadᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-29 17:35:43+00:00,1608517129141198848,@public_brooklyn We're humbled by your loyalty 💙,Honda,0,0,1,,,"[User(username='public_brooklyn', id=271194046, displayname='Brooklyn Public Schools', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-29 17:35:18+00:00,1608517025718050818,"@AndyinUtah Kudos on 222,222! 🥳",Honda,0,0,4,,,"[User(username='AndyinUtah', id=18459196, displayname='AndyinUtah', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-29 17:34:59+00:00,1608516946634457088,@HondaRacing_HPD Cheers to closing out such a successful year 👏,Honda,0,0,7,,,"[User(username='HondaRacing_HPD', id=54620528, displayname='HPD-North American Motorsport', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-29 17:00:03+00:00,1608508153896779777,"Take time to reflect on all the epic places you've reached this year 🙌#HondaPassport TrailSport  

📸: @camerajesus https://t.co/Wxx9kP0oSS",Honda,27,1,273,,,"[User(username='CameraJesus', id=355325180, displayname='Joe Gall', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-27 21:07:45+00:00,1607845716247957505,@philatravelgirl She made an excellent choice! Congratulations! 🎉,Honda,0,0,2,,,"[User(username='philatravelgirl', id=102883390, displayname='Suzanne ✈️', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-27 21:07:28+00:00,1607845643648745474,"@Joshua1Hickman Kudos on 222,222 miles! 🎉",Honda,0,0,0,,,"[User(username='Joshua1Hickman', id=1000552796, displayname='Joshua Hickman ❎', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-27 21:07:11+00:00,1607845570646794243,@bryanr8474 The happiest of Honda days to you too! Thanks for showing your #HondaLove,Honda,0,0,1,,,"[User(username='bryanr8474', id=1539306003832922114, displayname='Bryan Roberts', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-27 21:06:55+00:00,1607845504196427776,@TheBenWedge We appreciate the #HondaLove! ❤️,Honda,0,0,3,,,"[User(username='TheBenWedge', id=359676955, displayname='Ben Wedge', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-26 17:00:02+00:00,1607420989243117569,"Making snow look hot. 🔥 Feeling the #HondaLove.  
📷: saraa.fg4 #CivicSi https://t.co/Ktof5zzW6B",Honda,50,6,698,,,
