,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-11-02 15:45:07+00:00,1587833189032202245,"OTHERS: Using 5G and autonomous driving to make #ZeroCarbon #SmartPort available.

ME: Still waiting for last year’s #BlackFriday packages to be delivered.

#NowThatsSmart",HuaweiUSA,6,2,9,https://twitter.com/Huawei/status/1587709674329378816,,
1,2022-08-02 22:39:59+00:00,1554597912063115264,"POV: Bigger audience, larger stage and more juicy stories. We’ve gone global! Join us @Huawei. #FutureWithoutLimits",HuaweiUSA,10,1,17,,,"[User(username='Huawei', id=98047213, displayname='Huawei', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-06-17 18:51:18+00:00,1537870517558026240,"It’s that time of the year when you actually call to talk to your Dad not your Mom. Thankfully, #Huawei's #5G makes those calls even better. #HappyFathersDay #NowLetMeTalkToMom",HuaweiUSA,7,1,15,,,
3,2022-06-09 10:18:56+00:00,1534842473029189632,"@AlexKM33 The market position and leadership in technology Huawei holds today could not have been achieved by stealing others' technologies. Huawei has over 100,000 patents, is #1 in the world for ICT and 5G patents.",HuaweiUSA,0,0,1,,,"[User(username='AlexKM33', id=872215809740988420, displayname='Alex', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-06-09 10:16:19+00:00,1534841817723805698,@shitpostsenpai1 We have never stolen and never will steal anyone's technology. The market position and leadership Huawei holds today could not have been achieved by stealing others' technologies.,HuaweiUSA,0,0,1,,,"[User(username='shitpostsenpai1', id=1036814037944684544, displayname='ToddPowered ⭐️⭐️⭐️', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-06-07 23:05:10+00:00,1534310526993453057,"Just when you thought it was all about 5G, you’ll learn that it’s really all about 6G. Our very own tech expert Dr. Yan Chen will speak about what’s on the horizon of innovation. Register here for the June 8, 2022, 4:10pm EDT talk: https://t.co/bonnuPvJa6 https://t.co/BBf31iqufP",HuaweiUSA,8,1,8,,,
6,2022-06-06 15:39:11+00:00,1533835905915666433,@LDSAgency Hey thanks for the RT!,HuaweiUSA,1,0,1,,,"[User(username='LDSAgency', id=226365433, displayname='#LDSAgency \uea00 ⚽️', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-06-05 11:08:00+00:00,1533405269652230145,"Welcome to a world where air, water and power are cleaner. Huawei diligently developed technology that creates new ways to protect the earth #TECH4ALL #WorldEnvironmentalDay

Link: https://t.co/N55v61T0tf",HuaweiUSA,2,1,10,,,
8,2022-06-03 11:08:00+00:00,1532680494663421952,"Plain or glazed, jelly or cream-filled. In donuts, as in life, (or tech, for that matter), it’s the options that make things interesting. #HappyDonutDay https://t.co/NJbB2RJe4V",HuaweiUSA,88,6,704,,,
9,2022-05-24 16:25:12+00:00,1529136444039651328,"""Stop AAPI Hate""

How about stop accusing us of stealing IP because we have a Chinese heritage? As a matter of fact, we rank No. 5 in US Patents. 

#TruthOutLoud #AAPIHeritageMonth

https://t.co/xDjnJNOz50",HuaweiUSA,215,62,1993,,,
