,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-11-11 21:51:00+00:00,1591186756556140544,"Thank you isn’t enough, so every year, we partner with Operation Ride Home to help reunite veterans with their families during the holidays. #VeteransDay

https://t.co/B17kohg3to https://t.co/93Yri59nTi",JackDaniels_US,27,5,98,,,
1,2022-11-10 22:03:00+00:00,1590827389050707968,Cheers to the home team. #JackLivesHere https://t.co/s28xgVIG4z,JackDaniels_US,35,8,163,,,
2,2022-11-09 18:01:57+00:00,1590404341546225664,@phil_sparky Yes. Special release makes for limited bottles- we'll be looking at early December for both the bottle shop and across the US.,JackDaniels_US,0,0,2,,,"[User(username='phil_sparky', id=1277696018201694208, displayname='Phil Sparky', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-11-09 18:00:25+00:00,1590403953015263233,@Callawaygolfpro Nationwide in early December,JackDaniels_US,0,1,3,,,"[User(username='Callawaygolfpro', id=35543604, displayname='Nick Vaughn', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-11-09 16:00:00+00:00,1590373650200334336,"This year’s Twice Barreled Special Release is an American Single Malt Whiskey finished in Oloroso Sherry Casks. With a completely new grain bill - 100% malted barley - we’ve produced a one-of-a-kind whiskey that’s absolutely worth the wait.

Learn more at https://t.co/PNlaakfmB2. https://t.co/M6jBXFFrog",JackDaniels_US,63,3,245,,,
5,2022-11-07 23:06:19+00:00,1589756160290144263,"Lucky for you, not all family recipes stay in the family. Winter Jack, on shelves now. Get it while supplies last. https://t.co/9u1yi29pkq",JackDaniels_US,23,4,178,,,
6,2022-11-04 21:27:00+00:00,1588644001917198336,It’s not bourbon. It’s not scotch. It’s #JackDaniels. https://t.co/FqIphRPpoY,JackDaniels_US,14,5,150,,,
7,2022-11-02 21:08:00+00:00,1587914444633505793,A taste of the weekend. Any night of the week. https://t.co/lXVpvrdhdH,JackDaniels_US,51,5,276,,,
8,2022-11-01 20:45:00+00:00,1587546268762398720,"When it gets cold, keep your friends close and your #JackHoney even closer.

1 part Jack Honey
2 parts hot water
1/4 parts lemon juice
1 cinnamon stick https://t.co/oxGDPhzIFe",JackDaniels_US,32,6,173,,,
9,2022-11-01 16:56:34+00:00,1587488783720644609,"@SeanAus81880564 Definitely not discontinued. Still might be making its way to some stores for the season. As always, Winter Jack is only back for a limited time, though!",JackDaniels_US,0,0,0,,,"[User(username='SeanAus81880564', id=1337864511135608832, displayname='Sean Austin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-11-01 16:53:55+00:00,1587488114561454080,@bryonschultz 😉,JackDaniels_US,0,0,0,,,"[User(username='bryonschultz', id=107208093, displayname='Bryon Schultz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-10-31 20:15:00+00:00,1587176330772127744,The spirit of Jack Daniel. Made for Halloween sippin'. https://t.co/KLS4geghjz,JackDaniels_US,18,1,123,,,
12,2022-10-29 20:26:00+00:00,1586454323155771392,"A chilling Halloween spirit can still bring the heat.

Red Hot Honey
• 1/2oz Jack Fire
• 1/2oz Jack Honey
• Serve chilled https://t.co/nJe1C9W2iC",JackDaniels_US,30,2,156,,,
13,2022-10-28 22:23:52+00:00,1586121597525823488,"Every fall, we look forward to sippin' the same thing.

Happy #JackFriday https://t.co/GiXBKi9pQl",JackDaniels_US,17,0,108,,,
14,2022-10-27 20:42:00+00:00,1585733574036185094,"Raise up a perfect companion for a crisp Halloween night.

Jack Apple Cranberry
• 1.5oz Jack Apple
• 4oz cranberry juice
• Garnish with lime https://t.co/48oJ8crraK",JackDaniels_US,18,4,135,,,
15,2022-10-26 20:57:00+00:00,1585374961069195264,Best served with a rocking chair and a view. #JackDaniels #CountryCocktails #MakeItCount https://t.co/17qLCoML3b,JackDaniels_US,17,2,118,,,
16,2022-10-25 21:04:00+00:00,1585014335558090757,"Not all spirits are scary. Some are a little sweet.

Try the Jack Honey &amp; Ginger Beer
• 1.5oz Jack Honey
• 4oz ginger beer
• Garnish with lime

#JackHoney https://t.co/fGGcuHzxjw",JackDaniels_US,20,1,140,,,
17,2022-10-24 20:22:00+00:00,1584641377446551557,"We don't always know where our whiskey goes, but we know where every drop starts. #JackDaniels https://t.co/QIupV4TKY8",JackDaniels_US,22,1,171,,,
18,2022-10-21 20:25:00+00:00,1583554968841224193,"‘An Apple a Day’ brought home the grand prize for Jesse Peterson at the 2022 Gentleman Jack Whiskey Sour Classic.

Congratulations to Jesse and thanks to all the finalists. https://t.co/SCPVXNAb26",JackDaniels_US,4,0,65,,,
19,2022-10-20 21:12:00+00:00,1583204409038602240,Summon some spirits and get to pouring. https://t.co/jyKgnpZvvP,JackDaniels_US,19,1,150,,,
20,2022-10-19 20:45:00+00:00,1582835227075846144,Real crisp apples. Real Jack Daniel’s. #JackApple https://t.co/hB47Bgy7vo,JackDaniels_US,14,1,119,,,
21,2022-10-18 22:16:00+00:00,1582495739476791296,@AustinA18573829 Fashion. Iconic.,JackDaniels_US,0,0,1,,,"[User(username='AustinA18573829', id=1035301994154663941, displayname='Awesome Austin 220', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
22,2022-10-18 21:04:00+00:00,1582477620100231169,"Winter Jack is back. The perfect drink to welcome in the season.

*Available while supplies last in the U.S. and Canada https://t.co/Ih4sSni88q",JackDaniels_US,45,7,381,,,
23,2022-10-17 16:26:51+00:00,1582045486269071365,"We are proud to announce the winners of the 33rd annual Jack Daniel’s World Championship BBQ Invitational, Heavy Smoke BBQ from St. Peters, MO.

More than 80 teams competed at this year's #TheJack. Thanks to everyone that attended this spectacular weekend of events. https://t.co/h2Df9XTb9h",JackDaniels_US,11,0,70,,,
24,2022-10-15 18:01:00+00:00,1581344403133591552,Pregame rituals call for bold flavors. #JackDaniels #CountryCocktails https://t.co/MVtTlzPQwV,JackDaniels_US,10,0,55,,,
25,2022-10-14 21:27:00+00:00,1581033856567738371,Celebrate Jack Friday with your spirits well chilled and your company well warmed. https://t.co/tPjAw1ZikW,JackDaniels_US,17,2,133,,,
26,2022-10-13 21:33:00+00:00,1580672978739613696,"The results are in - here are the 7 regional winners in the 6th Annual Gentleman Jack Whiskey Sour Classic.

These talented finalists will head to the Jack Daniel Distillery in Lynchburg before going head-to-head in the Finale in Nashville on October 19th.
https://t.co/liFsPe1SgU https://t.co/skihYzxtIh",JackDaniels_US,4,0,43,,,
27,2022-10-11 21:01:00+00:00,1579940150187941889,"When Jack and honey get together, friends tend to do the same. #JackHoney https://t.co/kJh4l2Dysf",JackDaniels_US,14,0,115,,,
28,2022-10-10 21:12:00+00:00,1579580530047143936,"Congratulations to the Grand Prize Winners of the 2022 
#JDBattleOfTheBarBands, Wichita’s @MountainDeerRev.

https://t.co/luyUA8DF8K https://t.co/wvNJlPdHnx",JackDaniels_US,5,1,51,,,"[User(username='MountainDeerRev', id=1579305198, displayname='MountainDeerRevival', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
29,2022-10-05 14:00:01+00:00,1577659881330380805,"The Jack Daniel Distillery introduces its latest expressions of experimental whiskeys, available this month at the White Rabbit Bottle Shop and select stores in Tennessee.

Jack Daniel’s Distillery Series #8 is a Toasted Maple Barrel Rye and #9 is a Toasted Barrel Finished Rye. https://t.co/Qg5NNw3ckn",JackDaniels_US,29,2,177,,,
30,2022-10-04 20:54:00+00:00,1577401673206665226,"They don’t have your names on them, but they might as well. #JackFire https://t.co/hZvy2v5Hb6",JackDaniels_US,9,2,107,,,
31,2022-10-03 21:27:00+00:00,1577047590172037132,"Former Jack Daniel’s World Championship BBQ Invitational judge, @girlscangrill, is returning to Lynchburg as a contestant this year. 

“I started competing in 2017, and my goal since then has been to earn a spot to cook at #TheJack.""

Learn more at https://t.co/LXhM8rLJsb https://t.co/JuaxrkaRa9",JackDaniels_US,7,0,49,,,"[User(username='girlscangrill', id=3098123172, displayname='Girls Can Grill', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
32,2022-09-30 21:32:00+00:00,1575961684660740096,"Don't wait for the perfect moment, take the moment and make it perfect. #JackDaniels https://t.co/9zcgq8sN50",JackDaniels_US,11,0,82,,,
33,2022-09-30 18:53:11+00:00,1575921716601110528,"Congratulations to Byron Copeland and Tracie Franklin, the first graduates from the Leadership Acceleration Program, part of the Nearest and Jack Advancement Initiative. Byron has been named Manager of Leadership Acceleration and Maturation Innovation.

https://t.co/RsyjYYDEet https://t.co/y310FuZb06",JackDaniels_US,6,0,60,,,
34,2022-09-29 20:28:50+00:00,1575583401503227904,The best part of a hot grill is stepping away for a cool Jack Daniel's Country cocktail. #JackDaniels #CountryCocktails #MakeitCount https://t.co/LqyDYbIzQw,JackDaniels_US,12,1,87,,,
35,2022-09-28 21:30:00+00:00,1575236407290798080,"Where there’s music, there’s Jack. #JackLivesHere

https://t.co/ZrJgdEbfeK https://t.co/qCgggMEKDH",JackDaniels_US,5,0,81,,,
36,2022-09-26 21:11:00+00:00,1574506848333357056,"A Jack so friendly, we call it Honey. https://t.co/awuLAeR8n3",JackDaniels_US,11,1,83,,,
