,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 21:55:45+00:00,1609307346177499138,"We counted down 3,200 miles to deliver the numerals with the #KiaTellurideXPro to Times Square. Get ready for #KiaNYE https://t.co/YI2ZFyleI7",Kia,5,0,29,,,
1,2022-12-30 23:51:33+00:00,1608974101959376896,@Cptn_Toad Thank you for providing your contact information! Please allow 2-3 business days a member of our team will assist you. ^EW,Kia,0,0,0,,,"[User(username='Cptn_Toad', id=730562650002751488, displayname='Dillon Palmer', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-30 23:10:06+00:00,1608963670259671040,"@MattZandt Thank you. After review of your case, it appears your representative communicated our decision regarding this incident to you on 12/29/22. ^EW",Kia,0,0,0,,,"[User(username='MattZandt', id=1108618893524942848, displayname='Its.Me.MattVZ🦅- Humanity must win 🌎', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-30 17:40:43+00:00,1608880778837909504,@JonathanDRatner We are sorry that you have experienced this issue. Please DM your VIN and contact number and a member of our team will contact you. ^EW,Kia,0,0,0,,,"[User(username='JonathanDRatner', id=1601413840729686016, displayname='Jonathan Ratner', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-30 17:28:55+00:00,1608877807500763139,@ShanaStukalsky We are sorry that you have experienced this issue. Please DM your VIN and contact number and a member of our team will contact you. ^EW,Kia,0,0,0,,,"[User(username='ShanaStukalsky', id=979620000, displayname='Shana', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-30 17:00:21+00:00,1608870620598607872,We are just a day away from #KiaNYE. Where will you count it down? #KiaTellurideXPro,Kia,2,1,20,,,
6,2022-12-30 16:17:01+00:00,1608859712111403010,@DearKia2022 We have located your existing case and have added this information. We will request your Escalated Case Analyst to contact you on their earliest opportunity. ^EW,Kia,0,0,0,,,"[User(username='DearKia2022', id=1581446197587460096, displayname='DearKia', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-30 13:54:04+00:00,1608823739860361218,@Kalisssaa_ Thank you for providing your contact information! Please allow 2-3 business days a member of our team will assist you. ^EW,Kia,0,0,0,,,"[User(username='Kalisssaa_', id=920840144759877633, displayname='Kalissa Marie 🦔', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-29 20:00:11+00:00,1608553487394131968,"Counting down… only two more days! #KiaNYE is almost here. If you’re in the area, join us in Times Square.",Kia,3,0,17,,,
9,2022-12-29 18:31:20+00:00,1608531127945363457,@peeradeep We are so sorry you have had a bad experience at the dealership. Do you mind sending us a private message? Please include your contact number along with full name and one of our team members will be happy to assist you. ^EW,Kia,0,0,0,,,"[User(username='peeradeep', id=56695373, displayname='Peeradeep Vignesh', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
