,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-30 16:00:06+00:00,1608855455253626886,"Getting excited for the new year?! We know it will be a late night so don't leave the house without sealing your hairstyle in place with our Elnett Satin Extra Strong Hold Hairspray.
Check out on @amazon  https://t.co/2OH0xFqhx9 https://t.co/DIfLwDNySW",LOrealParisUSA,6,1,18,,,"[User(username='amazon', id=20793816, displayname='Amazon', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-28 14:52:37+00:00,1608113699461468162,@trevschan2 We hope you try it out and love it! ❤️,LOrealParisUSA,0,0,1,,,"[User(username='trevschan2', id=1039036280, displayname='Trevschan2', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-28 14:00:02+00:00,1608100463475392516,"New Year, Fresh New Look, with your favorite L’Oreal Paris products! Shop here: https://t.co/pzvqRyeKBX https://t.co/T1AJAuCGp5",LOrealParisUSA,9,0,19,,,
3,2022-12-20 17:00:07+00:00,1605246681594925068,"Holidays are in the (h)air so what better way to perfect those styles than with Elnett Satin Extra Strong Hold Hairspray?! This spray delivers a long-lasting, humidity-resistant hold to lock in your style👍 
Available on @amazon https://t.co/OyRRzJBYDB https://t.co/RBkEYlj9yB",LOrealParisUSA,11,0,21,,,"[User(username='amazon', id=20793816, displayname='Amazon', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-20 14:00:13+00:00,1605201408890146816,Watch now! The 2022 L’Oréal Paris Women of Worth Celebration is available on demand at https://t.co/xGwOiIOz87. #lorealwomenofworth #worthit https://t.co/0yRFmG0CVo,LOrealParisUSA,109,1,308,,,
5,2022-12-13 14:00:00+00:00,1602664637790552064,"Read all about why celebrity hairstylist, Jonathan Colombini recommends #EverPure Purple to make your gray hair POP 💜 
https://t.co/CNZUZNlxdQ",LOrealParisUSA,6,1,20,,,
6,2022-12-09 17:00:09+00:00,1601260422212059137,"Give the gift of great hair this holiday season with the #Everpure Simply Clean range; a daily color care system thoughtfully formulated with non-stripping ingredients for beautiful-looking colored hair every day 🤍 
Shop now at @target
https://t.co/C8Y4UnkNCx https://t.co/apwcGOx6lX",LOrealParisUSA,6,1,18,,,"[User(username='Target', id=89084561, displayname='Target', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-01 14:00:17+00:00,1598316056593956871,It’s almost here! A celebration of ten amazing women—one amazing event! See who becomes the Women of Worth National Honoree! You won’t want to miss it! #LOrealWomenofWorth #WorthIt https://t.co/cQBI71NyZD,LOrealParisUSA,5,0,22,,,
8,2022-11-28 15:45:01+00:00,1597255247642394624,Cyber Monday deals are here! Shop now and save money with L'Oréal Paris exclusive holiday deals!✨ Shop here: https://t.co/reRLBwi9EM https://t.co/EUo2yZg375,LOrealParisUSA,9,0,11,,,
9,2022-11-28 12:05:03+00:00,1597199893868990464,Limited Time Deal! Save 20% on Revitalift Triple Power Moisturizer on Amazon. Get it before it’s gone!  #cybermonday Linked here: https://t.co/mQNQuybc1n https://t.co/uKI3qXA170,LOrealParisUSA,5,1,12,,,
10,2022-11-27 22:00:13+00:00,1596987281969135618,Thank you to the 2022 Women of Worth honorees - ten amazing women who inspire us to show gratitude for the positive changes they’ve made in so many lives. See their stories and how to support them at https://t.co/xGwOiIO1iz #LOrealWomenofWorth #WorthIt https://t.co/r8hD12UNYR,LOrealParisUSA,4,0,8,,,
11,2022-11-27 21:00:12+00:00,1596972179169898496,Thank you to the 2022 Women of Worth honorees - ten amazing women who inspire us to show gratitude for the positive changes they’ve made in so many lives. See their stories and how to support them at https://t.co/xGwOiIOz87 #LOrealWomenofWorth #WorthIt https://t.co/kg4zR9UlbR,LOrealParisUSA,4,0,6,,,
12,2022-11-27 20:00:14+00:00,1596957086361227264,Thank you to the 2022 Women of Worth honorees - ten amazing women who inspire us to show gratitude for the positive changes they’ve made in so many lives. See their stories and how to support them at https://t.co/xGwOiIOz87 #LOrealWomenofWorth #WorthIt https://t.co/ZIjJaBp8K0,LOrealParisUSA,3,0,8,,,
13,2022-11-27 19:00:13+00:00,1596941984723255302,"We are proud to honor our ten 2022 Women of Worth honorees. Each exemplifies sacrifice, dedication, courage and vision. Learn more about our honorees and how to support them at https://t.co/xGwOiIO1iz  #LOrealWomenofWorth #WorthIt https://t.co/3nmKZ3Jv84",LOrealParisUSA,4,0,8,,,
14,2022-11-27 18:00:21+00:00,1596926919752269824,"We are proud to honor our ten 2022 Women of Worth honorees. Each exemplifies sacrifice, dedication, courage and vision. Learn more about our honorees and how to support them at https://t.co/xGwOiIO1iz  #LOrealWomenofWorth #WorthIt https://t.co/ZTtoRa1Tlq",LOrealParisUSA,3,0,5,,,
15,2022-11-27 17:00:13+00:00,1596911785533374469,"We are proud to honor our ten 2022 Women of Worth honorees. Each exemplifies sacrifice, dedication, courage and vision. Learn more about our honorees and how to support them at https://t.co/xGwOiIOz87  #LOrealWomenofWorth #WorthIt https://t.co/AAJPmyuvOf",LOrealParisUSA,3,1,6,,,
16,2022-11-27 16:00:12+00:00,1596896683496980483,We are truly grateful for this year’s Women of Worth honorees – ten women who have dedicated themselves to making positive impact in countless lives. Learn more about our honorees and how to support them at https://t.co/xGwOiIO1iz #LOrealWomenofWorth #WorthIt https://t.co/h3FHl4Geue,LOrealParisUSA,4,1,7,,,
17,2022-11-27 15:00:23+00:00,1596881627774259200,We are truly grateful for this year’s Women of Worth honorees – ten women who have dedicated themselves to making positive impact in countless lives. Learn more about our honorees and how to support them at https://t.co/xGwOiIwpTZ #LOrealWomenofWorth #WorthIt https://t.co/z1g0uEj1Fh,LOrealParisUSA,4,0,6,,,
