,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-30 17:00:22+00:00,1608870622888710144,Kick off your 2023 with an adventure you’ll never forget at the Land Rover Experience Center: https://t.co/Rqe2BQTyto. https://t.co/CWRZ498zlE,LandRoverUSA,28,3,218,,,
1,2022-12-30 12:47:49+00:00,1608807067778785280,"@mehrajsekhwan Hello Mehraj, I’m sorry to hear you’ve had an extended wait for parts. If you contact our Customer Relationship Center at 1-800-637-6837 one of our agents would be happy to help. Thank you - Nicole",LandRoverUSA,0,0,0,,,"[User(username='mehrajsekhwan', id=124078673, displayname='Mehraj Sekhon', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-27 17:00:02+00:00,1607783376156516354,"Perfectly tailored.

#RangeRover https://t.co/CHX0TW1a6f",LandRoverUSA,3,0,83,,,
3,2022-12-22 16:08:17+00:00,1605958414382862338,"@DwayneTriplett1 Hi there, thanks so much for your interests in working with us. While we are not currently seeking collaborations, we will make sure to keep you in mind for future opportunities.",LandRoverUSA,0,0,0,,,"[User(username='DwayneTriplett1', id=1567662930056937473, displayname='Dwayne Triplett jr', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-21 17:00:32+00:00,1605609175752523778,"Gift lasting memories this year at the Land Rover Experience Center. Choose from one of our three locations in North Carolina, California or Vermont: https://t.co/Rqe2BQTyto. https://t.co/Wq9K79C9i7",LandRoverUSA,10,3,66,,,
5,2022-12-14 19:33:03+00:00,1603110841351553024,"@KarenBr79875374 Hello Karen I apologize for any confusion as I was informed someone reached out to you yesterday regarding your vehicle. If you did not receive any communications, please DM us and I would be happy to look into this further. Thank you - Nicole",LandRoverUSA,0,0,0,,,"[User(username='KarenBr79875374', id=1475465869388132357, displayname='Karen Brown', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-14 18:07:38+00:00,1603089345753354242,"@KarenBr79875374 Hello Karen, I’m sorry to hear you’re still having trouble getting in touch with one of our retailers. I have contacted the management team for your retailer and asked that they reach out to your as soon as possible. I apologize again for the delay in response. Thank you - Nicole",LandRoverUSA,0,0,0,,,"[User(username='KarenBr79875374', id=1475465869388132357, displayname='Karen Brown', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-13 13:14:30+00:00,1602653186040500224,"@brickpaul65 Hello, I’d be more than happy to assist you further. At your convenience, please DM us your full name, email, and VIN, so I can find your account in our system. If you have any questions or concerns, please do not hesitate to ask. Thank you - Nicole",LandRoverUSA,0,0,0,,,"[User(username='brickpaul65', id=1281002311238680577, displayname='Brickpaul65', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-12 14:09:00+00:00,1602304513486061574,"@brickpaul65 Hello, I’m sorry to hear you’ve had an extended wait for parts. If you DM us your full name, email, and VIN, I’d be more than happy to look into this further. If you have any questions or concerns, please do not hesitate to ask. Thank you - Nicole",LandRoverUSA,0,0,0,,,"[User(username='brickpaul65', id=1281002311238680577, displayname='Brickpaul65', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-06 13:41:30+00:00,1600123268744323072,"@swooshanta Hello, at this time I advise speaking with your retailer regarding this process as they are best suited to answer your questions. I apologize I could not be of further assistance at this time. If you have any other questions please don't hesitate to ask. Thank you - Nicole",LandRoverUSA,0,0,0,,,"[User(username='swooshanta', id=987162418437656576, displayname='Sushanta Sarkar', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
