,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 23:50:54+00:00,1609336326192795648,"@kagahian This is amazing, Kam! Thank you for sharing — Happy #CCNA Anniversary AND a Happy New Year to you! https://t.co/VPPsJBxuoo",LearningatCisco,0,0,2,,,"[User(username='kagahian', id=844605117756162048, displayname='Kam Agahian', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-31 23:41:13+00:00,1609333889771634688,"Out with the old, in with the new. Explore the newly released, highly customizable @CiscoUmbrella API collection and learn how to get started: https://t.co/gYIS2NExAB

#SecureX #OpenAPI #SASE https://t.co/1fvn7S6yFp",LearningatCisco,2,0,12,,,"[User(username='CiscoUmbrella', id=689273, displayname='Cisco Umbrella', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-31 23:00:00+00:00,1609323514305167362,"Ready to work smarter in 2023? Then you need to stop reinventing the wheel, recreating those same tasks and variables in every #Ansible playbook. 

There's a better way, and it's called Ansible roles. Learn more with @renobelk and see a quick demo now. https://t.co/U5JojXpM5Q",LearningatCisco,3,0,15,,,"[User(username='renobelk', id=1964041028, displayname='Jason Belk', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-31 22:30:00+00:00,1609315967338700801,"A mess of logs, languages, load balancing, and more. 🤯 

Unless you've restructured your ops, a distributed microservices architecture won't fix issues around common infrastructure component consumption.

Your mess needs a mesh. 👉 https://t.co/VotdJFMamK

#SRE #DevOps #Calistia",LearningatCisco,5,0,13,,,
4,2022-12-31 22:05:00+00:00,1609309675291303941,"Tech learning, shaped to you. 
We call it Cisco U. 

Take 15 to get a closer look 👀 at our shiny new digital learning experience in this overview and demo with @aroach @theDeNap @Kareem_isk. 

Watch now! https://t.co/bbyLhanmVr
#CiscoU #CiscoCert",LearningatCisco,3,0,20,,,"[User(username='aroach', id=1943481, displayname='ashley roach', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='theDeNap', id=269816588, displayname='Matthew DeNapoli', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Kareem_isk', id=3319476090, displayname='Kareem Iskander \uea00', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-30 21:02:52+00:00,1608931648862842880,"@jtsveigdalen We get it…
Which certs, though? 😍 https://t.co/yCCpP8NwW5",LearningatCisco,0,0,1,,,"[User(username='jtsveigdalen', id=56503743, displayname='@JENИerating more revised ¶aragraphs', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-30 18:59:50+00:00,1608900689006137344,"❄️ Happy Holidays, Snackers! ❄️ 

Watch our favorite Snack Minute episodes for bite-sized learning, tech talks, and demos on topics like networking, cloud, and automation.

🎬 Watch now: https://t.co/nHMJiCBDOC
#CiscoCert #CiscoU https://t.co/QIQeEv5GVA",LearningatCisco,1,0,7,,,
7,2022-12-30 18:46:04+00:00,1608897223575875586,https://t.co/lBsB2zJS4x,LearningatCisco,1,1,7,https://twitter.com/LearningatCisco/status/1608882787133820929,,
8,2022-12-30 17:48:42+00:00,1608882787133820929,"GIFs only:👇
What’s your victory song?!

#CiscoCert",LearningatCisco,3,1,27,,,
9,2022-12-30 17:35:06+00:00,1608879365437403137,@Zaal1990 @ine @keithbogart1 @BosonSoftware @JeremysITLab Congratulations! 🎉 https://t.co/XiINp1cp8Q,LearningatCisco,0,0,2,,,"[User(username='Zaal1990', id=241909966, displayname='Zaal Pkhovelishvili', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ine', id=24922691, displayname='INE', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='keithbogart1', id=3167586026, displayname='Keith Bogart', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BosonSoftware', id=70789862, displayname='Boson Software', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JeremysITLab', id=1198109118000578560, displayname='Jeremy McDowell', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
