,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-30 20:00:00+00:00,1608915829948649477,"Tax-efficient investing can have an impact on your lifetime wealth accumulation. Learn how a Morgan Stanley Financial Advisor can help you, with Morgan Stanley’s Total Tax 365. https://t.co/SGZDWUjc8v",MorganStanley,4,0,7,,,
1,2022-12-30 17:00:00+00:00,1608870529338859520,Quantitative investment strategies are on track to end the year up nearly 4% when most asset classes are in the red. Here’s why that could continue. https://t.co/K87o6NObg5,MorganStanley,4,1,22,,,
2,2022-12-30 11:00:00+00:00,1608779933005893634,Asia equities have reached the end of a long bear cycle. Here are the countries set to lead the rally. https://t.co/YpjVTfOS4K,MorganStanley,6,1,20,,,
3,2022-12-29 20:00:01+00:00,1608553446063456258,"Nuclear fusion could be a game changing sustainable energy solution. While a recent breakthrough has garnered optimism for technology that can recreate the process that powers the sun in a lab setting, commercialization could be many years away. Read more: https://t.co/PSbuVTOQ75 https://t.co/rT3qFqGpFY",MorganStanley,4,0,16,,,
4,2022-12-28 21:00:00+00:00,1608206154714193921,"As we look towards the new year, consider these ways to support the people and causes you value. https://t.co/2mx93LqWZK",MorganStanley,2,0,10,,,
5,2022-12-23 21:30:00+00:00,1606401762524647424,"What could propel the decades-long shift to electric vehicles mass adoption, and how investors can benefit? Here’s a closer look: https://t.co/jSXV6urVMU",MorganStanley,2,0,14,,,
6,2022-12-23 19:55:51+00:00,1606378067848531978,Get ready to trade that track suit for a business suit. Corporate travel is bouncing back after COVID-19's devastating blow. https://t.co/K7o70qFPK9,MorganStanley,2,0,11,,,
7,2022-12-23 18:50:24+00:00,1606361596724387840,"When attempting to determine what the global economy looks like, some economic indicators at an investors disposal may be more useful, while others lag behind.
 
Read more about this episode:https://t.co/pUw83fFZdo https://t.co/y8vs6aKjKW",MorganStanley,4,0,6,,,
8,2022-12-22 15:13:24+00:00,1605944601801592834,"As congress wraps up for 2022, and we look towards a divided government in 2023, there are a few possible legislative moves on the horizon that investors will want to be prepared for. https://t.co/5x5HL5G1kC https://t.co/2SwGpce6ph",MorganStanley,3,1,7,,,
9,2022-12-21 21:00:01+00:00,1605669440187686933,Are you making the most out of your charitable contributions? Consider these tax‐efficient strategies to help maximize your gifts to charities and loved-ones. https://t.co/4g2q5gUJHz,MorganStanley,2,0,9,,,
