,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-30 20:00:40+00:00,1608915994877067266,There’s no time to stop and smell the flowers in Peach Gardens from Mario Kart DS! A frantic dash through the hedges awaits in Wave 3 of the #MarioKart 8 Deluxe – Booster Course Pass. https://t.co/gbJ1W4UMaC,NintendoAmerica,229,9,2195,,,
1,2022-12-30 18:00:01+00:00,1608885635561017344,"Don’t miss your chance to save up to 50% on select #NintendoSwitch indie games and DLC during the @IndieWorldNA Holiday Sale! Ends 1/1 at 11:59 p.m. PT.

➡️: https://t.co/LWZ3yPtSyU https://t.co/StHNZd1S8D",NintendoAmerica,141,7,1090,,,"[User(username='IndieWorldNA', id=1235315691194134528, displayname='Indie World', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-29 18:00:05+00:00,1608523261524025348,"Emblem Sigurd's engage attack, Override, charges through a line of adjacent foes, breaking through to the other side. When you see foes lined up, rush in to catch them in one fell swoop. #FireEmblem https://t.co/y0hZhvF8Mj",NintendoAmerica,225,19,1890,,,
3,2022-12-29 01:30:01+00:00,1608274105907949568,"#NintendoSwitchOnline members can now redeem their #MyNintendo Platinum Points to collect this week’s selection of custom icons from #Splatoon3. #MissionsAndRewards

Learn more: https://t.co/ewMJO5awO4 https://t.co/XTj97kh9DD",NintendoAmerica,684,180,5294,,,
4,2022-12-27 21:30:02+00:00,1607851322912477184,"NO PURCH. NEC. US (incl. D.C.), Canada res 13+, Mexico res 18+; access to Nintendo Switch, Splatoon 3, high-speed internet &amp; Nintendo Switch Online. Tournament ends 12/30/22 at 2:00 PM PT. See Rules for details. https://t.co/AUnd8QYUIX",NintendoAmerica,44,0,451,,,
5,2022-12-27 21:30:01+00:00,1607851320567861248,"The #Splatoon3 Turf War December 2022 tourney is splatting onto the scene this Friday, 12/30. Gather your crew, ink the most turf, and win some prizes!

Learn more, including how to register here:
https://t.co/4qhWTVsxLr https://t.co/7RD4NbI4QT",NintendoAmerica,161,12,1664,,,
6,2022-12-27 18:01:05+00:00,1607798738654822401,"Anna starts as the Axe Fighter class. Her swings are fierce but leave her open to retaliation, so be especially careful when fighting sword-wielding foes. #FireEmblem https://t.co/KUbSNUOZsI",NintendoAmerica,412,195,3427,,,
7,2022-12-27 18:00:28+00:00,1607798582232350721,Anna is an aspiring merchant who travels about each country in search of expensive-looking treasure. #FireEmblem https://t.co/HscI1MSmdq,NintendoAmerica,1180,974,8795,,,
8,2022-12-26 18:00:00+00:00,1607436077844791297,"Did you get lucky and receive a #NintendoSwitch this holiday?

There’s plenty of info to help get you started with your new system in our customer support page articles. Check them out at the link below!

https://t.co/jrvVIf4iVp",NintendoAmerica,119,17,2008,,,
9,2022-12-25 16:00:04+00:00,1607043509474795520,"Happy Holidays from your friends at Nintendo! Wishing you a merry and vibrant holiday season.

📸@captaindangerous
 
#NintendoSwitchOLED #MarioKart 8 Deluxe #MerryMountain https://t.co/eZn75VPzgC",NintendoAmerica,326,13,3618,,,
10,2022-12-24 13:05:02+00:00,1606637070528782337,"When it comes to delicious cakes, Kirby and friends are all set for the holidays! #KirbysReturnToDreamLandDeluxe https://t.co/2i4bN0IAz4",NintendoAmerica,1367,50,9310,,,
11,2022-12-23 22:37:00+00:00,1606418623068790788,"NO PURCH NEC. Must be US or CAN (excluding QC) resident age 13+. See Rules 4 details. Enter by 2/28/2023 at 11:59 PM PT. Total ARV: $2,000.00 USD. Sponsor is Nintendo. https://t.co/5dzYazbu3h",NintendoAmerica,27,4,301,,,
12,2022-12-23 21:00:01+00:00,1606394215935746048,"Have you pulled your crew of fellow Trainers together to play #PokemonScarletViolet? Maybe spent more time making your mark along Victory Road?

Let us know about your favorite experiences so far! https://t.co/SenXvD7gEY",NintendoAmerica,126,41,1745,,,
13,2022-12-23 20:00:02+00:00,1606379120904048652,"⭐ Float into #Kirby and the Forgotten Land with 500 Star Coins, 1 Car-Mouth Cake, and 2 Food Items! ⭐

Enter this Present Code in-game to claim your reward: HAPPYHOLIDAYS https://t.co/yyLIMwbkFJ",NintendoAmerica,253,11,1520,,,
14,2022-12-23 19:00:01+00:00,1606364020730101774,"Gifting or possibly receiving a #NintendoSwitch this holiday season?

Check out some helpful info and answers to questions you might have about getting started with Nintendo Switch at the link below!

https://t.co/9XHjwJOLHy https://t.co/F7DxGtxWZH",NintendoAmerica,109,7,1610,,,
15,2022-12-23 18:00:02+00:00,1606348924670939141,"Save up to 50% on select #NintendoSwitch indie games and DLC during the @IndieWorldNA Holiday Sale! Ends 1/1 at 11:59 p.m. PT.

➡️: https://t.co/jnDIXQpjTw https://t.co/s1UGpwBsA3",NintendoAmerica,133,15,1221,,,"[User(username='IndieWorldNA', id=1235315691194134528, displayname='Indie World', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,2022-12-23 17:00:03+00:00,1606333826044755973,"Enter for a chance to win some engaging prizes in the #MyNintendo #FireEmblem Engage Sweepstakes! 

https://t.co/Hh1TbJhAz4 https://t.co/C0BIYDQwcp",NintendoAmerica,623,106,4867,,,
17,2022-12-22 21:02:01+00:00,1606032332753870859,"Redeem your points and enjoy this sweet My Nintendo reward, an adorable Kirby Dream Buffet keychain!

https://t.co/pERRd2GA1C https://t.co/BiE8mxrjRd",NintendoAmerica,430,43,4221,,,
18,2022-12-22 19:00:40+00:00,1606001792818593793,"Get ready to go dashing through the snow with the new Merry Mountain course! Now available via Wave 3 of the Mario Kart 8 Deluxe Booster Course Pass! 

https://t.co/bbtBcaWo9c https://t.co/VUGAIPnL1s",NintendoAmerica,177,8,1868,,,
19,2022-12-22 18:00:02+00:00,1605986534733348865,"Attention EarthBound fans! #MyNintendo has two out-of-this-world physical rewards you might be interested in—check it out!

https://t.co/MHKUfT9AnY https://t.co/WA4dJAZQOi",NintendoAmerica,935,368,6995,,,
20,2022-12-22 14:00:55+00:00,1605926358760448000,"See what critics have to say about #JustDance 2023 Edition. Experience new online multiplayer, personalization, 3D immersive worlds, new songs and modes!

Available now on Nintendo Switch: https://t.co/ZKK5yERoqx https://t.co/w4S4i4GvL3",NintendoAmerica,62,13,695,,,
21,2022-12-21 20:00:01+00:00,1605654343709036545,"As the credits roll on 2022, we take a last look back &amp; reveal the games YOU picked in our #NintendoPower Podcast Fan-Favorite Games of 2022 poll! Join the NPP team for fun debates and great game recommendations in this special year-end episode!

🎧: https://t.co/5rNOMqwuJW https://t.co/sT6M7P9wgf",NintendoAmerica,53,4,648,,,
22,2022-12-21 19:00:03+00:00,1605639251596611592,"25 years ago today, Yoshi’s Story was released on the #Nintendo64 in Japan! What are your favorite memories from venturing through the pages of this Yoshi adventure?

Yoshi’s Story is available to play now for #NintendoSwitchOnline + Expansion members! https://t.co/Yjpx6ggVZr",NintendoAmerica,920,298,7287,,,
23,2022-12-21 18:00:10+00:00,1605624183077077004,"The engage attack Lodestar Rush is a powerful and blindingly fast flurry of blows. Dragon units get an additional 2 attacks when they use this, so pairing Marth with Alear is an excellent choice. #FireEmblem https://t.co/fxETintfMx",NintendoAmerica,301,30,2547,,,
24,2022-12-20 18:00:58+00:00,1605261993669173258,Thanks for helping us spread cheer all year long! Happy Holidays from Nintendo! https://t.co/wgPiDBZl5X,NintendoAmerica,337,12,2592,,,
25,2022-12-19 20:00:01+00:00,1604929567214411785,"Jump for joy with Super Mario! Check out this list of #NintendoSwitch games featuring Mario and friends. Which ones will you be playing during the holidays? 

https://t.co/OJk20ZS7Iq https://t.co/xnaYYcTBYI",NintendoAmerica,260,142,2776,,,
26,2022-12-19 19:00:39+00:00,1604914625539178512,Danger: falling boulders ahead! The rocky chasms and windy cliffs of Rock Rock Mountain from #MarioKart 7 are yours to enjoy in Wave 3 of the Mario Kart 8 Deluxe – Booster Course Pass. https://t.co/JHwTLuJvB6,NintendoAmerica,181,63,2190,,,
27,2022-12-19 17:13:08+00:00,1604887568901963776,"NO PURCH. NEC. US (incl. D.C.), Canada res 13+, Mexico res 18+; access to Nintendo Switch, Splatoon 3, high-speed internet &amp; Nintendo Switch Online. Tournament ends 12/30/22 at 2:00 PM PT. See Rules for details. https://t.co/YoXK7ogoKY",NintendoAmerica,37,0,508,,,
28,2022-12-19 17:13:07+00:00,1604887566842580992,"The action starts on 12/30 at 10AM PT. To register, head over to: https://t.co/Y0OdjphPAG",NintendoAmerica,63,2,630,,,
29,2022-12-19 17:13:07+00:00,1604887564468600834,"Close out a splat-tastic year with the #Splatoon3 Turf War December 2022 tournament on 12/30! Cover the most turf and you can win prizes like a trophy, My Nintendo Gold Points, a Splatoon 3 Hip Pack, and more! https://t.co/FUlWfIf7zb",NintendoAmerica,439,116,4364,,,
30,2022-12-17 15:00:45+00:00,1604129478946455554,"Get the scoop on Persona 3 Portable and Persona 4 Golden from the Phantom Thieves' super sleuth, Morgana, before the games release for #NintendoSwitch on Jan. 19! https://t.co/EGuV2inHBk",NintendoAmerica,831,162,5139,,,
31,2022-12-16 22:00:02+00:00,1603872608033935360,"Queen Lumera—Divine Dragon Monarch and Alear's mother—rules over the holy land of Lythos, a sacred land located in central Elyos. It's filled with light, and there's a gentle breeze blowing across its plains. Floating above Lythos, Alear slept for 1,000 years. #FireEmblem https://t.co/3VCsSkuC7i",NintendoAmerica,269,17,2306,,,
32,2022-12-16 20:01:04+00:00,1603842668773183494,"Have you checked out the recently added Custom Items feature in #MarioKart 8 Deluxe yet? Use it to choose which items appear in offline VS Races, Team Races and Battles, and certain online modes!

Download the free update and try it out today! https://t.co/JTXCD28VOz",NintendoAmerica,304,53,3400,,,
33,2022-12-16 19:01:29+00:00,1603827672865439753,The festive season has arrived in Dream Land and #Kirby has a gift for everyone! 🌟🎁 https://t.co/wmb1LZ7gTD,NintendoAmerica,1848,135,8615,,,
34,2022-12-16 16:00:02+00:00,1603782008504819713,"Ending soon! Save up to 70% on select #NintendoSwitch digital games with the Critically Acclaimed Partner Sale! Ends 12/18 at 11:59 p.m. PT.

🏆: https://t.co/YEXmwQJwC5 https://t.co/0f2HeCwFNA",NintendoAmerica,132,34,1045,,,
35,2022-12-16 15:01:21+00:00,1603767239563481091,"Four mighty Heroes from the world of My Hero Academia have landed in Fortnite along with smashing new gameplay, free rewards, a Hero Training Gym experience, and more! https://t.co/cgws85XF2g",NintendoAmerica,352,181,3712,,,
36,2022-12-16 14:00:03+00:00,1603751814289145856,"And remember that the Sneak Peek begins 12/30, so check into F̶l̶a̶v̶o̶r̶v̶i̶l̶l̶e̶  Splatsville then and pick your team!",NintendoAmerica,129,17,1694,,,
37,2022-12-16 14:00:02+00:00,1603751810702970881,"The next #Splatoon3 Splatfest is on the way and the big question is:

What’s your favorite taste sensation?
🌶️#TeamSpicy
🍰#TeamSweet
🍋#TeamSour

This yummy event runs from 1/6 4pm PT to 1/8 4pm PT. https://t.co/Q1yAJHL8A8",NintendoAmerica,1615,891,10538,,,
38,2022-12-16 01:03:26+00:00,1603556374478192643,"Four SEGA Genesis games have been made available for #NintendoSwitchOnline + Expansion Pack members!

☑️ Golden Axe II
☑️ Alien Storm
☑️ Columns
☑️ Virtua Fighter 2 https://t.co/m3QZRepsLR",NintendoAmerica,531,235,2937,,,
39,2022-12-15 21:00:01+00:00,1603495116689268738,"Love to hit the track in #MarioKart 8 Deluxe? Check out more classic #Nintendo64 titles with your #NintendoSwitchOnline + Expansion Pack membership! 

👉 https://t.co/uvujwgK6jV https://t.co/jrwl0SHZhF",NintendoAmerica,269,47,2430,,,
40,2022-12-15 18:01:23+00:00,1603450160339730455,"The stakes are higher and the streets are meaner in River City Girls 2 from @WayForward—out now on #NintendoSwitch!

💥: https://t.co/lpSFdu9Dmn https://t.co/HuAPmLQbRl",NintendoAmerica,366,44,1847,,,"[User(username='WayForward', id=46310609, displayname='WayForward', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
