,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-18 02:16:37+00:00,1604299566819450881,@Davids90 Thank you for sharing your experience. We would like to look into this. Please DM us with your phone number. https://t.co/Z8wTaObIj5,Porsche,0,0,1,,,"[User(username='Davids90', id=24796286, displayname='David', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-18 01:04:28+00:00,1604281406569447424,@mikroseokss Thank you for sharing your experience. We would like to learn more. Please DM us with your phone number. https://t.co/Z8wTaObIj5,Porsche,0,0,1,,,"[User(username='mikroseokss', id=718638637231964160, displayname='rose🌹 ⁷', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-18 00:49:41+00:00,1604277689543757825,@SophyShu2022 We would like to look into this for you. Please DM us with your phone number. https://t.co/Z8wTaObIj5,Porsche,0,0,0,,,"[User(username='SophyShu2022', id=1603219272058249217, displayname='Shu Yang', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-06 17:08:44+00:00,1600175420682473474,@BoriaRenzionov Thank you for your inquiry. Please DM us with your phone number for further assistance. https://t.co/Z8wTaObIj5,Porsche,1,0,0,,,"[User(username='BoriaRenzionov', id=1367238143133569025, displayname='___', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-06 17:07:33+00:00,1600175121502699525,@IanHammar Thank you for your inquiry. Please DM us with your phone number for further assistance. https://t.co/Z8wTaObIj5,Porsche,0,1,0,,,"[User(username='IanHammar', id=756780409, displayname='Ian Hammar', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-01 18:07:51+00:00,1598378356386549761,Convertible takes on a whole new meaning as Porsche joins the @transformers fleet. Watch the new teaser trailer for #Transformers: #RiseOfTheBeasts now. https://t.co/SMWKvfZhif,Porsche,256,53,1213,,,"[User(username='transformers', id=254295223, displayname='Transformers', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-11-26 16:19:44+00:00,1596539207949991937,@swatt Thank you for sharing your experience. We would like to learn more. Please DM us with your phone number. https://t.co/Z8wTaObIj5,Porsche,0,0,0,,,"[User(username='swatt', id=9349732, displayname='Simon Watt', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-11-24 21:46:20+00:00,1595896626455154688,"Power. Commitment. Pushing it to the limit. On the field &amp; behind the wheel. 

Here’s the story of @EricKendricks54, @TheByronJones &amp; @DHunt94_TX’s shared passion for Porsche. Three elite pro football players, one elite sports car. 🏈 Check it out: https://t.co/OSKeAkEPyX https://t.co/kaME7Nw7ut",Porsche,54,4,430,,,"[User(username='EricKendricks54', id=2696714845, displayname='Eric Kendricks', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TheByronJones', id=2488902630, displayname='Byron Jones', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DHunt94_TX', id=635117103, displayname='D Hunt™', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-11-24 17:42:57+00:00,1595835377905958913,Pairs perfectly with Thanksgiving dinner. #PorschePaintCode #HappyThanksgiving https://t.co/9aabwaSuZV,Porsche,58,2,452,,,
9,2022-11-21 22:53:38+00:00,1594826400233828354,"Can you guess what we’ve been up to? 👀

Follow our new Twitter channel @eth_porsche for all updates on Porsche’s journey into Web3. Visit our official NFT website at https://t.co/sP8vg7PO0N.",Porsche,214,62,852,https://twitter.com/eth_porsche/status/1594344872936632320,,"[User(username='eth_porsche', id=1587013112422604800, displayname='PORSCHΞ', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-11-21 22:22:10+00:00,1594818480397848577,@CannyCryptoJock Yes it is.,Porsche,0,0,5,,,"[User(username='CannyCryptoJock', id=1313112777024851969, displayname='Major Tea', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-11-18 19:31:50+00:00,1593688450397483008,@debmohapatra We would like to learn more about your situation. Please DM us with your phone number. https://t.co/Z8wTaOtjaD,Porsche,0,0,0,,,"[User(username='debmohapatra', id=159907153, displayname='D Mohapatra', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-11-18 19:31:26+00:00,1593688350203838465,@Dr_F1ve We welcome your feedback. Please DM us with your phone number. https://t.co/Z8wTaOtjaD,Porsche,1,0,2,,,"[User(username='Dr_F1ve', id=311160805, displayname='AJ', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
