,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 13:02:00+00:00,1609173022866374656,"#WEC - The #Porsche GT Team started the @FIAWEC season 2022 with a win @sebringraceway. @ChristensenMK and @kevinestre won the #GTEPro class at the eight-hour #1000MSebring. P3 went to @RichardLietz and @GianmariaBruni with the ca 515 hp #911RSR.

Let's take a look back ⬇️ https://t.co/QgX01Cv72V",PorscheRaces,23,0,141,,,"[User(username='FIAWEC', id=426488154, displayname='FIA World Endurance Championship', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='sebringraceway', id=109038009, displayname='Sebring International Raceway', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ChristensenMK', id=124279907, displayname='Michael Christensen', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='kevinestre', id=119111208, displayname='kevin estre', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RichardLietz', id=490730344, displayname='Richard Lietz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GianmariaBruni', id=401629027, displayname='Gianmaria Bruni', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-30 17:43:24+00:00,1608881450514026496,Guess for yourself: How many individual parts does the new hybrid car consist of?,PorscheRaces,5,0,75,,,
2,2022-12-30 17:43:22+00:00,1608881443735994369,"#PorschePenskeMotorsport - On 28 January, things get serious for the new #Porsche963: The #LMDh car celebrates its competition debut at #Daytona24. Until then, the mechanics have a lot to do to prepare both #IMSA #GTP cars in time. https://t.co/vF9vmV7Xsf",PorscheRaces,73,5,766,,,
3,2022-12-29 14:03:00+00:00,1608463598640140288,"#WEC - @RichardLietz is one of #Porsche's Endurance legends. With the #911RSR, the works driver has taken #LeMans24 victories and the @FIAWEC title. In an interview with @Mobil1TheGrid, he looks back on an exciting era.

https://t.co/UlerMbxpe4",PorscheRaces,10,0,88,,,"[User(username='RichardLietz', id=490730344, displayname='Richard Lietz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FIAWEC', id=426488154, displayname='FIA World Endurance Championship', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Mobil1TheGrid', id=120088875, displayname='Mobil 1 The Grid', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-28 18:27:30+00:00,1608167773607235586,"#WEC - The 2022 @FIAWEC season got off to a flying start for the #Porsche GT Team, with both cars going into the #1000MSebring @sebringraceway from the front row. For the #911RSR it was the 10th consecutive pole position in the WEC 
 
 #RespectTheBumps https://t.co/Fgln34mmOi",PorscheRaces,22,1,133,,,"[User(username='FIAWEC', id=426488154, displayname='FIA World Endurance Championship', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='sebringraceway', id=109038009, displayname='Sebring International Raceway', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-27 15:45:00+00:00,1607764491395076098,"#IMSA - Their spectacular duel to win the 2022 #GTDPro is one of the most epic @IMSA #Daytona24 battles ever: Watch the unbelievable last 10 minutes of the fight between the #Porsche #911GT3R works drivers @Mathjaminet and @VanthoorLaurens for 1st place. 

https://t.co/1h9czK4zTu",PorscheRaces,32,7,215,,,"[User(username='IMSA', id=28593358, displayname='#IMSA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Mathjaminet', id=203894956, displayname='Mathieu Jaminet', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='VanthoorLaurens', id=453270610, displayname='Laurens Vanthoor', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-26 16:06:44+00:00,1607407572151156736,#PorschePenskeMotorsport - The 2nd #Porsche963 #LMDh prototype (No. 7) in the North American #IMSA #GTP class is helmed by current #GTDPRO champion #MattCampbell and #FelipeNasr with #MichaelChristensen as the 3rd driver at #Daytona24 https://t.co/eWHc9EeInJ,PorscheRaces,40,1,417,,,
7,2022-12-25 13:21:01+00:00,1607003483097505793,"#PorschePenskeMotorsport - In just over a month, the #GTP era in the #IMSA will begin at #Daytona24. With it: the new #Porsche963. The #6 car will be driven by #Porsche returnee and former #LeMans24 winner #NickTandy and his works driver colleagues #MathieuJaminet &amp; #DaneCameron https://t.co/zvdGQndwmi",PorscheRaces,33,2,399,,,
8,2022-12-23 17:03:00+00:00,1606334569602420736,"#WEC - 3 #LeMans24 class wins and world championship titles: After 10 years, the era of the #911RSR as a factory race car in the @FIAWEC has come to an end. We look back with a special video and say: Thank you for the memories!

What was it about this race car that excited you? https://t.co/eYob4PjXFF",PorscheRaces,49,6,271,,,"[User(username='FIAWEC', id=426488154, displayname='FIA World Endurance Championship', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-17 21:45:53+00:00,1604231434432282624,"#PorscheMotorsport - #Porsche tackles the 2023 motorsport season with ambitious goals, extensive works commitments and new options for customer racing.

Press release and free downloads
https://t.co/RsQ6Jsrwot",PorscheRaces,50,4,270,,,
