,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 21:30:52+00:00,1609301085000196099,"Farewell, 2022. Hello, 2023! #ATiffanyHoliday #WarholFoundation #TiffanyAndCo

Use with permission of @warholfdn 

©/®/™ The Andy Warhol Foundation for the Visual Arts, Inc. https://t.co/qSg1KG8yuo",TiffanyAndCo,66,5,414,,,"[User(username='warholfdn', id=985894913769398272, displayname='Andy Warhol Foundation', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-31 15:30:54+00:00,1609210493800939520,"Our preferred countdown method? A Tiffany Eternity watch, of course. Discover more: https://t.co/vNk0xk5ETH #ATiffanyHoliday #WarholFoundation #TiffanyAndCo

Use with permission of @warholfdn 

©/®/™ The Andy Warhol Foundation for the Visual Arts, Inc. https://t.co/J1KUMouVfs",TiffanyAndCo,19,3,128,,,"[User(username='warholfdn', id=985894913769398272, displayname='Andy Warhol Foundation', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-30 17:36:09+00:00,1608879627136634883,"@cttarheel Hi, we're sorry to hear about this. To look into this further, please share your recent experience with us by emailing ClientCare.US@tiffany.com. Thank you.",TiffanyAndCo,0,0,0,,,"[User(username='cttarheel', id=1031166852, displayname='cttarheel', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-30 15:27:06+00:00,1608847150137458688,"@sneaks2129 Hi, happy to help! Please send us a private message with your name and email address so we can locate the records. Thank you.",TiffanyAndCo,0,0,0,,,"[User(username='sneaks2129', id=1064455178, displayname='snks', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-29 15:30:53+00:00,1608485714257223683,"The new Tiffany Audubon collection features delicate illustrations of birds, butterflies and flowers that are teeming with life. A hand-painted gold rim adds a refined finish to this porcelain set. Discover more: https://t.co/LXDL63FFBY #ATiffanyHoliday #TiffanyAndCo https://t.co/w8x39ULMic",TiffanyAndCo,36,0,268,,,
5,2022-12-28 16:30:56+00:00,1608138438745722881,The new family silver. We offer a multitude of different Tiffany motifs that ensure it's never been easier to mind (or not mind) your manners. Discover more: https://t.co/hqalAhKrOO #ATiffanyHoliday #TiffanyAndCo https://t.co/n0BDU47lc0,TiffanyAndCo,39,0,267,,,
6,2022-12-28 15:00:49+00:00,1608115761515560960,"@ASSISSGRASS Hi, we're sorry to hear about this. To look into this further, please share your recent experience with us by emailing ClientCare.US@tiffany.com. Thank you.",TiffanyAndCo,0,0,0,,,"[User(username='assissgrass', id=3302704302, displayname='brook', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-28 14:49:20+00:00,1608112871841452035,"@sneaks2129 Hi, we're sorry to hear about this. To look into this further, please share your recent experience with us by emailing ClientCare.US@tiffany.com. Thank you.",TiffanyAndCo,0,0,0,,,"[User(username='sneaks2129', id=1064455178, displayname='snks', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-27 15:53:29+00:00,1607766625788248070,"@Kent38960565 Hi Kent, sorry to hear this occurred. For further assistance, please contact our client advisors at 1.800.843.3269.",TiffanyAndCo,0,0,0,,,"[User(username='Kent38960565', id=1263831817863548928, displayname='Kent', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-27 14:51:31+00:00,1607751031324114946,"@lilesdad Hi Scott, sorry to say, we didn't receive your PM with the requested information.",TiffanyAndCo,0,0,0,,,"[User(username='lilesdad', id=504846954, displayname='Scott Michael', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-27 14:47:50+00:00,1607750106136051713,"@LorentzJason Hi, sorry to hear this occurred. For further assistance, please contact our client advisors at 1.800.843.3269",TiffanyAndCo,0,0,0,,,"[User(username='LorentzJason', id=65170249, displayname='Jason Lorentz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-27 14:40:00+00:00,1607748134230179861,"@1stCasanovaFly Hi, we appreciate you sharing your recent experience with us. With your permission, we'd like to contact you directly and personally address these comments. Please send us a private message with your name, order #, email address, store visited &amp; the best way to reach you.",TiffanyAndCo,0,0,0,,,"[User(username='1stCasanovaFly', id=470847932, displayname='OMAR S TAINO🇵🇷', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-27 14:30:56+00:00,1607745851094433817,"Glass half full. Featuring flora and fauna motifs first introduced on 19th-century Tiffany &amp; Co. hollowware, the Tiffany Audubon collection captures the beauty of the natural world. Discover more: https://t.co/VHYjGwV7oA #ATiffanyHoliday #TiffanyAndCo https://t.co/DlaYXL1Dbw",TiffanyAndCo,34,3,248,,,
13,2022-12-26 23:30:53+00:00,1607519348817543168,And to all a good night. Discover more: https://t.co/bZsKoQS5XV #ATiffanyHoliday #TiffanyEngagement #TiffanyAndCo https://t.co/tS0USpgIqi,TiffanyAndCo,27,0,254,,,
14,2022-12-26 19:24:37+00:00,1607457373588787208,"@Mitsguns Hi, sorry to hear this occurred. For assistance, please contact our client advisors in your region. To locate the number, please visit the FAQ section of our website.",TiffanyAndCo,0,0,0,,,"[User(username='Mitsguns', id=1555228686961545216, displayname='Mits', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
15,2022-12-26 18:26:01+00:00,1607442624033574914,Make it a holiday she'll never forget. Discover more: https://t.co/UR6LZCLEpC #ATiffanyHoliday #TiffanyEngagement #TiffanyAndCo https://t.co/69RaPUhlJw,TiffanyAndCo,34,1,320,,,
16,2022-12-26 17:45:43+00:00,1607432482655293446,"@bravaan Hi, we appreciate you sharing your recent experience with us. With your permission, we'd like to contact you directly and personally address these comments. Please send us a private message with your name, order number, email address &amp; the best way to reach you. Thank you.",TiffanyAndCo,0,0,0,,,"[User(username='bravaan', id=1198897302913589252, displayname='Bravaan', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
17,2022-12-26 17:41:42+00:00,1607431473442816006,"@rosedales Hi, we appreciate you sharing your recent experience with us. With your permission, we'd like to contact you directly and personally address these comments. Please send us a private message with your name , order number, email address &amp; the best way to reach you. Thank you.",TiffanyAndCo,0,0,0,,,"[User(username='rosedales', id=141898037, displayname='Rose', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
18,2022-12-26 17:26:13+00:00,1607427576913432576,"@RichardProther3 Hi Richard, sorry to hear this occurred. We have forwarded your comments and concerns to the appropriate management team to be addressed. A member of that team will be contacting you soon. Thank you.",TiffanyAndCo,0,0,0,,,"[User(username='RichardProther3', id=901787431325896704, displayname='Richard Protheroe', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
19,2022-12-26 17:12:31+00:00,1607424127652057088,"@RosieDickens Hi Rosie, sorry to hear this occurred. We have forwarded your comments and concerns to the appropriate management team to be addressed. A member of that team will be contacting you soon. Thank you.",TiffanyAndCo,0,0,0,,,"[User(username='RosieDickens', id=1008134036, displayname='Rosie Dickens', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
20,2022-12-26 16:51:26+00:00,1607418822511714305,"@pglechner Hi Paul, sorry to hear this occurred. For further assistance, please contact our client advisors at 1.800.843.3269",TiffanyAndCo,0,0,0,,,"[User(username='pglechner', id=79070068, displayname='paul lechner', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
21,2022-12-26 16:07:18+00:00,1607407715248230402,"@AndyFeldon Hi Andy, Thank you for contacting Tiffany &amp; Co. Sorry to hear this occurred. Please contact our Client Advisors at 0800-160-1837 or 44 207 409 2790 for further assistance.",TiffanyAndCo,0,0,0,,,"[User(username='AndyFeldon', id=48832990, displayname='Andy Feldon 🇬🇧', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
22,2022-12-26 15:38:14+00:00,1607400400201682944,"@lilesdad Hi,  we appreciate you sharing your recent experience with us. With your permission, we'd like to contact you directly and personally address these comments. Please send us a private message with your name, order number, email address &amp;  the best way to reach you. Thank you.",TiffanyAndCo,0,0,0,,,"[User(username='lilesdad', id=504846954, displayname='Scott Michael', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
23,2022-12-26 14:30:56+00:00,1607383466466840576,To have and to hold. Discover more: https://t.co/TbCGLCgGFw #ATiffanyHoliday #TiffanyEngagement #TiffanyAndCo https://t.co/N3cgNXeJzm,TiffanyAndCo,29,1,305,,,
24,2022-12-26 13:59:38+00:00,1607375589576523776,"@tbentleync Hi Tracey, happy to help! Although we offer repair services worldwide on our pieces, returns and exchanges can only be processed in the same country of purchase.",TiffanyAndCo,0,0,0,,,"[User(username='tbentleync', id=702261387, displayname='Tracey Bentley', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
25,2022-12-25 21:30:42+00:00,1607126714412310534,"Decisions, decisions....When in doubt, double (or triple) down and add diamonds. Discover more: https://t.co/3AQMHoCwiV #ATiffanyHoliday #TiffanyKnot #TiffanyAndCo https://t.co/8VVJ2GTx8q",TiffanyAndCo,47,5,656,,,
26,2022-12-24 18:30:53+00:00,1606719073735286788,"This holiday, love comes in a little blue box. Discover more: https://t.co/wxsbkmw3Q1 #ATiffanyHoliday #WarholFoundation #TiffanyAndCo

Used with permission of @warholfdn 

©/®/™ The Andy Warhol Foundation for the Visual Arts, Inc. https://t.co/lT1YWISr5a",TiffanyAndCo,30,2,192,,,"[User(username='warholfdn', id=985894913769398272, displayname='Andy Warhol Foundation', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
