,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 10:00:08+00:00,1609127257523494913,"Congratulations to our Twitter winners! 🎁

We hope #XiaomiGiftGiving brings you joy as we enter the new year. We'll contact you soon via DM.

A big thanks to everyone, we loved all the comments. #XiaomiHoliday2022 https://t.co/5OtGyLMDiI",Xiaomi,34,1,441,,,
1,2022-12-31 04:58:13+00:00,1609051276498636800,"Did you ✅ all the items on the #XiaomiHoliday2022 bucket list?

End your year with a 2022 wrapped poster of your own and share on #XiaomiCommunity!

Make yours here: https://t.co/rY7A4JitvJ
Share here: https://t.co/7hMiyTfGgc https://t.co/dgrF5yZUue",Xiaomi,43,1,489,,,
2,2022-12-31 01:46:52+00:00,1609003122780770304,"@Ehizzzzzzzz Thank you for posting your concern here. We'd keen to get this resolved for you, so it would be great if you could drop us a DM with more information. https://t.co/PeTgVDZQhJ",Xiaomi,0,0,0,,,"[User(username='Ehizzzzzzzz', id=1315244296392630272, displayname='Ehiz Joseph', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-30 13:00:32+00:00,1608810267655151617,"Everything we do together is done better!🎉Thank you, #XiaomiFans, for a great year. You rock!

Here are some of our fave 2022 moments.

#XiaomiHoliday2022 #NewYearsEve https://t.co/RZt5eClAkV",Xiaomi,34,6,413,,,
4,2022-12-29 13:03:19+00:00,1608448578782994432,"Did you create your 2022 wrapped poster yet? Share your poster on #XiaomiCommunity for a little something special! 🥳

Create yours here: https://t.co/rY7A4JitvJ https://t.co/HLzjMMkjSd",Xiaomi,109,6,1487,,,
5,2022-12-29 04:03:01+00:00,1608312607940972545,@CannonleoGeek You've got great ambitions😎,Xiaomi,1,0,4,,,"[User(username='CannonleoGeek', id=2999855782, displayname='Burnt Chocolate 🥇', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-28 13:43:35+00:00,1608096326989844484,"Let's ✅ the last #XiaomiHoliday2022 bucket list item!

Generate and share your 2022 wrapped poster with the link: https://t.co/rY7A4JitvJ

#XiaomiCommunity has prepared a little something. Go check it out! https://t.co/qKief2fcur",Xiaomi,99,11,1648,,,
7,2022-12-27 10:01:14+00:00,1607677979466911748,"🎁Ready to receive the gifts? Leave a comment below with the hashtags #XiaomiHoliday2022 and #XiaomiGiftGiving to get a chance to get yours.

P.S. Watch till the end for the Easter egg!

T&amp;C apply. See in bio. https://t.co/AEXjFWX1TE",Xiaomi,524,39,6762,,,
8,2022-12-26 13:00:04+00:00,1607360596357292034,"Have you captured the great moments of this holiday season? 😃

Let's share these moments with the hashtag #XiaomiHoliday2022! https://t.co/lekrYaOlLx",Xiaomi,216,4,5278,,,
9,2022-12-26 11:30:50+00:00,1607338140355674112,"The #XiaomiSmartBand7Pro is a great partner for your outdoor running.

Hear it from our #XiaomiInsider @tjchenenwalton. #SmartLivingForEveryone https://t.co/J4My94KCg0",Xiaomi,31,2,422,,,"[User(username='tjchenenwalton', id=750292836, displayname='TJ Walton (李晨恩）', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-25 10:01:35+00:00,1606953295251226629,"Xiaomi Creator Sara Zanini brings you the Italian cookery e-card theme! #XiaomiImagery #XiaomiCreators 

If you haven't sent out your greetings, DIY an e-card now! 👉 https://t.co/kZ0ULHDthL https://t.co/4LnOcwBNEd",Xiaomi,62,0,865,,,
11,2022-12-23 14:00:18+00:00,1606288593684529156,"#XiaomiGiftGiving starts now! 
Pick your fave AIoT for us to wrap! #XiaomiHoliday2022
T&amp;C apply, see link in bio.",Xiaomi,158,12,2028,,,
12,2022-12-23 12:00:02+00:00,1606258325716443136,"🎁Who doesn't like gifts? #XiaomiHoliday2022 gift picking starts in 2hrs!

Pick your gift for #XiaomiInsider to wrap. #XiaomiGiftGiving https://t.co/W6oPlICRg6",Xiaomi,81,9,637,,,
13,2022-12-23 10:00:44+00:00,1606228301470744580,"E-card themes and best wishes from Chris Dalton! #XiaomiCreators #XiaomiImagery

💌DIY and share your #XiaomiHoliday2022 e-card with the link: https://t.co/nVGLqd8TkZ https://t.co/TZcwkV6QOe",Xiaomi,36,2,541,,,
14,2022-12-23 09:15:45+00:00,1606216984357642241,"Here's the recap video of the #XiaomiImagery Awards 2022. Review the beautiful works of our winners! 

Follow Xiaomi to capture unforgettable moments in life. Even tiny details can tell a big story. 

Learn more here: https://t.co/D4Q3P4kKPE https://t.co/78JV7reP6E",Xiaomi,17,1,186,,,
