,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 14:00:39+00:00,1609187784564129792,"Growth takes time. A plant won't always flower, sometimes it's just in the wrong season.",corona,2,0,14,,,
1,2022-12-30 14:00:32+00:00,1608825367095136256,"Located in #Mauritius, #LeMorneBrabant leaves an impact.

A world heritage site, this mountain creates the impression of an underwater waterfall due to the sand and silt deposits.

If you ever visit, expect it to leave an imprint on your soul.

#ThisIsLiving

@ fabouls https://t.co/XMAYfOQKRZ",corona,9,0,43,,,
2,2022-12-29 14:00:01+00:00,1608462847842951173,"In the #Philippines, El Nido sits.

A tranquil paradise where you can swim, float, and be at one with nature.

El Nido is a must for any traveller who wants to explore #Palawan and it’s ideal for anyone who wants to see raw beauty.

#ThisIsLiving

@ CallumSlade https://t.co/ggIdmMjsgk",corona,5,0,29,,,
3,2022-12-28 14:00:32+00:00,1608100591380664320,"Nothing matters except love, kindness, happiness, and being around nature.",corona,8,0,31,,,
4,2022-12-27 14:00:30+00:00,1607738194233098241,"#EmuPoint provides white sand contrasted with deep blue hues in the calm and shallow water, surrounded by grassy lawn and trees. 

An ideal place for fishing and boating, Emu Point in #Australia is popular for good reason. 

#ThisIsLiving 

@ perth.local https://t.co/vnxPBv9whH",corona,2,0,19,,,
5,2022-12-23 14:00:01+00:00,1606288522956005380,"Look out to the horizon and fall in love with the sea.
#ThisIsLiving https://t.co/3qRFPGgDQA",corona,7,0,39,,,
6,2022-12-23 10:40:29+00:00,1606238305556656128,@wsl @gabriel1medina Such an incredible win! 💙,corona,0,0,0,,,"[User(username='wsl', id=22449367, displayname='World Surf League', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='gabriel1medina', id=2523613098, displayname='Gabriel Medina', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-23 10:39:12+00:00,1606237982381395969,@wsl Moments to remember! 😍,corona,0,0,0,,,"[User(username='wsl', id=22449367, displayname='World Surf League', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-23 10:38:51+00:00,1606237895810879488,@wsl Absolutely incredible! 🔥,corona,0,0,1,,,"[User(username='wsl', id=22449367, displayname='World Surf League', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-23 10:27:58+00:00,1606235156624261120,@troy51774944 Enjoy the holidays - this just made ours! 😍,corona,0,0,1,,,"[User(username='troy51774944', id=1048590631524651009, displayname='MR☠️HYDE', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-23 10:26:55+00:00,1606234891905077248,@ScottTrudell It's pretty timeless! 🙌,corona,1,0,2,,,"[User(username='ScottTrudell', id=43195016, displayname='TruNorth🗽🟡⚫️', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-23 10:25:39+00:00,1606234574207389696,@NicksonThabane It's true 🔥,corona,0,0,2,,,"[User(username='NicksonThabane', id=1033470524775653377, displayname='𝓐𝓵𝓹𝓱𝓪 𝓡𝓮𝓷𝓪𝓲𝓼𝓼𝓪𝓷𝓬𝓮 𝓑𝓸𝔂', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-22 14:00:00+00:00,1605926129054846976,"In the #Philippines sits this dream-like island of paradise.

#Boracay, with its white beach and lush forest, is a place of relaxation.

But when the sun goes down, Boracay becomes a nightlife destination for people to let loose under the moonlight.

#ThisIsLiving 

@ callumslade https://t.co/PpYP6LQ9c1",corona,3,1,26,,,
13,2022-12-22 09:42:12+00:00,1605861250382045184,@MikeAndersonBIG We don't want to brag but... you're right! 🔥,corona,0,0,2,,,"[User(username='MikeAndersonBIG', id=34670258, displayname='Mike Anderson', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-22 09:41:21+00:00,1605861039014395904,@dustinpari We're so glad we can help you get into the Christmas spirit! Enjoy the holidays! 🙌,corona,0,0,0,,,"[User(username='dustinpari', id=73790408, displayname='Dustin Pari', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
15,2022-12-22 09:35:45+00:00,1605859626360000513,@ComedyFan1981 Anytime! Enjoy it! 🍻,corona,0,0,0,,,"[User(username='ComedyFan1981', id=1179876009841180672, displayname='Havocs’ Pet', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,2022-12-22 09:35:00+00:00,1605859438614691841,@PooltimeR Who needs eggnog when you can have a corona? 🍻,corona,0,0,0,,,"[User(username='PooltimeR', id=1122245959877107712, displayname='Rick', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
17,2022-12-20 14:00:01+00:00,1605201357174185984,"Welcome to the #SixSensesZilPasyon, an eco-friendly resort, surrounded by crystal clear sea and lush forests.

Guests of the resort are able to unwind in the spa, island hop, and wholly experience the #Seychelles.

You may never want to leave.

#ThisIsLiving

@ michutravel https://t.co/V8iDWXcwqZ",corona,2,1,25,,,
18,2022-12-20 10:36:10+00:00,1605150057732489217,@SeipatiBopape Enjoy it! 🍻,corona,1,0,1,,,"[User(username='SeipatiBopape', id=1148851136100802563, displayname='Missknowyourworth ❤️👑🤩', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
19,2022-12-20 10:35:27+00:00,1605149874936336385,"@bishopbala @danosseasoning Don't thank us, we're just glad you enjoy it! 🔥",corona,0,0,1,,,"[User(username='bishopbala', id=263395897, displayname='big b', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='danosseasoning', id=765000419298930688, displayname='Dan-O’s Seasoning', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
20,2022-12-20 10:34:49+00:00,1605149718274883588,@riaaz_420 @wsl @JBayOpen 🔥🔥,corona,0,0,0,,,"[User(username='riaaz_420', id=223568132, displayname='Riaaz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='wsl', id=22449367, displayname='World Surf League', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JBayOpen', id=1453201722, displayname='Jbay', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
21,2022-12-20 10:34:31+00:00,1605149641330544641,@Acacia_Denison Nature is so important! 🙌,corona,0,0,1,,,"[User(username='Acacia_Denison', id=1567040542323736576, displayname='Acacia Denison', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
22,2022-12-19 17:20:23+00:00,1604889395584274435,"During a recent trip to #FrecnhPolynesia, Antoine Janssens met Rachel &amp; Josh, a couple who chose to step away from their fast-paced life in California, hoping to discover a different way of living.

Watch “A Different Life” now 

https://t.co/CEdCN94tvt

#ThisIsLiving https://t.co/eET4WEQlJQ",corona,3,0,18,,,
23,2022-12-19 11:00:16+00:00,1604793733269970946,@Brandon50703 Cheers! 🍻,corona,1,0,1,,,"[User(username='Brandon50703', id=1430307656233803777, displayname='Scorpio+50703', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
