,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-29 23:57:04+00:00,1608613102903300096,"@bkwilless Oh no! We'll be more than happy to help you. We're so sorry you couldn't get a hold of us. I see that you sent us a DM as well, I will message you there 😊 ~Cristy",eBay,0,0,0,,,"[User(username='bkwilless', id=3307869815, displayname='Brian', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-29 22:41:38+00:00,1608594118678302720,@themyscira13 Excellent choice 👏,eBay,0,0,1,,,"[User(username='themyscira13', id=2904097567, displayname='Rachel 🖤', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-29 22:40:22+00:00,1608593797642063873,@Romney64 @sonic_hedgehog @SEGA Meant for you ✨,eBay,0,0,1,,,"[User(username='Romney64', id=753656070, displayname='Romney Funderburg', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='sonic_hedgehog', id=19609162, displayname='Sonic the Hedgehog', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SEGA', id=17092592, displayname='SEGA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-29 22:37:39+00:00,1608593116109348865,@Snkrzz1 Ahh so many great picks! 🔥🔥🔥,eBay,2,0,1,,,"[User(username='Snkrzz1', id=1583021834269777926, displayname='Snkrzz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-29 22:29:55+00:00,1608591170246000640,"Overheard: ""Of course, I LOVED that fluffy cow they got me...but so did cowlov3r22 on eBay.""",eBay,3,0,26,,,
5,2022-12-28 22:40:02+00:00,1608231325353263104,"Here’s something for all Apple enthusiasts (and those yet to be). Have at it with up to 60% off new and #eBayRefurbished #iPads, #AirPods, #MacBooks, and more from quality sellers. Get what you’ve been looking for and start saving.",eBay,4,0,25,,,
6,2022-12-28 17:00:30+00:00,1608145880523079684,"“I’ve probably seen and touched more watches than any living human being.” 

Ron Stoll built Stoll &amp; Co., our partner in watch authentication, from the ground up. Learn what drives him, and why you can trust the esteemed watch experts behind our Authenticity Guarantee.",eBay,2,0,25,,,
7,2022-12-28 00:29:02+00:00,1607896368797859841,@ilikedlions Beautiful 🤩,eBay,1,0,1,,,
8,2022-12-28 00:25:04+00:00,1607895373019750406,@avuinovic 👏👏👏,eBay,0,0,0,,,"[User(username='avuinovic', id=1955226266, displayname='new year, new cakes', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-27 16:05:20+00:00,1607769609599606784,@Jimokickso 🔥🔥🔥,eBay,0,0,1,,,"[User(username='Jimokickso', id=704846404779266048, displayname='Jim', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-27 16:04:15+00:00,1607769336592191489,@Mark04820107 A true beauty 🤩,eBay,0,0,1,,,"[User(username='Mark04820107', id=1205338311167860736, displayname='Joe', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-27 16:03:29+00:00,1607769143725490176,@gohilsamir Excellent choice 🔥,eBay,1,0,2,,,"[User(username='gohilsamir', id=400288324, displayname='Samir Gohil', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-27 16:02:48+00:00,1607768973721870338,@andre_harrod Obsessed with your picks 🔥,eBay,0,0,3,,,"[User(username='andre_harrod', id=964843032544673799, displayname='DreDay31', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-27 16:01:52+00:00,1607768735858794510,@miamiclay It's gorgeous 👏,eBay,0,0,1,,,"[User(username='miamiclay', id=25305793, displayname='Clay C.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
