,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-29 14:25:59+00:00,1608469383554404352,@GediminasGemsk2 Please visit our Help Center for support with bullying and harassment: https://t.co/22c60xleQF.,facebook,0,1,0,,,"[User(username='GediminasGemsk2', id=1406006077355925511, displayname='Gediminas Gemskis', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-22 15:08:51+00:00,1605943455041355777,"@Alexzia777 If you are using a computer, please log in &amp; use the report links next to the content you’d like to report here: https://t.co/22c60xleQF.",facebook,1,2,2,,,"[User(username='Alexzia777', id=1567261072884748288, displayname='Tofur ⓥ', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-21 16:09:31+00:00,1605596333922201600,"@KimDettmerMM2S For additional support with a disabled account, please visit our Help Center: https://t.co/ee5VbcKp03.",facebook,0,0,2,,,"[User(username='KimDettmerMM2S', id=123585706, displayname='Kim Dettmer', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-19 13:18:50+00:00,1604828603702996994,"@andreskris Hi there, Kris, we hear your concerns. We want to assure you that Facebook is a community where everyone uses the name they go by in everyday life. You can learn more about Facebook names in our Help Center: https://t.co/d6vRP4PB4j.",facebook,0,0,77,,,"[User(username='andreskris', id=5970152, displayname='Kris Andres', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-18 18:13:15+00:00,1604540311505670144,screams in @Drake,facebook,46,19,550,https://twitter.com/FOXSoccer/status/1604539463916322817,,"[User(username='Drake', id=27195114, displayname='Drizzy', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-18 16:50:48+00:00,1604519559784206337,🫣,facebook,8928,2281,123136,,,
6,2022-12-15 15:00:10+00:00,1603404555487940608,@s703984 The best place to seek help with your account is through the Help Center: https://t.co/ee5VbcKp03.,facebook,1,2,3,,,"[User(username='s703984', id=1538140282390052864, displayname='Pawan Singh', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-15 14:59:41+00:00,1603404433488220160,"@BrandonPayne31 Hi there! If you believe your Facebook account has been disabled by mistake, please submit this form: https://t.co/8YvNv8V6pt.",facebook,0,1,3,,,"[User(username='BrandonPayne31', id=1458617308675514374, displayname='Brandon Payne', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-13 18:37:24+00:00,1602734449036529664,"@itstrueindian Hi there, Ashish. You can learn what happens when your account has been disabled in our Help Center: https://t.co/JdrMGElqU0.",facebook,0,0,0,,,"[User(username='itstrueindian', id=1471139365837438976, displayname='True Indian', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-13 18:37:10+00:00,1602734390475640832,"@Dard_Nafees Hi Asif! For assitance in recovering your hacked account, please visit the Instagram Help Center: https://t.co/jcuArhlnFg.",facebook,0,0,0,,,"[User(username='Dard_Nafees', id=1401409971112202249, displayname='𝔸𝕤𝕚𝕗 𝔸𝕝𝕚', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-08 17:45:40+00:00,1600909491507449857,"@sasha2003123 Hi there, Sasha. You can learn what happens when your account is disabled in our Help Center: https://t.co/JdrMGElqU0.",facebook,0,0,3,,,"[User(username='sasha2003123', id=1394140068, displayname='lunaloos_belltentandteepeehire', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-06 16:19:51+00:00,1600163119573401600,"@alxhnq For solutions to problems related to Instagram, please visit the Help Center dedicated to this platform: https://t.co/zt86JYLHcr.",facebook,0,0,1,,,"[User(username='alxhnq', id=1537550030051082246, displayname='alex', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-06 16:19:07+00:00,1600162934948532225,@littlemisschef1 Please check how to appeal our decision in Instagram Help Center: https://t.co/zt86JYLHcr.,facebook,0,0,0,,,"[User(username='littlemisschef1', id=1600004911885844481, displayname='Destiny Sutton', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-11-27 23:34:01+00:00,1597010889370382338,"@XGoddessXtinaX If someone created a Facebook account that's pretending to be you or someone you know, please use this form to file a report: https://t.co/FW9UHfbIMR.",facebook,0,0,3,,,"[User(username='XGoddessXtinaX', id=1202878213380292609, displayname='Xtina', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-11-24 16:05:32+00:00,1595810860181884929,@whathekovalchuk You can learn how to adjust your Facebook Feed preferences in the Help Center: https://t.co/L2uAE7V0me.,facebook,0,0,1,,,"[User(username='whathekovalchuk', id=25831280, displayname='The Real Buster mcNuggets', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
15,2022-11-24 16:04:47+00:00,1595810673006882816,"@democracydemon2 You're certainly entitled to your opinion, Tracey, and we want our community to be a place where you feel you can express your opinions openly and respectfully. As a company, however, our support of the LGBTQIA community is unwavering and we will not tolerate any hate speech.",facebook,1,2,6,,,"[User(username='democracydemon2', id=1523480848108224512, displayname='Tracey Hoolachan', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,2022-11-23 13:31:47+00:00,1595409781636108288,"@chrisfoxdotcom Hi Chris. Celebrating diversity is core to what we do. Our commitment to and support of the LGBTQ+ community has been unwavering. If you don't like the content, then that's totally fine, just keep on scrolling 🏳️‍🌈",facebook,0,0,11,,,"[User(username='chrisfoxdotcom', id=1293651090051698688, displayname='Chris Fox (Official)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
17,2022-11-11 15:37:40+00:00,1591092803689656320,"@myvagueroommate If you think your account was disabled by mistake, please use this form to request a review: https://t.co/8YvNv8V6pt.",facebook,4,5,13,,,"[User(username='myvagueroommate', id=2357449322, displayname='My Vague Roommate', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
18,2022-11-08 18:22:59+00:00,1590047243931103232,"@MustafizAzizKha If your account has been disabled, you can visit our Help Center for next steps: https://t.co/JdrMGElqU0.",facebook,0,3,2,,,"[User(username='MustafizAzizKha', id=3102838926, displayname='मुस्तफ़ीज़ अज़ीज़ ख़ान', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
19,2022-11-06 21:04:18+00:00,1589363067535884289,"@BuryMeInChanel If you believe your account was taken over by someone else, please secure it here: https://t.co/ee5VbcKp03.",facebook,0,0,0,,,"[User(username='BuryMeInChanel', id=24609741, displayname='Ashlee', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
20,2022-10-28 21:59:48+00:00,1586115543056011264,"Community is everything. Join Fran T. (@fransquishco, she/they) and a spectrum of other talented creators for a LGBTQ+ History Month conversation on finding and fostering encouraging online communities. #LGBTQHistoryMonth #FitOut https://t.co/u3VvAFZoJZ",facebook,52,21,242,,,"[User(username='fransquishco', id=148253220, displayname='Fran Tirado', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
21,2022-10-28 17:58:07+00:00,1586054721944551424,"This year for #LGBTQHistoryMonth, five creators from across the LGBTQ+ spectrum came together to discuss how identity evolves over time and how our communities are vital in creating the space that supports our authentic selves. #FitOut https://t.co/nYutsUMJSj",facebook,43,15,230,,,
22,2022-10-26 21:20:00+00:00,1585380749254938625,"Intersex writer &amp; speaker Pidgeon (@pidgejen, they/she) dispels harmful misconceptions and declares themselves and all intersex people perfect, regardless of what anyone thinks. #IntersexAwarenessDay https://t.co/QibLmHxYL2",facebook,21,9,149,,,"[User(username='Pidgejen', id=42496256, displayname='pidge', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
23,2022-10-20 16:24:34+00:00,1583132073094950912,"✨NEW updates coming to Facebook Groups✨ You can now create Reels in Groups to connect with others in a creative way, use new tools in Admin Assist to further support and build your communities, and so much more. Check out all the features here: https://t.co/7zxCivlc81",facebook,216,82,770,,,
24,2022-10-19 22:23:53+00:00,1582860112586121216,"Intersex writer &amp; speaker Pidgeon P. (@pidgejen, they/she) of the ‘Young Justice Advocates’ Facebook Group explains how intersex individuals relate to pronouns and how change is a process you can’t always fully understand. #PronounsDay https://t.co/FXofR4j1NF",facebook,26,16,144,,,"[User(username='Pidgejen', id=42496256, displayname='pidge', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
25,2022-10-19 20:33:11+00:00,1582832255025963008,"Rapper Cakes da Killa (@CAKESDAKILLA, he/him) of the ‘Young Justice Advocates’ Facebook Group doesn’t relate to a binary identity and thinks no else should either. #PronounsDay https://t.co/Nt8cTucY6U",facebook,23,10,104,,,"[User(username='CAKESDAKILLA', id=218301471, displayname='celebutante', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
26,2022-10-19 20:31:53+00:00,1582831926494523394,"Nonbinary, disabled educator &amp; activist Chandler Wilson @ChandlerNWilson (they/them) of the ‘Non-Binary Support and Positivity’ Facebook Group believes that language should grow and evolve the same way we do. #PronounsDay https://t.co/ZVuciQLjNy",facebook,19,11,82,,,"[User(username='ChandlerNWilson', id=201551945, displayname='Chandler Wilson - BLM', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
27,2022-10-19 16:10:31+00:00,1582766149531729920,"Don't miss this year's Facebook Communities Summit! Join us tomorrow to hear from Facebook leaders, learn about exciting new updates we're bringing to Groups, and celebrate inspiring communities coming together on the app. RSVP &amp; tune in here: https://t.co/W5Knu9UWFr https://t.co/MhNDNeSUYA",facebook,38,18,137,,,
28,2022-10-17 18:54:30+00:00,1582082642681688064,@officialsiria You’re “cute or whatever” 🥰,facebook,0,1,2,,,"[User(username='officialsiria', id=40061066, displayname='Siria Alvarez', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
29,2022-10-17 17:25:52+00:00,1582060338996207617,"@HaoTaouuu Hi there. If you think your account has been disabled, please visit our Help Center for more information: https://t.co/ee5VbcKp03.",facebook,0,2,2,,,
30,2022-10-14 14:49:40+00:00,1580933865849245698,@DineroPodcast @instagram We’re so happy we got to celebrate with you ✨,facebook,0,0,2,,,"[User(username='DineroPodcast', id=1123238286317768706, displayname='Jannese Torres | Yo Quiero Dinero® 🇵🇷', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='instagram', id=180505807, displayname='Instagram', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
31,2022-10-11 21:33:42+00:00,1579948380624936960,"South Asian sexual health educator Dr. Varuna S. (@varsrinivasan, she/they) of the ‘LGBTQ Professionals’ Facebook Group shares her thoughts on coming out and staying authentic to who you really are. #ComingOutDay https://t.co/8bG4HTXFCv",facebook,22,11,88,,,"[User(username='varsrinivasan', id=580627099, displayname='Varuna Srinivasan (she/they)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
32,2022-10-11 17:00:02+00:00,1579879508118732800,"Canadian artist &amp; activist Syrus W. (@syrusmarcusware, he/him) of the ‘LGBTQ Professionals’ Facebook Group advocates for coming out whatever way feels good for you. #ComingOutDay https://t.co/QEBHJVN2UK",facebook,13,11,68,,,"[User(username='syrusmarcusware', id=112921157, displayname='syrus marcus ware', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
