,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-30 15:13:52+00:00,1608843821466669056,"Better Patient Care 🏥

@PopSci Magazine recognized @GEHealthcare in the annual ‘Best of What’s New’ awards for the AIR™ Recon DL. This technology solves a major dilemma–it makes MRI scans faster while improving image quality. 🩻 

Details ⬇️ 
https://t.co/sWBAu5OdsW",generalelectric,1,0,3,,,"[User(username='PopSci', id=19722699, displayname='Popular Science', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GEHealthCare', id=15383592, displayname='GE HealthCare', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-29 16:03:14+00:00,1608493855921373187,"GE’s Next-Gen Jet Engine ✈️

@GE_Aerospace and the US Air Force have concluded testing on the #XA100 adaptive cycle engine. Engineered to optimize fuel efficiency &amp; range, the XA100’s thrust &amp; performance make it the engine of the future. 🌎

Learn more: 
https://t.co/yzqK3Ix2fq",generalelectric,31,3,113,,,"[User(username='GE_Aerospace', id=31143957, displayname='GE Aerospace', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-28 15:29:03+00:00,1608122868000509953,"The GE Legacy Evolves 🌎

Channeling 130 years of innovation, the GE name and the famous blue logo symbolize trust and pride. @GEHealthcare, @GE_Vernova, &amp; @GE_Aerospace will continue that legacy in three distinct ways, now and forever.

Details below ⬇️
https://t.co/1OOZbaZEP9",generalelectric,2,0,27,,,"[User(username='GEHealthCare', id=15383592, displayname='GE HealthCare', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GE_Vernova', id=1536776600196263937, displayname='GE Vernova', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GE_Aerospace', id=31143957, displayname='GE Aerospace', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-27 15:00:22+00:00,1607753258696859648,"Hello, Hydrogen 👋

Thanks to @GE_Power, the Long Ridge Terminal is generating ⚡ with an H2 ⛽ blend for the first time ever! This breakthrough will help the energy industry meet decarbonization goals and accelerate the energy transition. 🔋 

More 👇
https://t.co/BLNgfaR702",generalelectric,5,2,24,,,"[User(username='GE_Power', id=624797494, displayname='GE Power', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-26 15:19:13+00:00,1607395618174943234,"WHAT. A. YEAR. 🥳🎊
 
And with that, we’ll ask you one last time! Like, share, and subscribe, and we’ll see you in the new year →
https://t.co/TPPaJvdbco",generalelectric,1,0,7,,,
5,2022-12-26 15:19:01+00:00,1607395566056574977,"🤯 The 22 Coolest Things of 2022 🤯
 
A pig 🫀 transplant. A plastic 2x as  💪 as steel. Reversing aging in human skin. 👵 We look back at 22 of the coolest things that happened in 2022.
 
Read more:
https://t.co/ue3bEiz39t",generalelectric,2,0,14,,,
6,2022-12-26 15:18:43+00:00,1607395490340999168,"🧑‍🔬 The People Shaping the Future 🧑‍🏭
 
Meet the #innovators of 2022!
 
🏆Colin Parris, named 2023 Black Engineer of the Year
✈️ Christine Andrews worked on hybrid electric propulsion systems.
🏥 Jorge Uribe improved PET/CT imaging technology
 
&amp; many more:
https://t.co/wgxJGbceAN",generalelectric,1,0,7,,,
7,2022-12-26 15:18:18+00:00,1607395385458270209,"💡 Big Ideas, Big Achievements 💡

GE's researchers in ✈️, 🔋, and ⚕️ made major strides in 2022! From building the future of flight to decarbonizing energy and designing materials for Venus missions, they're leading the way in innovation. 

More here:
https://t.co/VeXOEZu4Bc",generalelectric,2,0,7,,,
8,2022-12-26 15:17:05+00:00,1607395079181705217,"🎇 Top Stories of the Year 🎇 

If you blinked, you might have missed some of the biggest headlines in a momentous year at GE. Here are the 1️⃣0️⃣ most read articles from GE Reports in 2022.

👇👇👇
https://t.co/JU37rg2M09",generalelectric,0,0,4,,,
9,2022-12-26 15:17:05+00:00,1607395077793406977,"It’s been one incredible year, and we’re going out with one last GE Brief! With our top stories, top innovations, and top engineers, this is the brief of all GE Briefs. 🎆🎆🎆

SO LET'S DIVE IN! 📰⬇️

A thread. 🧵",generalelectric,4,1,33,,,
