,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 13:00:09+00:00,1609172556363464705,"The #adidasxGucci collection goes to the mountains. Discover the preview of the next chapter in the #GucciApresSki campaign, with select pieces available now https://t.co/TUqTp67lWd

Photographer: @MarkPeckmezian 
Art Director: #ChristopherSimmonds https://t.co/KQ91ruiA7A",gucci,50,2,453,,,"[User(username='MarkPeckmezian', id=149183517, displayname='Mark Peckmezian', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-31 08:00:10+00:00,1609097063698141184,"A feature in the latest issue of @CRFASHIONBOOK showcases pieces from the Gucci Savoy travel collection, distinguished by the emblematic monogram and Web stripe. #GucciValigeria  

Photographer: #JohnsonLui  
Stylist: #RachaelWang https://t.co/xMDNOXGzad",gucci,64,5,413,,,"[User(username='CRFASHIONBOOK', id=595997584, displayname='CR FASHION BOOK', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-30 22:00:06+00:00,1608946054527086596,".@Pen_Magazine’s latest issue features a selection from the House’s travel offering including trunks, trolleys, and duffles from the heritage-infused Gucci Savoy collection. 

#GucciValigeria 

Photographer: #YusukeMiyazaki  
Stylist: #Kyu https://t.co/u77ilCh6iz",gucci,152,17,648,,,"[User(username='Pen_magazine', id=97351820, displayname='Pen Magazine', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-30 17:00:14+00:00,1608870587774177280,"Pieces from the ever-expanding Gucci Valigeria travel selection appear in an editorial by @HarpersBazaargr. 

Photographer: #GeorgeKatsanakis  

#GucciValigeria #GucciSavoy https://t.co/TFqfLJ4muY",gucci,62,0,358,,,"[User(username='HarpersBazaargr', id=1175017512687325184, displayname=""Harper's Bazaar Greece"", rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-30 13:00:12+00:00,1608810182397800450,"Global Brand Ambassador #KAI was captured wearing #GucciCruise23 for the latest @LOfficiel_PH’s cover story. 

Photographer: #SangHunLEE 
Stylist: @danylcg https://t.co/L1MzoX0vlm",gucci,11441,454,19586,,,"[User(username='LOfficiel_PH', id=1364011696918962177, displayname=""L'Officiel Philippines"", rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='danylcg', id=75844616, displayname='Danyl G.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-30 08:00:10+00:00,1608734675920642050,"#PaulMescal wears a selection of looks from the #GucciCruise23 collection for a special feature of the latest @FlauntMagazine. 

Photographer: #IsaacAnthony  
Stylist: #MuiHaiChu https://t.co/4GxZv9aGRV",gucci,34,8,337,,,"[User(username='FlauntMagazine', id=22534727, displayname='FLAUNT', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-29 22:00:09+00:00,1608583675993796609,".@RanveerOfficial wears a look from #GucciCruise23 for the latest @esquiresg cover.  

Photographers: #NishanthRadhakrishnan @featartists https://t.co/46M4jOmR2P",gucci,69,10,483,,,"[User(username='RanveerOfficial', id=68497896, displayname='Ranveer Singh', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='esquiresg', id=459847791, displayname='Esquire Singapore', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='featartists', id=190671686, displayname='Featured Artists', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-29 17:00:26+00:00,1608508250105982976,"Captured for the latest @wkorea issue, @hwangheechan is captured in sporty and tailored ensembles from #GucciCruise23.  

Photographer: #KimYeongjun  
Fashion Editor: #LeeYeji  
Digital Director: #ChoiJinwoo 
Stylist: #ParkJiyoung https://t.co/B9cVZfBLrZ",gucci,31,4,248,,,"[User(username='wkorea', id=78262636, displayname='W Korea', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='hwangheechan', id=181791106, displayname='황희찬', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-29 13:00:11+00:00,1608447791571034113,"The latest issue of @wkorea features @hwangheechan wearing a #GucciCruise23 look styled with a duffle bag from #GucciValigeria.  

Photographer: #KimYeongjun  
Fashion Editor: #LeeYeji  
Digital Director: #ChoiJinwoo 
Stylist: #ParkJiyoung https://t.co/xUo0jfUpWv",gucci,29,1,318,,,"[User(username='wkorea', id=78262636, displayname='W Korea', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='hwangheechan', id=181791106, displayname='황희찬', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-29 08:00:12+00:00,1608372295596376066,".@hwangheechan appears in @wkorea wearing a selection of #GucciCruise23 looks.  

Photographer: #KimYeongjun  
Fashion Editor: #LeeYeji  
Digital Director: #ChoiJinwoo 
Stylist: #ParkJiyoung https://t.co/By5ZCECVTu",gucci,58,7,560,,,"[User(username='hwangheechan', id=181791106, displayname='황희찬', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='wkorea', id=78262636, displayname='W Korea', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
