,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-08-04 15:00:08+00:00,1555206959204376577,"She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",hm,43,16,236,,,"[User(username='Janefonda', id=18583722, displayname='Jane Seymour Fonda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-08-04 14:00:25+00:00,1555191933299040258,"Introducing H&amp;M Move – here to get the whole world and every body moving. This is our workout, led by @Janefonda  and @JaQuelKnight . And you’re all invited. Ready to move? Let’s go! 

#HMmove #JaneFonda #JaQuelKnight https://t.co/mSCyA3XKHu",hm,35,12,193,,,"[User(username='Janefonda', id=18583722, displayname='Jane Seymour Fonda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JaQuelKnight', id=56148895, displayname='JaQuel Knight', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-07-30 01:28:06+00:00,1553190664904626176,@JaynayChanel With these immaculate transitions there is no other way it can be done!❤️,hm,0,1,3,,,"[User(username='JaynayChanel', id=264552654, displayname='Jaynay C.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-07-30 01:20:54+00:00,1553188856287182854,Ok so is everyone currently transcending/trying to figure out how to add the whole 👑🐝 album to the playlist like us or what?#RENAISSANCE,hm,7,1,50,,,
4,2022-07-26 13:20:46+00:00,1551920464028639234,They’re a 10 but they try to return swimsuits after vacation.,hm,15,13,137,,,
5,2022-07-21 12:10:46+00:00,1550090907738841088,For everyone that guessed #StrangerThings  it’s time to turn your style Upside Down. https://t.co/zz8s2Tm2NY,hm,24,14,142,,,
6,2022-07-19 13:14:23+00:00,1549382141498327044,"@UnicornWaves94 Sadly no, nice try though😭",hm,2,0,12,,,"[User(username='UnicornWaves94', id=165339820, displayname='Bar-B-Quin 🐠', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-07-19 12:32:54+00:00,1549371703700213760,"New collab incoming!
Hint: 🔦👹🧇👩‍🦲🎒🔥

Guess below! ⬇️",hm,27,30,450,,,
8,2022-06-24 01:59:25+00:00,1540152583683280896,@4eveforaye 素敵な写真！掲載させてください。 #YesHM と返信して、利用規約とプライバシー通知 https://t.co/dYKnhJ6vZm に同意してください。,hm,0,0,1,,,"[User(username='4eveforaye', id=1446004421553315843, displayname='4EVE For aye Official | slow', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-06-02 14:00:10+00:00,1532361435967369216,"You’re the only one who can define what family means to you. Family isn’t one-size-fits-all. But whoever you decide to include in yours, make sure they love you — no matter who you love. 🤍💖🤎🖤❤️🧡💛💚💜💙 #HMPride https://t.co/yx9SjItJ9i",hm,32,8,139,,,
