,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 16:59:53+00:00,1609232887869747201,"Mechanical engineering student Kaemen Lafleur built the C🔵🔵LEST things in 2022 — and is going even bigger in 2023 🔥 ✨ 🎉

https://t.co/cB50SrhcZD https://t.co/RvyUW0zcRo",instagram,185,24,1184,,,
1,2022-12-31 16:37:54+00:00,1609227357168226304,dare: DM your crush 💋 at midnight…,instagram,521,500,3041,,,
2,2022-12-30 16:48:35+00:00,1608867659357261826,"“When rain frogs yawn, their tongues form a heart shape for a split second. Blink and you’ll miss it.”

💚💚💚

#WeeklyFluff

https://t.co/LApOwH2zLc https://t.co/9EAVtWzaRY",instagram,120,8,812,,,
3,2022-12-28 17:57:19+00:00,1608160178683383811,"Use green screen with your own content or any photos/videos 🎮 

For more tips and tricks, check out https://t.co/Z39HDf5lyU https://t.co/0CZOq3xCpR",instagram,84,3,516,,,
4,2022-12-27 17:01:42+00:00,1607783793116741636,"Lé bored chef 🙃

https://t.co/Tg0FUBj2nk https://t.co/J8pjNShRkZ",instagram,104,6,953,,,
5,2022-12-24 17:52:40+00:00,1606709459010867200,"wool + stop-motion + puppets = the cutest little winter wonderland  

☃️🧤🌨️❤️

https://t.co/DfdIxG9P6e https://t.co/YFQmKVNgS3",instagram,100,6,735,,,
6,2022-12-23 18:09:31+00:00,1606351308801249280,making content with your little cousins is unmatched holiday energy,instagram,89,14,828,,,
7,2022-12-23 14:25:16+00:00,1606294877565702146,"Treat yo self 🫧😻💅 

#WeeklyFluff

https://t.co/rSLPGaXjmn https://t.co/n6AnJMMQ15",instagram,199,22,1290,,,
8,2022-12-22 23:45:21+00:00,1606073436023193601,@jkline120 ❤️🎄,instagram,0,0,4,,,"[User(username='jkline120', id=2171003965, displayname='jmk', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-22 23:45:09+00:00,1606073386341650433,@OfficeRajeev loving these holiday vibes 🤩,instagram,0,0,5,,,"[User(username='OfficeRajeev', id=1204506867419906048, displayname='Office Rajeev Kumar', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-22 23:45:01+00:00,1606073351629590528,@Gueloraices this is the answer 🙌,instagram,0,0,3,,,"[User(username='Gueloraices', id=239467441, displayname='Miguel Flores', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-22 23:44:52+00:00,1606073314480652289,@sheikhweb3 we get it,instagram,0,0,4,,,"[User(username='sheikhweb3', id=2476753800, displayname='Hussain 🇵🇰', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-22 23:44:44+00:00,1606073281819574272,@bluebooboo here for this 🥺,instagram,0,0,3,,,"[User(username='bluebooboo', id=1435654823572086787, displayname='Blue Boo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-22 23:44:34+00:00,1606073242116329472,@dvperki we feel that 😂,instagram,0,0,2,,,"[User(username='dvperki', id=38609831, displayname='Truth and Freedom', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-22 23:44:26+00:00,1606073205596516355,@rezasajedimusic 🥰✨,instagram,0,0,2,,,"[User(username='rezasajedimusic', id=1269808851517411329, displayname='Reza Sajedi Music', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
15,2022-12-22 21:27:03+00:00,1606038634020249600,"@StateFarm like a good neighbor, our inner grinch is always there",instagram,1,0,7,,,"[User(username='StateFarm', id=15091022, displayname='State Farm', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,2022-12-22 19:10:13+00:00,1606004195915489281,are you the Grinch before or after his heart grows three sizes?,instagram,89,33,722,,,
17,2022-12-22 16:52:31+00:00,1605969543263764481,"“Christmas tree Afro” 🎄 = 12/10  
 
🎥: Justice Jackson

https://t.co/QU0TL273fY https://t.co/KkwG8I6FVt",instagram,72,4,734,,,
18,2022-12-21 18:48:44+00:00,1605636403508875264,"From air fryers to anime, these were the top trending hashtags of 2022 🚀 https://t.co/rUc9tGLMUD",instagram,269,61,1108,,,
19,2022-12-21 17:10:08+00:00,1605611590769729537,"🔥 @Flaujae is on FIRE on and off the court 🎤 🏀  
 
The 19-year-old is playing for @LSUwbkb and balancing life as an elite college basketball player, rapper and full-time student ❤️‍🔥  

https://t.co/EEHrMOgFLt https://t.co/6XFUq02lh1",instagram,227,45,1188,,,"[User(username='Flaujae', id=1016128555, displayname='Flaujae 4️⃣', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='LSUwbkb', id=132636142, displayname=""LSU Women's Basketball"", rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
20,2022-12-20 23:23:01+00:00,1605343041203884033,@brasitalia100 🥰🥰🥰,instagram,0,0,1,,,"[User(username='brasitalia100', id=127916193, displayname='Sonia D. S. Santana', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
21,2022-12-20 23:22:46+00:00,1605342979522457602,@Ousmanj10 🐐🏆,instagram,3,0,29,,,"[User(username='Ousmanj10', id=840838031850389504, displayname='Ousman jallow', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
22,2022-12-20 23:22:35+00:00,1605342933787738113,@vaderomamusic THE GOAT🐐🏆,instagram,8,0,82,,,"[User(username='vaderomamusic', id=776937780, displayname='Vade Roma', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
23,2022-12-20 23:22:27+00:00,1605342898081628161,@chacoal17 couldn't agree more,instagram,2,0,36,,,"[User(username='chacoal17', id=2925046488, displayname='guchu wamakara jr 🇰🇪', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
24,2022-12-20 23:22:17+00:00,1605342858684530688,@Gunner_237 he's a legend,instagram,2,0,85,,,"[User(username='Gunner_237', id=4061036457, displayname='Argentina', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
25,2022-12-20 23:22:07+00:00,1605342812794675201,@1Halawany 🏆 &gt; 🥚,instagram,11,0,286,,,"[User(username='1Halawany', id=217377742, displayname='Falah Al-Halawany', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
26,2022-12-20 20:02:12+00:00,1605292504563142656,"On top of these features, you can keep your account safe by turning on two-factor authentication 🔒 and going through our security checkup ✅

https://t.co/PpNdvpzXhD",instagram,35,10,191,,,
27,2022-12-20 20:01:52+00:00,1605292418487635968,"We’re also testing new ways to help prevent hacking:
 
🌟 Sending warnings if imposter accounts request to follow you. 

🌟 Showing the blue badge for verified accounts in Stories, DMs and Feed — so there are more places to see if the account you’re interacting with is legit. https://t.co/rJlXvSoxSP",instagram,107,10,517,,,
