,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-28 13:14:42+00:00,1608089054448603136,Explore key trends that shaped the M&amp;A market in 2022 and find out what to expect in 2023. https://t.co/ltwruao4tt https://t.co/fC9PWY0NXl,jpmorgan,14,3,35,,,
1,2022-12-20 21:15:06+00:00,1605310847990931457,Our strategic investment reinforces J.P. Morgan’s commitment to payments innovation and the European market. https://t.co/kcdij4PQ57 https://t.co/BCohU2UxyJ,jpmorgan,10,1,36,,,
2,2022-12-20 13:59:39+00:00,1605201263943098368,"What do an actress, a Supreme Court Justice, and J.P. Morgan’s Daniel Pinto all have in common? They’re on Bloomberg Línea’s inaugural 100 Most Influential Latinos list.",jpmorgan,12,0,36,,,
3,2022-12-16 18:00:00+00:00,1603812201763991552,Higher rates. Weaker growth. Valuation resets. Explore what these key economic and market forces may mean for investors.,jpmorgan,19,1,37,,,
4,2022-12-15 18:45:11+00:00,1603461183331528705,"What’s the outlook for M&amp;A activity in 2023? Anu Aiyengar, Global Co-Head of M&amp;A, expects overall activity to be flat. https://t.co/mZhHR4IBkd https://t.co/OwhzioriyO",jpmorgan,10,1,34,,,
5,2022-12-15 13:01:47+00:00,1603374761425395712,Congratulations to our Research team who have earned the top spot of @IIMag’s Global Fixed-Income Research Providers survey.👏,jpmorgan,8,1,48,https://twitter.com/iimag/status/1602672194169016322,,"[User(username='iimag', id=93723527, displayname='Institutional Investor', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-09 14:25:53+00:00,1601221602473033728,Stocks are under pressure as economic growth slows. Explore key market and economic forecasts for the year ahead.,jpmorgan,19,1,38,,,
7,2022-12-05 15:30:00+00:00,1599788185055272962,"Through the rise of digitization, gig workers are enhancing many shopping experiences. Learn how payments can help to attract and retain these workers.",jpmorgan,10,0,21,,,
8,2022-12-02 16:45:34+00:00,1598720037262704640,"From the largest archaeological complex in the world to the new frontiers of our digital reality, from Broadway to the racetrack, #NextList2023 offers an enlightening collection of books, experiences and opportunities curated to inspire new perspectives.",jpmorgan,24,2,66,,,
9,2022-12-02 15:00:03+00:00,1598693482821865477,Institutional DeFi has the potential to change the game for regulated institutions who want to participate on the public blockchain.,jpmorgan,18,1,28,,,
