,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 20:00:00+00:00,1609278217378041856,"After writing &amp; directing 10 original features, Noah Baumbach’s White Noise is the filmmaker’s first adaptation, based on the 1985 Don DeLillo novel. 

Of what drew him to the material, Baumbach said, “I wanted to make a movie that was as crazy as the world felt to me right now.” https://t.co/QY94AA52EV",netflix,75,29,1105,,,
1,2022-12-31 17:00:14+00:00,1609232977002729476,"“Adults keep saying, ‘We owe it to the young people to give them hope.’ But I don’t want your hope. I don’t want you to be hopeful. I want you to panic.” 

Powerful words from Greta Thunberg on climate change in Live to Lead. Now on Netflix https://t.co/4jC1JOuDyy",netflix,1519,168,8138,,,
2,2022-12-31 16:22:20+00:00,1609223439637782531,"In 2022 we said “hi” to Heartstopper 🍂

Now, let's say goodbye to the year with this deleted scene from Season 1! https://t.co/1vIDUM7ZD2",netflix,999,476,7376,,,
3,2022-12-31 16:00:00+00:00,1609217819824078850,"In awe of Janelle Monae's transformative performance in Glass Onion? Join the club.

Hear the supremely talented star dive deep into her scene-stealing role: https://t.co/bkwWvSkPcX",netflix,103,8,976,,,
4,2022-12-31 15:01:43+00:00,1609203152724566020,How many days until You Season 4 premieres? https://t.co/q87Qtr61r1,netflix,546,137,12478,,,
5,2022-12-30 22:00:01+00:00,1608946031466520578,if sylvie looked at me like this I would simply pass away https://t.co/wCjPgg2lj2,netflix,132,27,2482,,,
6,2022-12-30 21:00:00+00:00,1608930928637743105,What would you say to your mom if you could go back in time? https://t.co/4VzpLUwp5S,netflix,349,94,5809,,,
7,2022-12-30 17:00:02+00:00,1608870536850948096,"In case you didn't know, Glass Onion is about a group of backstabbing friends getting called out on their shit by a pitch-perfect Janelle Monáe https://t.co/d5tRMiVPNU",netflix,304,67,4341,,,
8,2022-12-30 16:00:31+00:00,1608855560509603841,"The supermarket recharges us spiritually. 

A Noah Baumbach Picture, White Noise is now on Netflix.  Starring Adam Driver, Greta Gerwig, and Don Cheadle — featuring the original song “new body rhumba” by LCD Soundsystem. https://t.co/aG7Lr786gA",netflix,306,243,2177,,,
9,2022-12-30 00:00:32+00:00,1608613971845697536,"George Clooney, Anna Kendrick, and Vera Farmiga all received Oscar nominations for their incredible performances in this film about corporate downsizing. 

Up in the Air is now on Netflix https://t.co/OG6T8Qdfl9",netflix,257,75,3196,,,
10,2022-12-29 22:00:32+00:00,1608583773028851716,"Struggling to think of something sexier than the way Lucien Laviscount says ""Cooper"" https://t.co/jHOdcMEl56",netflix,436,281,4681,,,
11,2022-12-29 20:00:30+00:00,1608553568474103808,One week until Ginny &amp; Georgia Season 2 premieres! https://t.co/8Wwqx12KYX,netflix,1127,466,13241,,,
12,2022-12-29 18:00:31+00:00,1608523370722729986,"What do you think, @lilycollins? https://t.co/SCOij0cNlt",netflix,177,82,3105,,,"[User(username='lilycollins', id=223546666, displayname='Lily Collins', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-29 15:40:05+00:00,1608488030041681920,Not a lie was told. https://t.co/nkdxEfOQK6,netflix,6919,447,40113,,,
14,2022-12-29 00:00:01+00:00,1608251453449113600,"Take a 3-D tour of the Grecian island where Daniel Craig’s Detective Benoit Blanc visits in the next installment of Rian Johnson’s whodunnit.

https://t.co/os4PYI06AC",netflix,92,11,1263,,,
15,2022-12-28 22:00:31+00:00,1608221382587944965,"what's a Witcher series without a couple monsters? Blood Origin, a new prequel limited series, is now streaming https://t.co/VZ3U5C8bId",netflix,161,40,2455,,,
16,2022-12-28 20:00:00+00:00,1608191053189812224,Ashley Park and Kevin Dias singing Shallow in French is a legitimate stroke of genius by the Emily in Paris writers. https://t.co/nmnitYtkTL,netflix,341,76,2968,,,
17,2022-12-28 18:00:01+00:00,1608160859016028160,One thing I love about the cast of Glass Onion: A Knives Out Mystery is that they're now all SO good at Guess Who https://t.co/CnuK659c1D,netflix,126,13,2108,,,
18,2022-12-28 16:00:01+00:00,1608130660052369408,"Wish I could watch all of these again, for the first time https://t.co/tIASR3vTdO",netflix,690,496,7575,,,
19,2022-12-28 15:00:00+00:00,1608115557567549440,#WednesdayThought https://t.co/wjUnelSaFI,netflix,1676,199,14802,,,
20,2022-12-28 00:00:30+00:00,1607889188065624065,The stunning outfits that Empress Merwyn wears in The Witcher: Blood Origin are designed by Dutch fashion designer Iris Van Herpen https://t.co/f4XXwFhcBv,netflix,198,51,3401,,,
21,2022-12-27 22:00:01+00:00,1607858867878109189,I know we’re all obsessed with Emily’s love life but Sylvie getting back together with her ex husband was really beautiful... until the bees https://t.co/0xccAl6OIj,netflix,70,32,1272,,,
22,2022-12-27 18:00:01+00:00,1607798470013853697,"If you’re in line to vote for Kathryn Hahn in Glass Onion, STAY IN LINE! https://t.co/rLCEXYOtnU",netflix,158,15,2901,,,
23,2022-12-27 17:00:00+00:00,1607783367855972352,Ashley Park singing Dua Lipa on Emily in Paris — The Set Up vs. The Shot https://t.co/zC5UGZAexK,netflix,160,71,2603,,,
24,2022-12-27 16:00:01+00:00,1607768273562570753,You heard what Trunchbull said about pigtails. https://t.co/Myvkw72Mlu,netflix,272,114,4998,,,
25,2022-12-27 15:00:00+00:00,1607753166778515457,"What Emily in Paris has in common with Bridgerton, Sex Education, and Elité https://t.co/1OuFk6HgQz",netflix,106,35,1611,,,
26,2022-12-26 20:46:11+00:00,1607477898084245504,Sneak peek at my plans for the week between Christmas and New Years https://t.co/SA1oQEb5NN,netflix,404,40,4975,,,
27,2022-12-26 19:00:30+00:00,1607451305542287360,PRACTICAL MAGIC (1998) https://t.co/tv9sTSERhI,netflix,125,22,3571,,,
28,2022-12-26 18:00:01+00:00,1607436080864804864,There's just something so soothing about hearing Daniel Craig and Janelle Monae expertly break down their most memorable costumes in Glass Onion https://t.co/1acl562d8J,netflix,492,68,4792,,,
29,2022-12-26 16:37:53+00:00,1607415411221606400,Watch Emma Thompson transform into Miss Trunchbull for Roald Dahl's Matilda The Musical https://t.co/YBnco2viTG,netflix,522,128,6569,,,
30,2022-12-26 15:21:48+00:00,1607396268195852288,"There's a traitor inside MI6. Now Adam must question everything and suspect everyone... including himself. 

Charlie Cox stars Treason, in a limited series from the creator of Bridge of Spies. Now on Netflix. https://t.co/lL1OHFVVta",netflix,337,109,3234,,,
31,2022-12-25 22:00:01+00:00,1607134091698229249,Getting home and immediately fighting with your partner after holding it together in front of your family all day. https://t.co/1sqthf9xbm,netflix,115,11,2324,,,
32,2022-12-25 20:00:30+00:00,1607104015015239683,"As Glass Onion proves, Kate Hudson and Kathryn Hahn's chemistry has only gotten better in the 19 years since How to Lose A Guy in 10 Days! https://t.co/w3Tau0KEyu",netflix,511,49,12329,,,
33,2022-12-25 19:00:31+00:00,1607088918578561031,"When in doubt, always team up with Michelle Yeoh! 

The Witcher: Blood Origin is now on Netflix. https://t.co/JUT7c6y5a6",netflix,567,181,5928,,,
34,2022-12-25 17:30:30+00:00,1607066267294236674,"Break out the red berets because... 

Roald Dahl's Matilda the Musical is now on Netflix (and now in UK cinemas, coming to @NetflixUK Summer 2023) https://t.co/LRfFTdsBpv",netflix,769,706,3874,,,"[User(username='NetflixUK', id=231183280, displayname='Netflix UK & Ireland', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
35,2022-12-25 17:00:30+00:00,1607058718981591040,🗣 AND A HAPPY NEW YEAR https://t.co/b83IxnJpMz,netflix,297,568,3634,,,
36,2022-12-25 16:30:00+00:00,1607051040511098880,"#ChrisRockLive: Selective Outrage — Netflix's First LIVE Global Event! March 4, 10pm ET/7pm PT https://t.co/Caaxn9dlaC",netflix,147,43,1439,,,
37,2022-12-25 15:00:00+00:00,1607028393849098242,After Ever Happy — the fourth film in the After film series — is now on Netflix. https://t.co/1sz1WR8f8t,netflix,365,272,4090,,,
38,2022-12-25 14:00:30+00:00,1607013418648616960,The Heartstopper cast sends season's greetings and wishes you a happy new year — especially since Season 2 is coming in 2023! https://t.co/9Bo1J4122T,netflix,1312,310,9593,,,
39,2022-12-25 02:57:55+00:00,1606846672541478912,Kate Hudson and Madelyn Cline buddy comedy when? https://t.co/yfLJVBLRfc,netflix,186,33,4552,,,
40,2022-12-24 20:00:01+00:00,1606741505002991616,"Evie's estranged family is just dying to meet her... 

Nathalie Emmanuel and Thomas Doherty star in The Invitation. Now on Netflix. https://t.co/NynKGA0jyR",netflix,231,105,2860,,,
41,2022-12-24 17:00:01+00:00,1606696206092173312,The Glass Onion shows off their damn fine impressions of Daniel Craig as Benoit Blanc https://t.co/vrA23lqCPt,netflix,373,71,4315,,,
42,2022-12-24 11:00:00+00:00,1606605606009245696,"Did someone wish for Young Royals Season 2 bloopers this Christmas? 

Well, your wish has been granted. https://t.co/U3rsG5dry1",netflix,894,374,6674,,,
43,2022-12-23 22:24:47+00:00,1606415550800105472,Truly obsessed with every single thing Daniel Craig wears in Glass Onion: A Knives Out Mystery https://t.co/IGrOgoEo3d,netflix,502,131,6581,,,
44,2022-12-23 20:18:39+00:00,1606383807896043520,@HarryJowsey @lilycollins je t'aime,netflix,2,0,5,,,"[User(username='HarryJowsey', id=1084382088881528832, displayname='Harry Jowsey', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='lilycollins', id=223546666, displayname='Lily Collins', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
45,2022-12-23 19:55:05+00:00,1606377878349746176,@softjunebreeze @JanelleMonae IKTR!,netflix,2,0,1,,,"[User(username='softjunebreeze', id=12346782, displayname='Moonlight 🌙', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JanelleMonae', id=12266442, displayname='Janelle Monáe👽🚆🤖🚀🪐', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
