,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-26 09:00:33+00:00,1607300322086584322,"#PanasonicCES 2023 | Jan 5-8, 2023 @ces

Discover the ways #PanasonicGreenImpact is changing the way we operate. Sign up to receive exclusive updates on our Tech Talks, events, and innovations through the show. 

Don't miss our press conference on Jan 4 at 1:00pm ET / 10:00am PT.",panasonic,2,1,12,,,"[User(username='CES', id=10668202, displayname='CES', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-26 08:01:10+00:00,1607285378456633344,"""There is only one truth. But there may be more than one way to observe it..."" ©PHP - Insights from #KonosukeMatsushita, the founder of Panasonic. 

https://t.co/nM3oC4cXEj 

#QuoteOfTheDay #QOTD #MotivationalMonday #WordsOfWisdom

Hope you have a nice 2023, Happy New Year! https://t.co/c1bpfud3gH",panasonic,7,1,55,,,
2,2022-12-26 07:00:58+00:00,1607270226454016001,"In Annual Report 2022, #Panasonic Holdings has added new content regarding “Strategies of Functions” &amp; “#ESG”.
✔️Messages from Group CIO, CTO &amp; CHRO
✔️Message from the #Environmental Compliance Administrator/Initiatives towards Environment
✔️Employees’ #Wellbeing Initiatives

#IR",panasonic,0,1,7,https://twitter.com/panasonic/status/1572873346680819712,,
3,2022-12-26 00:18:01+00:00,1607168823743889409,"Panasonic Connect Announces Changes to Responsibilities of Leadership Team
https://t.co/goylvvMZno",panasonic,0,0,13,,,
4,2022-12-23 03:22:35+00:00,1606128104199815170,"Thank you for your #interest and for joining our campaign #SpreadJoyWithPanasonic.🤗

The #Campaign has just finished.🎁
#Winners will be contacted during Jan 2023 via direct message. 📨

Look forward to it💝 #ThankYou
https://t.co/sGI4WphuRu https://t.co/JfkTdu1ict",panasonic,1,1,16,,,
5,2022-12-23 02:00:00+00:00,1606107321754480641,"Our #founder #KonosukeMatsushita once said, “We make people, and at the same time we make electrical goods.” His #philosophy still #inspires Panasonic to produce future-oriented #sustainable #products and #innovative #services for the #people around the world. 

Check now👇",panasonic,2,0,9,,,
6,2022-12-22 10:34:46+00:00,1605874481766862848,"@KusinPravin @PanasonicIndia
Could you kindly deal with this issue?",panasonic,0,0,1,,,"[User(username='KusinPravin', id=3263455417, displayname='Pravin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PanasonicIndia', id=323628982, displayname='Panasonic India', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-22 08:00:09+00:00,1605835571569360897,"What’s your joy or happiness that you #wish would last forever?
#Holiday #Xmas #Party #Family

One day left! Get the chance to #win a #special #present by joining our #campaign #SpreadJoyWithPanasonic.

Check now👉https://t.co/sGI4WoZlDm
What is an “ideal life” for @naomiosaka? https://t.co/rJjwDgnmqB",panasonic,0,0,8,https://twitter.com/panasonic/status/1605489576247640065,,"[User(username='naomiosaka', id=773280684173463552, displayname='NaomiOsaka大坂なおみ', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-22 07:01:55+00:00,1605820916159877120,"2022 was a busy year for the #Panasonic organization—find out what we’ve been up to with this feature article introducing our #Top5 company efforts this year! 
#Financial #Purpose #DEI #PanasonicGreenImpact #LiveYourBest 

👇Watch this space for more Top 5 features coming soon.",panasonic,0,0,9,,,
9,2022-12-22 02:30:00+00:00,1605752485133500419,"#Panasonic Group is rethinking its #IntangibleAsset #strategy with an emphasis on collaboration, matching knowledge to needs to address global social issues and #decarbonization. 

#CarbonReduction #Sustainability",panasonic,1,0,12,,,
10,2022-12-22 00:01:09+00:00,1605715023715635201,"Looks like you had a warm and happy #FamilyTime🥰
We hope your family stays happy and blissful forever!👍

Thank you for joining #SpreadJoyWithPanasonic #Campaign!🎉
The last 1day left before the campaign ends!🎁

About More Details?🧐
Check now👉: https://t.co/sGI4WoZlDm",panasonic,0,0,9,https://twitter.com/amelia_avossa/status/1605140932663336961,,
