,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-30 02:40:19+00:00,1608654182176927744,@creamlaflare Hi! Please send us a DM so we can help you 💙,pepsi,0,0,0,,,"[User(username='creamlaflare', id=1207628229143678976, displayname='creamlaflare', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-30 02:39:26+00:00,1608653963779530752,@SleezyDaTwit Hi! Please send us a DM so we can help you 💙,pepsi,0,0,0,,,"[User(username='SleezyDaTwit', id=1462567315636207617, displayname='MoonBoi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-29 17:11:05+00:00,1608510932686077953,NO PURCHASE NECESSARY. Void Where Prohibited. 18+. Multiple drawings. Game ends 1/14/23. Subject to rules at https://t.co/ZVyvRX3ucb,pepsi,16,4,56,,,
3,2022-12-29 17:07:22+00:00,1608509994844012544,"Give it up for @brockpurdy13 🙌🏈 Two touchdowns and 234 passing yards secured the @49ers W. For your chance to win this week’s Pepsi Zero Sugar Rookie Collection tee, RT this post with #PepsiRookieSweepstakes. Complete rules https://t.co/1naTkeAiAB https://t.co/eArOXfHJUK",pepsi,239,281,430,,,"[User(username='brockpurdy13', id=723177170382647296, displayname='Brock Purdy', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='49ers', id=43403778, displayname='San Francisco 49ers', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-28 15:13:22+00:00,1608118920971706371,@Tmeyer2008 Santa must have been extra happy this year!,pepsi,0,0,5,,,"[User(username='Tmeyer2008', id=361162538, displayname='Teresa Meyer (Terri) #BlueSC 🇺🇸 🐀', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-28 15:00:31+00:00,1608115685200207874,There’s only one type of winter blues we’re interested in😉🥤 https://t.co/uA2kMiIxeD,pepsi,53,3,335,,,
6,2022-12-27 21:58:28+00:00,1607858479259176962,@mtn12_ 👏👏👏,pepsi,0,0,1,,,"[User(username='mtn12_', id=1305248120985530373, displayname='Friendly Mountain12', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-27 21:43:39+00:00,1607854751466819585,"@SiameezyRPGer Jenae, we're sorry to hear that! Please send us a DM so we can learn more about your experience. Thanks! https://t.co/8LjeTK5Qio",pepsi,0,0,1,,,"[User(username='SiameezyRPGer', id=242635778, displayname='Jenae', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-27 18:04:44+00:00,1607799656523894786,"@squarymary Mary, we're sorry to hear that! Please send us a DM so we can learn more about your experience. Thanks! https://t.co/8LjeTK5Qio",pepsi,0,0,0,,,"[User(username='squarymary', id=39679670, displayname='Mary Dugan ❤️❤️👸🏻', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-27 04:47:57+00:00,1607599141353361408,@icikiwirq Hi! Please send us a DM so we can help you 💙,pepsi,0,0,0,,,"[User(username='icikiwirq', id=1575750236483760128, displayname='Reza Pangestu', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-27 04:46:22+00:00,1607598740512116736,@icikiwirq @shivakr71552181 Hi! Please send us a DM so we can help you 💙,pepsi,0,0,1,,,"[User(username='icikiwirq', id=1575750236483760128, displayname='Reza Pangestu', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='shivakr71552181', id=1384559341630414848, displayname='shiva15.bnb', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-27 04:45:24+00:00,1607598500589731841,@JackVale100 Hi! Please send us a DM so we can help you 💙,pepsi,0,0,0,,,"[User(username='JackVale100', id=1468300118210527232, displayname='Jack Vale', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-27 04:43:05+00:00,1607597916813942784,@NooBSquad17 Hi! Please send us a DM so we can help you 💙,pepsi,0,0,0,,,"[User(username='NooBSquad17', id=1312293240029147136, displayname='CRYPTO KING || Noobsquad17.bnb', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-25 01:18:10+00:00,1606821571653472256,"@klown322 Hi! Once your email and address are validated, you can expect to receive this the first week of January 💙",pepsi,0,0,0,,,"[User(username='klown322', id=795899443014987776, displayname='Karol', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-25 01:17:56+00:00,1606821513830735872,"@MendeViktoria Hi! Once your email and address are validated, you can expect to receive this the first week of January 💙",pepsi,0,0,1,,,"[User(username='MendeViktoria', id=1491079124546473988, displayname='viktoria_mende', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
