,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-30 20:42:47+00:00,1608926595200286721,@JunaidA44572003 Bravo 👏,SAP,0,0,1,,,"[User(username='JunaidA44572003', id=1031396932596506625, displayname='Junaid Ahmad', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-30 14:21:06+00:00,1608830543616950274,"❓ What is robotic process automation (RPA)?
❓ How does it work?
❓ Why is it important?

@SAPInsights answers these Qs and more: https://t.co/JwhRXU85wx https://t.co/n2FptRNQjo",SAP,7,0,29,,,"[User(username='SAPInsights', id=491462544, displayname='SAP Insights', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-29 09:58:08+00:00,1608401975078526976,"What trend do you predict will have the biggest impact on consumers and companies in 2023?

Our @thsaueressig provides his forecast on 8 trends that will shape the way we do business. https://t.co/Fy3LToFnxA https://t.co/CVcJ4gyfoy",SAP,5,0,14,,,"[User(username='thsaueressig', id=102743128, displayname='Thomas Saueressig', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-27 12:38:01+00:00,1607717437289398272,"Set your goals. Make a plan. Get learning. 

Kickstart your New Year's resolution with free learning resources: https://t.co/OeqJ5U9AuH https://t.co/9ClUOCDwYx",SAP,4,0,16,,,
4,2022-12-24 12:48:11+00:00,1606632830565507074,"Wishing you moments of peace, love, and joy this season. 

Happy Holidays from SAP! 🎄❄️ https://t.co/qPAH0ikn89",SAP,12,0,74,,,
5,2022-12-24 01:31:41+00:00,1606462582780559361,"@DwayneTriplett1 Hi Dwayne - If you're looking for SAP Partners, you can start your search at this page on our site: https://t.co/3q3FqR0Mur - Debbie, SAP",SAP,0,0,0,,,"[User(username='DwayneTriplett1', id=1567662930056937473, displayname='Dwayne Triplett jr', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-23 17:06:01+00:00,1606335330973630467,From Walldorf to Newport Beach – we're getting in the holiday spirit! ✨ https://t.co/LrCfH8fj1g,SAP,9,0,91,,,
7,2022-12-22 15:58:36+00:00,1605955975072063489,@sepeparedes Great explanation 👏,SAP,0,0,1,,,"[User(username='sepeparedes', id=61210085, displayname='ƧΣPΣ', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-22 15:57:23+00:00,1605955667654737921,@koja1978 So true - we all end up freelancing as the IT helpdesk 😉,SAP,0,0,1,,,"[User(username='koja1978', id=418727727, displayname='Koja1978 🇧🇪', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-22 15:55:24+00:00,1605955171552460802,@f2i__h Thanks for the interest. You can search for courses at the Learning section of our site: https://t.co/iaUPIHhtOJ -,SAP,0,0,1,,,"[User(username='f2i__h', id=1900392612, displayname='Faisal Aldhafeeri 🇸🇦', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
