,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-30 20:05:12+00:00,1608917135920693255,Raise your hand if managing digital habits and prioritizing yourself is on your list of resolutions. ✋️ Galaxy Digital Wellbeing has you covered with the tools and support needed to make this resolution stick. https://t.co/GJ844aAFff,SamsungMobileUS,11,1,84,,,
1,2022-12-30 18:24:07+00:00,1608891700537171971,@iamghaire We're fans of those selections ourselves! 💙,SamsungMobileUS,1,0,3,,,"[User(username='iamghaire', id=1040058610271887366, displayname=""Gaylon's Gadgets"", rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-30 18:24:06+00:00,1608891693541072902,@longlegzK We love to see it! 💙,SamsungMobileUS,1,0,4,,,"[User(username='longlegzK', id=3349445117, displayname='Oochie Wally & One 🎤', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-30 15:31:31+00:00,1608848263167488003,@aliyahInterlude 100x Space Zoom has entered the chat 🌙👀,SamsungMobileUS,3,2,180,,,"[User(username='aliyahInterlude', id=1159968465807183872, displayname='?', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-29 16:05:40+00:00,1608494471116902400,@billboardNXT @nakedbibi Our excitement is out of this 🌎,SamsungMobileUS,1,0,3,,,"[User(username='billboardNXT', id=1437492713033801734, displayname='Samsung NXT', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='nakedbibi', id=1448497121867436037, displayname='nakedbibi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-29 16:05:19+00:00,1608494381962600449,@billboard @nakedbibi We couldn't be more excited!😊,SamsungMobileUS,1,0,6,,,"[User(username='billboard', id=9695312, displayname='billboard', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='nakedbibi', id=1448497121867436037, displayname='nakedbibi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-28 01:05:58+00:00,1607905664512262144,@dalydose Hi Jeff! Thanks for reaching out to us about this. We never want any of our customers to feel as though they've had a less than ideal experience. Please DM us with more information so that we can look into this further for you. Thanks!,SamsungMobileUS,1,0,1,,,"[User(username='dalydose', id=12834332, displayname='Jeff Daly', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-25 18:00:01+00:00,1607073693137620992,"Open anything interesting this year? 🎁 

Show us and share with #GalaxyGifts.",SamsungMobileUS,7,1,82,,,
8,2022-12-23 18:00:05+00:00,1606348935261556743,"“As soon as I tried Samsung #GalaxyBuds2Pro, I knew they were going to blow my AirPods out of the water.” 

Read more from @techradar here: https://t.co/5CopnIN65L https://t.co/ySYIrAMk8w",SamsungMobileUS,4,0,96,,,"[User(username='techradar', id=15560223, displayname='TechRadar', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-22 20:28:14+00:00,1606023831973511168,@MauiCPA Hi Doug. Thanks for reaching out to us. Please DM us with more information so that we can look into this for you!,SamsungMobileUS,1,0,1,,,"[User(username='MauiCPA', id=26701856, displayname='Doug Levin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
