,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-26 17:16:30+00:00,1607425132435226629,"How many different Spideys did you spot in the trailer for Spider-Man: Across the #SpiderVerse?

@SonyAnimation | @SonyPictures https://t.co/fHtIYL5WIk",Sony,48,3,465,,,"[User(username='SonyAnimation', id=241227689, displayname='Sony Pictures Animation', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SonyPictures', id=14497313, displayname='Sony Pictures', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-22 16:30:42+00:00,1605964054727725057,Seeing storyboards come to life always feels a little bit like magic https://t.co/njAJ2HCua5,Sony,131,4,1047,,,
2,2022-12-21 18:04:19+00:00,1605625226829746176,"Endure and survive. 

#TheLastOfUs premieres January 15 on @HBOMax. https://t.co/XGxMK3bd04",Sony,89,4,825,,,"[User(username='hbomax', id=89090040, displayname='HBO Max', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-20 14:00:01+00:00,1605201357526380544,"It's how you wear the mask that matters. Miles Morales returns in the next Spider-Man movie🕷 

Spider-Man: Across the #SpiderVerse is exclusively in theaters June 2023. https://t.co/mltDL8e7Tv",Sony,288,31,2600,,,
4,2022-12-19 21:45:13+00:00,1604956039920730112,the 1986 Sony Cube was square before it was cool https://t.co/Ubp5efMRK5,Sony,217,14,3708,,,
5,2022-12-16 14:55:08+00:00,1603765678456053760,"Insomniac Games confirms Marvel’s Spider-Man 2 swings to PS5 in fall 2023.

Prepare for more PlayStation 2023 highlights at PS Blog: https://t.co/5Z8Dqamzus https://t.co/qgseCZ6zPL",Sony,508,90,6240,,,
6,2022-12-15 17:27:16+00:00,1603441575173955584,"PS VR2 insight: Eye tracking tech lets players navigate menus in certain games 👀
 
Now that your eyes are tracking this post: Pre-order PS VR2 directly from PlayStation: https://t.co/qLHCW7a6mv https://t.co/V3ttElDT55",Sony,77,2,436,,,
7,2022-12-14 16:41:36+00:00,1603067694592692225,"From the writers of A Quiet Place and producer Sam Raimi, @65Movie starring Adam Driver is coming exclusively to movie theaters March 10. https://t.co/JK9tLaDKXY",Sony,58,7,442,,,"[User(username='65movie', id=1276202629807304705, displayname='65', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-13 17:02:24+00:00,1602710539783835654,The next Spider-Man movie is coming to theaters June 2023. Watch the new trailer for Spider-Man: Across the #SpiderVerse now. https://t.co/v2Y98eCzu0,Sony,511,166,2564,,,
9,2022-12-12 17:03:22+00:00,1602348394617397248,"The 27” INZONE M9 4K HDR 144Hz Gaming Monitor is the perfect monitor for all your gaming needs.

What are you playing first on this set up? https://t.co/AhrLQ7m3iN",Sony,35,4,379,,,
10,2022-12-09 19:10:07+00:00,1601293129411444738,Congrats to @SonySantaMonica for racking up a mythic six #GameAwards wins for God of War Ragnarök 🪓 ❄️ https://t.co/HaI02Kw7ok,Sony,141,10,1668,,,"[User(username='SonySantaMonica', id=382823424, displayname='Santa Monica Studio – God of War Ragnarök', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-08 16:22:18+00:00,1600888510252486656,"Who's excited for #TheGameAwards tonight?

Comment below with some of your predictions 👀",Sony,237,114,3566,,,
12,2022-12-07 17:23:47+00:00,1600541595988029440,"Holiday season is in full swing.

Remember: don’t be a Tim Whatley 🎁 https://t.co/eZUa2T4u95",Sony,32,1,203,,,
13,2022-12-06 16:22:05+00:00,1600163677847846912,"Life is a journey that's meant to be shared.

#AManCalledOtto is in theaters everywhere January 13 https://t.co/78b0aTT4UY",Sony,24,2,184,,,
