,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 20:22:30+00:00,1609283878182686720,"A year we'll remember forever 💙 Thank you, 2022 🏁 https://t.co/UnHrHKScoD",redbullracing,1294,48,19608,,,
1,2022-12-30 14:14:30+00:00,1608828879954640896,Not long to wait... 😅 #F1 https://t.co/6MGUfuWz9P,redbullracing,332,28,7805,,,
2,2022-12-29 13:00:02+00:00,1608447752177963008,A festive feast with Max and Checo... but with a difference 😄 https://t.co/SVHMGImNNg,redbullracing,341,80,4360,,,
3,2022-12-28 10:24:30+00:00,1608046222790598656,RB18 👑 From blank canvas to #F1 World Champions 📋,redbullracing,130,11,2212,,,
4,2022-12-27 15:03:00+00:00,1607753922399141897,A love letter to our most successful #F1 car 💌,redbullracing,160,13,2092,,,
5,2022-12-26 12:12:30+00:00,1607348626262528002,"One of our festive faves ❄️😍

⏪ Kitzbuhel, 2016 https://t.co/fQQ9kT8LLp",redbullracing,411,32,6646,,,
6,2022-12-25 12:04:30+00:00,1606984225378471936,"We know what one of our drivers is playing today... 😄

🎥 @F1 https://t.co/w6mxxZiV8E",redbullracing,178,15,3479,,,"[User(username='F1', id=69008563, displayname='Formula 1', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-25 09:01:00+00:00,1606938046351511554,Tidings of great joy from all of us at Oracle Red Bull Racing 😄🎄 https://t.co/COOteZpGu1,redbullracing,298,14,3928,,,
8,2022-12-24 17:28:00+00:00,1606703248634544128,Unwrapping a festive feast 🎁 Wishing everyone a very happy holidays 🎄 https://t.co/IGRa5KOk1i,redbullracing,3404,1942,36377,,,
9,2022-12-24 11:08:00+00:00,1606607618629402630,In perfect symmetry 🪞🔧 https://t.co/H2xNv2gQbo,redbullracing,937,42,18759,,,
10,2022-12-23 13:56:07+00:00,1606287539148505088,Sometimes we had to do it the hard way in 2022 🚀 https://t.co/L1WjmAzuja,redbullracing,123,2,1775,,,
11,2022-12-22 16:01:08+00:00,1605956611381395456,When the Bulls were in bloom in Miami Gardens 🇺🇸 https://t.co/GPKVkTWS87,redbullracing,152,6,3576,,,
12,2022-12-22 11:47:38+00:00,1605892817724776449,Table Football is clearly a contact sport ⚽️🤕,redbullracing,68,2,1398,,,
13,2022-12-21 18:11:00+00:00,1605626906300149760,The most successful Mexican driver in #F1 history 🇲🇽 https://t.co/8cxhJB5SDr,redbullracing,1029,107,8326,,,
14,2022-12-21 15:21:52+00:00,1605584343904030720,We tried to blame the duck... that didn't wash with Christian 😄 https://t.co/HyfLPoezhG,redbullracing,116,12,2034,,,
15,2022-12-21 12:45:01+00:00,1605544870671704064,We can remember them all 😅 Taking in the five one-twos from 2022 🏆🏆,redbullracing,82,5,1132,,,
16,2022-12-20 15:15:50+00:00,1605220436387692545,"So, 2022... where do we start? 😄 Max, Checo and Christian look back at the magic moments from the season 👑",redbullracing,144,16,2095,,,
17,2022-12-20 14:23:09+00:00,1605207179547791360,Our 2022 Wrapped... 😍 Coming soon 👀 https://t.co/0kPBK4TOwK,redbullracing,143,6,2252,,,
18,2022-12-19 18:06:37+00:00,1604901028159447041,How are you making the most of the #F1 off season? 🏓⏳ https://t.co/ePGFTs3Nsg,redbullracing,169,24,4474,,,
19,2022-12-19 12:37:04+00:00,1604818094248972288,Time for walkies 😙 https://t.co/HpgmtCBdQM,redbullracing,96,5,2914,,,
20,2022-12-18 18:20:00+00:00,1604542007791304705,The RB7 knows how to find a beauty spot 😍📸 https://t.co/1kk6K7mjbb,redbullracing,177,8,4035,,,
21,2022-12-18 15:36:02+00:00,1604500744014811136,Is there anything Max won’t race? 😆 Signing up to @Bybit_Official against the stopwatch ⏱️ #RaceToTheNextLevel https://t.co/Q2L9jMRDEJ,redbullracing,63,1,910,,,"[User(username='Bybit_Official', id=999947328621395968, displayname='Bybit', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
22,2022-12-17 16:34:00+00:00,1604152944160518145,A record-breaking year requires a star-studded Homerun ⭐️ Thanks to everyone who joined us 😍,redbullracing,98,3,1475,,,
23,2022-12-17 13:31:00+00:00,1604106890601893888,Sending it into the sun 😎 https://t.co/I4opqG1W89,redbullracing,104,1,2796,,,
24,2022-12-16 18:22:00+00:00,1603817735384838144,Weekend vibes 😄🕺 https://t.co/bVw5eGNkAk,redbullracing,154,31,3181,,,
