,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 21:00:41+00:00,1609293487605796867,2023 is looking bright! @Guerrilla and more friends across the industry wish you a happy new year: https://t.co/78vFFTtiNc https://t.co/9c8qYHMs5J,PlayStation,580,14,7630,,,"[User(username='Guerrilla', id=2645440044, displayname='Guerrilla', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-31 15:00:11+00:00,1609202767431716865,"3...2...1 🎉

The New Year is almost here! Ring it in with a special festive costume and emote, available now in Sackboy: A Big Adventure: https://t.co/7yhAuj7AAX https://t.co/9cC688oRJw",PlayStation,226,10,2952,,,
2,2022-12-30 21:13:00+00:00,1608934199213293571,"Trust your feline instincts and face new dangers in Stray, available in the PlayStation Plus Game Catalog.

Discover more Game Catalog indie gems: https://t.co/VBUcO3vaZq https://t.co/agYvZgWHyq",PlayStation,146,10,2454,,,
3,2022-12-30 18:14:00+00:00,1608889152312836097,"Gran Turismo 7 screeches into pole position in PS Blog 2022 Game of the Year polls, taking the trophy for Best Sports Game.

More winners: https://t.co/GE78YLfJww https://t.co/qdPs78A1JT",PlayStation,184,16,2326,,,
4,2022-12-30 16:16:00+00:00,1608859456560926722,"It's the last weekend of 2022, and also your last weekend to download the December's PlayStation Plus monthly games: https://t.co/e0LcYEUwcn https://t.co/aG1XJS4ORu",PlayStation,178,13,2688,,,
5,2022-12-29 20:35:00+00:00,1608562248141742080,One of 2022's first Editors' Choice picks went to the ferociously fun Horizon Forbidden West: https://t.co/4W7fZyrIqL https://t.co/BWCH7vQjAM,PlayStation,301,30,4409,,,
6,2022-12-29 18:21:30+00:00,1608528651678613509,"⚬ Joel and Ellie
⚬ Kratos and Atreus
⚬ Thor and family
⚬ Amicia and Hugo

Family played a big part in 2022's video game stories. Discover more trends from this year: https://t.co/Xyis2P43rn https://t.co/lQQ7Dj9IKa",PlayStation,782,82,13444,,,
7,2022-12-29 15:35:30+00:00,1608486876662333441,"Players smashed the Meow button in support of Stray, which won the Best Indie Game trophy in the PS Blog 2022 Game of the Year polls: https://t.co/GE78YLfJww https://t.co/9cmVQnPUk7",PlayStation,491,45,7721,,,
8,2022-12-29 00:41:00+00:00,1608261767888572418,"Lightning strikes for Thor, winning Best New Character in PS Blog's 2022 Game of the Year polls. #GodOfWarRagnarok

Full list of winners: https://t.co/GE78YLfJww https://t.co/nqbBqy3YHM",PlayStation,305,29,4788,,,
9,2022-12-28 22:30:00+00:00,1608228801669959688,"The last days of the year always feel like this greeting card from our friends at @FinjiCo

Cozy up to more greeting cards on PS Blog: https://t.co/78vFFTtiNc https://t.co/oo3JGARAe2",PlayStation,120,6,1383,,,"[User(username='FinjiCo', id=2359690628, displayname='Finji', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
