,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 17:23:06+00:00,1609238731776749571,When the clock strikes midnight what song will you be playing? ✨,Spotify,393,473,8623,,,
1,2022-12-30 20:21:06+00:00,1608921137597263872,ocean eyes marks @billieeilish's fifth entry to the #BillionsClub 💙 https://t.co/sgn4ZrjYyf https://t.co/mmGqXV1BuS,Spotify,152,16,1594,,,"[User(username='billieeilish', id=2150327072, displayname='billie eilish', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-30 00:09:24+00:00,1608616206470385666,@MnetMAMA We had the best time sharing songs with all the artists 💙 #2022MAMAxSpotify,Spotify,2,1,13,,,"[User(username='MnetMAMA', id=128487133, displayname='MAMA AWARDS', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-28 20:30:14+00:00,1608198659681800192,"We're with you, Kate 🪩 Watch #GlassOnion on @Netflix and then head to Spotify for your disco vibes 👉 https://t.co/SQqosN1JyI https://t.co/xoTZJ3h4xX",Spotify,16,2,257,,,"[User(username='netflix', id=16573941, displayname='Netflix', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-28 20:09:10+00:00,1608193359696334852,Congrats to @adele on another milestone! When We Were Young is in the #BillionsClub 🖤 https://t.co/PEdjQEVLxC https://t.co/YCQ5RD6j2D,Spotify,169,10,1386,,,"[User(username='Adele', id=184910040, displayname='Adele', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-28 20:02:55+00:00,1608191787964809219,What would the title of your biography be? 📚,Spotify,140,174,2543,,,
6,2022-12-28 18:00:06+00:00,1608160879689846785,Jersey Club Heat x @DjSliinkNJ: Bounce to the Brick City sound. From New Jersey to the world. Hand-curated by DJ Sliink for New Year's Eve. https://t.co/rs5stXlb8D https://t.co/naaNi54PMy,Spotify,12,1,141,,,"[User(username='DjSliinkNJ', id=1538357246194851840, displayname='DJSliink', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-28 18:00:05+00:00,1608160873503236100,"Big Room Dance x @HARDWELL: Big rooms and big sounds, hand-curated by Hardwell for New Year's Eve. https://t.co/L6ynJPm8UI https://t.co/e8XHYFhsFE",Spotify,10,1,130,,,"[User(username='HARDWELL', id=21787625, displayname='Hardwell', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-28 18:00:03+00:00,1608160867870195713,"Chill Tracks x @NoraEnPure: Softer kinda dance, featuring hand-curated tracks from Nora En Pure for New Year's Eve. https://t.co/jaMlM3y5J7 https://t.co/wD4n9OvTyV",Spotify,3,0,71,,,"[User(username='NoraEnPure', id=399388797, displayname='Nora En Pure', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-28 18:00:02+00:00,1608160860588974082,"Housewerk x @HONEYDIJON: House music lives here. United in one house, featuring hand-curated tracks from Honey Dijon for New Year's Eve. https://t.co/Lkk9e5EqFK https://t.co/VvjtVujQsm",Spotify,2,1,70,,,"[User(username='HONEYDIJON', id=80079750, displayname='Honey Dijon', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
